,group,variable,month,NÚMERO DE IMPLANTES INSERTADOS 10 A 14,NÚMERO DE IMPLANTES INSERTADOS 15 A 19,NÚMERO DE IMPLANTES INSERTADOS 20 A 34,NÚMERO DE IMPLANTES INSERTADOS 35 A 49,NÚMERO DE IMPLANTES INSERTADOS 50 Y +,NÚMERO DE IMPLANTES INSERTADOS < A 10,TOTALES
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,0,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,3,3,1,0,0,7
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,1,1,0,0,3
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,4,2,0,0,8
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,3,0,0,8
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,2,1,4,0,0,8
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,1,0,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,94,105,24,0,0,224
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,1,1,0,4
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,3,1,0,0,8
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,1,3,0,0,0,5
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,3,0,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,2,15,2,1,0,21
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,12,12,0,0,25
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,2,0,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,12,1,0,0,17
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,4,0,0,7
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,2,1,0,4
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,10,2,0,0,13
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,1,0,0,3
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,1,0,0,4
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,1,0,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,2,4,13,1,0,0,20
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,25,0,0,29
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,0,0,0,4
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,1,0,3
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,3,16,0,0,0,19
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,2,1,0,0,4
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,0,0,0,4
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,1,5,0,0,0,7
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,1,0,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,3,0,0,6
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,1,1,0,0,3
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,0,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,7,30,2,0,0,39
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,14,172,84,13,0,283
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,5,4,0,0,10
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,3,0,0,5
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,2,1,0,3
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,6,23,19,2,0,50
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,1,2,0,0,4
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,2,0,0,2
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,2,4,0,0,8
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,23,11,3,0,41
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,2,0,0,0,3
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,11,1,0,0,14
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,6,1,0,0,11
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,5,6,3,0,0,14
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,2,0,4
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,2,0,0,4
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,10,1,0,0,11
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,1,0,0,4
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,0,0,0,4
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,2,0,0,7
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,5,2,0,0,7
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,34,150,43,0,0,227
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,10,1,0,0,12
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,6,0,0,0,10
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,7,18,1,0,0,27
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,18,1,0,20
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,6,4,0,0,11
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,7,2,0,0,11
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,5,3,0,0,10
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,5,0,0,0,5
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,5,1,0,10
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,6,0,0,0,8
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,3,6,2,0,0,11
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,5,73,38,4,0,120
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,1,1,0,4
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,6,2,1,0,11
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,4,9,0,0,0,14
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,5,2,0,0,11
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,2,22,0,0,0,25
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,1,0,0,6
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,5,0,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,12,66,11,1,0,90
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,2,1,4,0,0,8
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,9,2,0,0,11
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,5,49,50,18,0,0,122
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,0,1,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,7,9,3,0,19
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,22,60,14,1,0,98
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,0,0,0,5
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,5,2,0,0,8
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,10,3,0,0,0,13
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,1,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,14,27,1,0,44
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,3,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,6,1,0,0,8
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,2,9,12,1,0,0,24
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,9,21,4,0,0,34
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,3,1,0,0,6
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,20,3,0,0,27
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,12,2,0,0,18
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,2,0,0,0,3
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,1,0,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,7,19,1,1,0,28
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,5,7,7,0,19
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,5,1,1,0,7
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,1,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,7,50,158,14,0,229
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,3,0,0,3
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,1,0,0,3
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,0,0,0,1
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,0,1,0,0,1
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,4,0,0,0,4
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,5,13,0,0,19
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,4,2,2,0,0,8
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,4,6,1,0,13
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,1,1,0,0,3
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,0,0,0,3
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,4,1,0,0,6
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,1,8,4,0,0,13
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,24,128,35,1,0,188
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,1,2,0,0,3
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,2,2,0,0,6
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,2,5,1,0,0,8
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,13,77,55,2,0,148
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,0,0,3,0,0,0,3
TIAHUANACU,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes insertados,2024-01-01,1,1,2,0,0,0,4
