,group,variable,month,ABANDONO DE MÉTODO ANTICONCEPTIVO 10 A 14,ABANDONO DE MÉTODO ANTICONCEPTIVO 15 A 19,ABANDONO DE MÉTODO ANTICONCEPTIVO 20 A 34,ABANDONO DE MÉTODO ANTICONCEPTIVO 35 A 49,ABANDONO DE MÉTODO ANTICONCEPTIVO 50 Y +,ABANDONO DE MÉTODO ANTICONCEPTIVO < A 10,TOTALES
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,2,15,10,2,1,30
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,2,0,0,0,3
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,0,2,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,5,1,0,0,6
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,26,5,1,0,33
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,5,3,0,0,8
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,3,1,0,0,5
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,0,1,0,0,1
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,1,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,0,3,0,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,3,1,0,0,4
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,1,0,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,0,1,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,2,0,0,0,3
VITICHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,2,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,1,1,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-01-01,0,0,2,1,0,0,3
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
ARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,0,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,1,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,0,0,0,0,1
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,2,0,0,3
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,0,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,1,0,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,6,0,0,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,6,5,2,0,13
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,0,0,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,2,0,0,2
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,8,3,0,0,11
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,4,9,1,0,15
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,0,0,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,6,0,0,6
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,4,1,0,0,5
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,5,3,0,0,9
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,6,0,0,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,0,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,5,1,0,0,6
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,3,0,0,0,4
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,2,0,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,1,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,4,1,0,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,14,5,2,0,22
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,3,1,0,0,5
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,5,0,0,0,5
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,2,0,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,2,6,2,0,0,10
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,1,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,1,0,0,2
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,0,1,0,1
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
TOMAVE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,1,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,2,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,1,0,2
VILA VILA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,2,0,0,0,3
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,1,0,0,1
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,2,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,1,2,0,0,0,3
YANACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,0,0,1,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-02-01,0,0,1,1,0,0,2
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
AYATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,1,0,0,0,2
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,0,2,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,1,0,0,0,2
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,4,8,0,0,12
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,0,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,2,0,0,0,2
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,2,20,4,0,0,26
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,0,0,1,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,5,2,0,0,8
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,1,0,0,0,2
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,1,0,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,6,4,0,0,10
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,1,0,1,0,2
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",abandono de metodo anticonceptivo,2024-03-01,0,0,3,1,0,0,4
