,group,variable,month,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 10 A 14,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 15 A 19,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 20 A 34,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 35 A 49,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS 50 Y +,IMPLANTE SUBDÉRMICO: USUARIAS CONTINUAS < A 10,TOTALES
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,5,0,0,0,5
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,0,1,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,9,0,0,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,2,37,26,8,0,73
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,2,0,0,4
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,15,0,0,0,15
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,1,0,0,5
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,7,41,26,0,0,74
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,4,1,0,0,6
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,6,1,0,7
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,6,2,0,0,8
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,5,22,17,4,0,48
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,1,1,0,4
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,2,7,0,0,0,9
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,2,0,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,11,26,11,0,0,48
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,3,12,4,0,0,19
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,5,1,0,0,6
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,4,2,3,0,0,9
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,6,1,0,8
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,6,1,0,0,8
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,2,6,0,0,0,8
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,1,0,0,0,2
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,10,0,0,0,10
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,8,49,2,0,60
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,2,0,0,4
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,39,14,1,0,55
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,21,8,2,0,32
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,0,0,0,2
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,2,1,0,0,3
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,3,8,15,0,0,26
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,11,1,0,12
UMALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,0,1,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,3,9,2,0,0,14
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,4,9,0,0,0,13
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,2,0,0,2
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,2,0,0,6
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,5,1,0,0,6
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,0,0,0,3
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
VILLA SERRANO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,4,1,0,6
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,7,4,0,0,12
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,1,7,0,0,0,8
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,9,0,0,0,9
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,1,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,4,0,0,0,4
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,2,0,0,2
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,1,0,2
APOLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,3,0,0,0,3
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
"CAIZA ""D""","anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,2,1,0,0,3
CALAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,3,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,0,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,4,17,8,1,0,30
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,1,2,0,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,6,32,2,0,40
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,1,0,0,2
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,1,0,0,0,1
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,3,3,1,0,7
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,18,13,0,0,31
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,2,0,0,0,2
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias continuas,2024-02-01,0,0,0,3,0,0,3
