,group,variable,month,NÚMERO DE CICLOS ENTREGADOS 10 A 14,NÚMERO DE CICLOS ENTREGADOS 15 A 19,NÚMERO DE CICLOS ENTREGADOS 20 A 34,NÚMERO DE CICLOS ENTREGADOS 35 A 49,NÚMERO DE CICLOS ENTREGADOS 50 Y +,NÚMERO DE CICLOS ENTREGADOS < A 10,TOTALES
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,3,0,12
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,9,0,0,18
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,3,25,9,0,0,40
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,51,12,0,0,66
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,3,0,0,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,138,196,125,27,0,489
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,12,18,30,0,0,60
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,27,21,3,0,54
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,30,12,6,0,51
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,9,9,0,0,24
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,9,0,0,15
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,27,0,0,0,30
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,0,0,0,9
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,24,18,0,0,45
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,45,18,0,0,69
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,3,0,0,15
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,3,0,0,15
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,6,0,0,6
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,9,21,10,0,0,40
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,66,93,33,0,198
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,21,6,0,0,27
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,0,0,0,12
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,6,42,21,0,0,72
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,6,3,0,15
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,35,223,181,18,0,457
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,0,6,0,6
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,3,51,24,0,0,81
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,11,6,0,0,20
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,87,45,3,0,141
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,24,0,0,33
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,21,21,0,0,48
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,15,30,36,3,0,84
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,6,0,0,6
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,0,0,0,6
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,27,21,0,0,48
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,36,0,0,39
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,0,3,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,60,21,3,0,90
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,11,2,0,19
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,21,6,0,0,27
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,6,0,0,15
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,15,21,12,0,48
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,6,3,0,0,15
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,24,6,0,30
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,18,3,0,30
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,6,0,0,6
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,3,0,0,0,6
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,15,6,0,21
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,3,0,9
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,27,12,3,0,48
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,3,0,0,12
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,9,6,0,15
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,21,9,0,0,30
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,36,12,0,0,51
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,3,0,0,12
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,93,18,0,0,111
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,21,138,51,0,0,210
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,79,386,181,23,0,669
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,9,12,0,24
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,18,0,0,24
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,0,0,0,9
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,12,0,0,18
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,18,108,51,3,0,180
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,3,6,0,0,12
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,0,0,0,0,3
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,12,24,3,0,42
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,10,51,9,0,76
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,3,0,0,24
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,9,0,0,9
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,6,0,0,27
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,31,15,0,0,46
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,30,9,0,0,42
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,0,3,0,0,0,6
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,10,28,24,0,0,62
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,7,75,66,2,0,150
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,33,6,0,0,42
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,9,0,0,12
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,0,3,0,0,9
NAZACARA DE PACAJES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,9,0,0,9
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,18,12,0,0,30
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,12,0,0,21
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,27,249,69,6,0,351
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,9,36,12,3,0,60
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,33,15,0,0,51
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,9,36,15,0,0,63
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,42,15,0,60
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,18,33,9,0,60
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,39,12,0,0,51
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,0,0,0,9
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,90,0,0,90
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,24,0,0,0,24
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,0,0,0,21
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,3,24,6,0,36
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,3,0,0,9
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,6,9,0,0,15
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,9,0,0,0,12
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,54,36,0,0,96
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,21,21,3,0,51
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,3,0,6,9,0,0,18
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,27,144,195,33,0,399
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,3,0,9
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,6,0,0,9
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,6,6,3,0,18
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,27,15,0,0,45
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,30,0,0,0,30
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,12,9,3,0,24
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,9,9,0,0,0,18
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,39,12,3,0,57
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,9,9,0,0,21
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,33,6,0,60
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,0,0,0,9
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,12,69,33,3,0,117
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,18,3,0,0,21
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,9,6,0,0,15
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,0,0,6
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,0,0,3,0,6
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,3,15,0,21
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,12,143,307,105,0,0,567
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,18,21,0,0,42
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,12,45,33,3,0,93
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,6,48,177,81,21,0,333
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,12,9,0,0,24
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,0,0,0,0,6
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,3,27,15,0,0,45
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,3,0,0,0,3
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,6,84,50,102,6,248
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de ciclos entregados,2024-01-01,0,0,0,3,0,0,3
