,group,variable,month,AQV MASCULINO 10 A 14,AQV MASCULINO 15 A 19,AQV MASCULINO 20 A 34,AQV MASCULINO 35 A 49,AQV MASCULINO 50 Y +,AQV MASCULINO < A 10,TOTALES
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-07-01,0,1,8,4,0,0,13
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,5,1,0,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,2,2,1,0,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,7,6,0,0,13
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,2,2,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,2,2,0,0,4
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,5,5,0,0,10
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-08-01,0,0,1,1,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,1,1,0,0,2
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,1,7,13,0,0,21
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,0,9,0,0,9
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,1,5,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,25,10,0,0,35
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,1,0,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-09-01,0,0,3,1,0,0,4
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,2,53,61,2,0,118
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,1,11,4,0,0,16
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,4,0,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,34,43,4,0,81
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,4,2,0,0,6
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,1,8,5,0,0,14
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,12,8,0,0,20
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,17,15,0,0,32
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-10-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,0,17,13,0,0,30
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,0,0,4,0,0,4
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,0,2,5,0,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,2,5,1,0,0,8
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-11-01,0,0,0,0,1,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,3,1,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,0,2,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,5,1,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,10,14,2,0,26
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,5,2,0,0,7
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv masculino,2024-12-01,0,0,12,29,4,0,45
