,group,variable,month,CONDÓN FEMENINO: USUARIAS NUEVAS 10 A 14,CONDÓN FEMENINO: USUARIAS NUEVAS 15 A 19,CONDÓN FEMENINO: USUARIAS NUEVAS 20 A 34,CONDÓN FEMENINO: USUARIAS NUEVAS 35 A 49,CONDÓN FEMENINO: USUARIAS NUEVAS 50 Y +,CONDÓN FEMENINO: USUARIAS NUEVAS < A 10,TOTALES
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,12,24,0,0,36
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,1,0,3,1,0,0,5
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,1,2,2,0,0,5
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,1,3,0,0,4
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,1,0,0,0,1
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,1,1,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,24,1,0,0,25
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,1,0,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-03-01,0,0,3,0,0,0,3
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,3,2,0,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,2,2,2,0,0,6
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,2,0,0,0,0,2
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,1,1,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,13,7,0,0,20
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,1,4,0,0,0,5
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
NAZACARA DE PACAJES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,2,2,11,6,1,0,22
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,4,0,0,0,4
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,3,1,0,0,4
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,2,5,0,0,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,36,192,48,0,0,276
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,1,2,0,0,0,3
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,1,0,0,0,1
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,1,4,2,0,0,7
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,12,0,0,0,12
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,2,2,1,0,0,5
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-04-01,0,0,22,11,0,0,33
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,0,3,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,1,1,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,90,0,0,0,90
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,10,0,0,0,10
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,1,2,5,2,1,0,11
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,1,1,0,0,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,2,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,2,0,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,24,0,0,0,24
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,31,0,1,0,0,32
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,1,0,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-05-01,0,0,32,11,0,0,43
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,2,3,1,0,0,6
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,30,4,17,3,0,0,54
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,2,0,0,0,2
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,48,24,0,0,72
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,2,2,0,0,4
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,42,24,0,0,67
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,1,1,0,0,0,2
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,3,2,0,0,5
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,24,12,12,0,0,48
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,4,0,0,5
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,1,0,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-06-01,0,0,39,18,0,0,57
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,75,121,90,30,0,316
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,1,2,0,0,3
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,1,0,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,4,4,2,0,10
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,1,0,0,0,0,1
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,0,1,0,0,1
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,0,12,0,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,24,48,24,0,0,96
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-07-01,0,3,7,1,0,0,11
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,1,0,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,2,6,2,0,0,10
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,13,2,0,0,15
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,1,0,2,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,6,1,0,0,7
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,1,4,0,0,5
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,0,12,0,0,12
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,24,12,0,0,36
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,1,1,1,0,0,3
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,2,1,1,0,0,4
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,24,12,0,0,0,36
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,12,0,0,0,12
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,5,0,0,0,0,5
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,48,12,0,0,60
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,4,56,60,14,0,134
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,12,12,12,0,0,36
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-08-01,0,4,9,5,0,0,18
ANCORAIMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,0,3,0,0,3
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,25,28,1,0,0,54
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,12,157,72,24,0,265
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,5,2,0,0,7
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,2,0,0,1,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,2,7,2,0,0,11
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,1,0,1,0,0,2
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,4,0,0,0,4
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,1,6,4,0,0,11
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,72,60,12,0,144
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,2,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,1,0,0,0,1
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,0,2,0,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,12,0,0,0,12
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-09-01,0,0,4,1,0,0,5
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,1,1,0,0,0,2
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias nuevas,2024-10-01,12,48,60,0,0,0,120
