,group,variable,month,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 10 A 14,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 15 A 19,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 20 A 34,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 35 A 49,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) 50 Y +,NÚMERO DE MUJERES CON EXÁMEN CLÍNICO DE MAMA POSITIVOS (SOSPECHOSO DE NÓDULO NEOPLÁSICO) < A 10,TOTALES
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,0,0,1,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,1,6,4,5,7,23
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,1,1,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,5,27,17,0,0,49
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,1,1,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,1,0,3,0,0,4
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,0,5,0,0,5
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,0,1,0,0,1
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,1,2,0,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,2,7,3,0,0,12
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,0,1,1,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-01-01,0,3,22,5,0,0,30
ACHOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
ANZALDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,8,0,0,0,9
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,2,1,0,0,0,3
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,2,2,1,0,0,5
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,2,0,0,0,2
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,2,0,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,3,2,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,6,19,15,0,40
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,2,0,0,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,11,5,2,0,18
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,2,0,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,3,0,0,0,4
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,3,1,0,0,5
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,2,0,0,0,3
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,10,15,4,0,29
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,1,1,0,2
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,0,0,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,4,9,0,0,0,13
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,6,28,6,1,0,41
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,3,23,17,0,43
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,3,0,0,0,3
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,0,1,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,3,0,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,3,1,0,0,5
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,2,9,3,0,0,14
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,10,5,5,7,27
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,1,1,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,13,9,0,0,23
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,3,0,0,0,3
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,0,2,0,0,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,0,1,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,1,2,2,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-02-01,0,4,19,13,1,0,37
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,3,6,0,0,0,9
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,4,0,0,0,4
BAURES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,3,0,0,0,3
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
BOLIVAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,2,2,0,0,0,4
CARACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,1,5,3,0,10
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,2,4,12,6,0,24
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,2,1,0,0,3
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,5,1,1,0,7
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,2,8,1,2,0,13
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,2,0,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,4,0,0,0,5
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,1,0,5,0,0,0,6
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,3,0,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,18,4,0,0,22
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,3,0,0,0,4
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,13,1,0,0,15
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,3,18,7,7,3,38
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,31,48,28,0,107
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,2,7,0,0,0,9
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,0,1,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,6,26,3,0,0,35
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,1,1,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,1,0,0,0,0,1
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con examen clinico de mama positivos (sospechoso de nodulo neoplasico),2024-03-01,0,0,2,2,0,0,4
