,group,variable,month,NÚMERO DE MUJERES CON IVAA POSITIVOS 10 A 14,NÚMERO DE MUJERES CON IVAA POSITIVOS 15 A 19,NÚMERO DE MUJERES CON IVAA POSITIVOS 20 A 34,NÚMERO DE MUJERES CON IVAA POSITIVOS 35 A 49,NÚMERO DE MUJERES CON IVAA POSITIVOS 50 Y +,NÚMERO DE MUJERES CON IVAA POSITIVOS < A 10,TOTALES
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,32,50,21,0,103
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,13,17,4,2,0,36
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,1,1,0,0,2
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,6,0,0,6
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,5,6,4,0,15
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,23,24,21,0,68
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,0,1,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,0,1,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,1,4,2,0,0,7
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,1,0,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,1,18,15,13,0,47
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,1,3,3,3,0,10
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,0,1,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,2,1,0,0,3
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,2,3,0,0,5
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,0,0,1,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,19,8,2,0,29
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-03-01,0,0,6,4,3,0,13
ACACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,0,1,0,1
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,2,1,0,0,3
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,0,1,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,3,0,0,4
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,33,63,34,0,130
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,1,23,15,4,0,43
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,11,8,0,0,19
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,2,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,13,13,5,0,31
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,4,0,1,0,5
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,1,0,1,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,2,1,1,0,4
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,12,12,11,0,35
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,3,3,2,0,8
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,1,0,0,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,5,14,0,0,19
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,1,1,2,0,0,4
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-04-01,0,0,6,2,3,0,11
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,1,1,0,4
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,2,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,2,0,0,3
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,9,3,0,0,12
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,8,4,1,0,13
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,4,0,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,35,43,33,0,111
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,9,4,0,0,13
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,0,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,3,18,14,6,0,41
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,2,0,0,2
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,3,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,4,8,1,0,13
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,0,1,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,2,3,0,0,0,5
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,22,22,19,0,63
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,1,0,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,2,5,1,1,0,9
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,5,5,1,0,11
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,1,0,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,0,1,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,2,0,1,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,2,23,19,13,2,59
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,1,0,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,1,12,5,1,0,19
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,5,4,1,0,10
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,1,6,7,4,0,18
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,0,0,1,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-05-01,0,0,7,7,0,0,14
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,1,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,2,0,0,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,3,21,11,3,0,38
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,5,36,5,0,0,46
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,22,40,42,0,104
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,12,17,8,0,37
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,0,2,0,2
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,1,2,4,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,2,1,1,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,27,30,15,0,72
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,1,1,0,0,2
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,3,1,1,0,5
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,8,0,0,8
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,0,1,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,1,19,7,5,0,32
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,5,1,1,0,7
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,0,1,0,1
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,2,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,2,10,12,5,0,29
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-06-01,0,0,14,12,2,0,28
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,1,0,1,0,0,2
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,1,1,0,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,1,2,2,1,0,6
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,1,2,0,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,1,6,2,0,9
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,2,30,45,49,0,126
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,25,24,5,0,54
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,10,11,3,0,24
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,5,2,0,0,7
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,0,1,2,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,3,3,0,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,37,32,32,0,101
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,1,0,0,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,0,0,1,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,3,0,0,0,3
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,0,1,2,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con ivaa positivos,2024-07-01,0,0,21,12,2,0,35
