,group,variable,month,NÚMERO DE IMPLANTES RETIRADOS 10 A 14,NÚMERO DE IMPLANTES RETIRADOS 15 A 19,NÚMERO DE IMPLANTES RETIRADOS 20 A 34,NÚMERO DE IMPLANTES RETIRADOS 35 A 49,NÚMERO DE IMPLANTES RETIRADOS 50 Y +,NÚMERO DE IMPLANTES RETIRADOS < A 10,TOTALES
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,1,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,6,56,12,1,0,75
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,0,2,0,2
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,3,0,1,0,0,4
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,1,0,0,5
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,10,11,0,0,22
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,3,0,0,6
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,0,0,0,4
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,1,0,0,4
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,3,1,0,8
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,0,1,0,1
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,7,1,0,0,8
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,3,0,0,5
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,1,1,0,0,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,0,0,0,4
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,23,3,0,0,27
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,83,55,4,0,144
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,3,0,0,7
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,2,0,0,5
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,24,2,0,0,27
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,2,0,0,3
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,1,0,0,3
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,1,0,0,3
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,0,0,0,0,1
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,2,0,0,6
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,4,1,0,0,7
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,3,0,0,4
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,1,0,0,5
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,3,1,0,4
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,0,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,11,96,37,0,0,144
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,9,2,0,0,12
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,8,2,0,0,10
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,3,1,0,6
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,3,0,0,6
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,7,1,0,0,8
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,2,0,0,4
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,7,3,0,0,10
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,1,0,3
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,5,0,0,5
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,6,2,0,0,9
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,0,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,34,21,7,0,63
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,1,0,2
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,6,4,0,0,11
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,1,2,5,0,0,0,8
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,11,1,0,0,13
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,13,3,0,0,16
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,32,11,0,0,43
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,2,0,0,4
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,10,21,8,0,0,39
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,1,7,47,22,2,1,80
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,0,0,0,3
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,1,0,0,4
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,2,0,0,5
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,16,3,0,23
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,2,0,0,4
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,5,0,0,6
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,3,0,0,0,4
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,8,0,0,0,10
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,3,2,1,0,8
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,22,1,0,0,24
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,11,1,2,0,16
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,0,0,0,2
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,2,0,0,0,3
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,1,0,2
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,0,1,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,0,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,4,53,53,10,0,120
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,1,0,0,0,3
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,2,0,0,3
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,2,3,1,0,8
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,7,3,1,0,11
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,0,0,0,3
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,10,3,0,0,13
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,5,0,0,0,6
SORACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,7,3,0,0,10
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,4,86,36,1,0,127
TACACOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
TAPACARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,2,0,0,2
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,2,0,0,0,3
TARATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,6,77,30,3,0,116
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,2,0,0,0,3
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
TIPUANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,1,5,0,0,0,6
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,8,1,0,0,11
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,4,3,0,0,7
TOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
TOLEDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,0,0,0,1
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,1,1,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,3,0,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,2,14,14,0,0,30
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,19,0,0,21
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,3,4,1,0,0,8
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,9,2,1,0,12
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,6,2,1,0,9
VACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,1,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,10,4,1,0,15
VILLA CHARCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,2,1,0,0,3
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de implantes retirados,2024-01-01,0,0,11,2,0,0,13
