,group,variable,month,MÉTODOS NATURALES: USUARIAS NUEVAS 10 A 14,MÉTODOS NATURALES: USUARIAS NUEVAS 15 A 19,MÉTODOS NATURALES: USUARIAS NUEVAS 20 A 34,MÉTODOS NATURALES: USUARIAS NUEVAS 35 A 49,MÉTODOS NATURALES: USUARIAS NUEVAS 50 Y +,MÉTODOS NATURALES: USUARIAS NUEVAS < A 10,TOTALES
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,0,0,0,6
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,5,1,0,0,0,6
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,6,5,0,0,14
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,7,10,4,0,0,21
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,2,0,0,0,4
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,12,3,0,0,16
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,15,2,0,0,21
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,5,3,1,0,9
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,4,4,0,0,11
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,19,113,21,1,0,154
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,6,1,0,0,7
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,3,0,0,0,4
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,17,6,0,0,27
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,5,0,0,5
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,3,0,0,4
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,4,2,0,0,6
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,7,1,0,0,10
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,6,3,0,0,10
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,2,6,21,10,0,0,39
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,5,0,0,0,5
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,3,0,0,9
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,2,0,0,4
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,2,1,0,0,6
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,7,3,0,0,13
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,9,4,2,0,17
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,8,0,0,0,8
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,3,1,0,0,7
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,9,35,11,0,0,55
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,39,63,8,0,114
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,6,0,0,0,6
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,4,0,0,5
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,3,0,0,5
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,2,0,0,4
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,1,0,1,0,4
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,4,0,0,0,4
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,14,1,0,0,17
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,4,0,0,0,6
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,16,0,3,0,0,19
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,6,1,0,0,8
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,3,2,0,0,6
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,13,103,28,0,0,144
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,4,1,0,0,7
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,4,1,0,0,5
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,5,16,4,0,0,25
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,3,0,0,5
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,1,6,17,5,0,0,29
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,2,5,2,0,10
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,2,0,0,8
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,4,4,0,0,11
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,5,0,0,0,0,5
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,9,1,0,0,13
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,2,0,0,0,4
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,14,41,29,0,0,84
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,14,10,0,0,24
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,4,0,0,5
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,9,1,0,0,12
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,7,2,0,0,11
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,7,2,0,0,12
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,15,19,1,0,35
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,5,15,2,0,0,22
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,5,1,0,0,8
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,3,5,0,0,11
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,2,1,0,5
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,4,2,0,8
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,11,44,8,0,0,63
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,1,0,0,0,4
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,0,0,0,6
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,3,2,0,0,7
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,3,10,0,0,13
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,13,6,0,0,23
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,2,1,0,4
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,4,2,3,0,0,9
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,5,1,0,0,6
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,4,1,0,0,7
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,12,16,3,0,31
SAN PEDRO DE CURAHUARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,1,0,0,3
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,1,0,0,3
SAN RAFAEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,3,1,0,0,6
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,3,17,0,0,0,20
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,11,49,39,9,0,108
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,2,2,0,0,5
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,1,2,1,0,4
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
SANTUARIO DE QUILLACAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,0,1,0,0,3
SAPAHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,1,5,1,0,0,7
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,7,20,11,0,0,38
SICA SICA (VILLA AROMA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",metodos naturales: usuarias nuevas,2024-01-01,0,2,4,8,1,0,15
