,group,variable,month,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS 10 A 14,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS 15 A 19,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS 20 A 34,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS 35 A 49,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS 50 Y +,INYECTABLE TRIMESTRAL: USUARIAS NUEVAS < A 10,TOTALES
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,2,0,0,9
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,5,6,5,0,0,16
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,7,2,0,0,9
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,7,3,2,0,13
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,5,1,0,0,8
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,1,1,1,0,4
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,4,1,0,12
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,2,1,1,0,0,5
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,4,5,0,0,11
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,6,66,24,8,0,104
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,8,8,0,0,16
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,8,3,0,0,12
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,2,1,0,3
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,6,4,5,0,0,15
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,6,2,0,0,8
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,0,8,2,0,0,11
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,1,0,0,8
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,2,1,0,3
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,5,3,1,0,11
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,10,14,2,2,28
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,5,0,0,0,7
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,0,2,2,0,0,5
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,1,1,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,5,106,37,2,0,150
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,2,11,4,0,0,18
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,7,4,0,0,12
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,16,6,0,0,23
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,1,0,0,0,3
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,1,7,8,3,0,20
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,3,1,0,6
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,3,4,0,0,8
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,12,5,0,0,20
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,3,0,0,6
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,8,1,0,0,11
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,4,1,0,0,6
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,3,0,0,3
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,0,1,0,1
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,4,1,0,7
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,5,2,0,0,10
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,2,0,0,9
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,7,1,0,11
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,0,9,4,0,0,14
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,1,1,0,5
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,21,0,0,0,23
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,8,31,9,0,0,48
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,4,38,31,7,0,80
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,6,7,0,0,15
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,0,1,0,2
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,40,21,3,0,67
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,3,1,0,4
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,2,0,5
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,3,0,0,4
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,2,0,0,5
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,3,0,0,4
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,1,1,0,0,5
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,5,1,0,0,6
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,2,1,0,0,5
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,5,0,0,0,8
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,1,10,4,0,0,16
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,14,6,1,0,22
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,4,6,9,0,0,19
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,4,0,0,11
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,2,1,0,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,5,82,23,0,0,110
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,1,1,1,0,0,4
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,5,2,1,0,9
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,13,1,0,0,16
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,23,5,0,30
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,6,2,1,0,10
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,7,1,0,0,8
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,4,0,0,0,6
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,6,12,2,0,0,21
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,5,5,0,0,11
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,4,2,0,0,7
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,6,3,1,0,10
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,3,3,0,0,0,6
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,8,6,0,0,15
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,0,0,0,0,2
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,14,74,43,5,0,137
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,2,0,1,1,0,4
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,4,6,0,0,10
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,1,0,0,0,0,0,1
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
