,group,variable,month,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 10 A 14,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 15 A 19,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 20 A 34,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 35 A 49,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS 50 Y +,INYECTABLE TRIMESTRAL: USUARIAS CONTINUAS < A 10,TOTALES
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,11,5,0,17
CATACORA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,3,0,0,5
CHACARILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,1,2,0,3
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,33,14,0,0,48
CHAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,18,3,0,0,21
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,7,43,37,7,0,94
CHARAÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,12,12,0,0,26
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,9,33,28,3,0,73
CHIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,1,3,6,3,0,0,13
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,1,0,0,6
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,11,7,0,0,18
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,12,9,6,0,27
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,14,11,1,0,27
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,6,14,0,0,21
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,17,9,4,0,30
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,1,3,24,9,0,0,37
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,23,22,0,0,48
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,9,84,51,6,0,150
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,12,0,0,17
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,8,6,1,0,16
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,6,2,0,10
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,6,47,29,0,0,82
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,9,6,0,0,15
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,35,11,0,0,51
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,11,12,1,0,26
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,7,7,0,0,16
COMANCHE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,3,0,0,6
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,44,34,0,0,82
COMBAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,25,10,0,0,40
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,6,9,0,0,15
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,16,8,0,0,25
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,11,5,0,0,16
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,13,5,0,0,18
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,2,3,0,0,6
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,13,19,4,0,36
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,36,55,23,0,117
CRUZ DE MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,13,6,0,0,23
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,6,6,0,0,12
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,10,8,2,0,20
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,6,26,32,0,0,64
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,6,0,0,11
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,4,1,0,0,5
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,8,2,3,0,13
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,1,15,181,85,2,0,284
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,2,3,0,6
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,8,3,0,0,14
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,21,18,4,0,46
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,8,90,31,2,0,131
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,5,11,0,0,17
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,52,38,3,0,98
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,27,26,8,0,64
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,1,0,0,2
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,6,1,0,8
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,2,0,0,4
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,2,0,0,3
EXALTACION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,3,0,0,0,4
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,13,16,5,0,35
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,7,20,8,0,36
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,1,4,0,5
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,30,17,0,0,52
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,4,6,2,0,13
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,16,8,0,0,27
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,7,1,0,0,8
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,6,5,0,0,11
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,3,0,0,8
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,6,3,0,10
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,11,12,6,0,29
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,8,8,0,16
HUACHACALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,1,2,0,0,4
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,12,3,0,0,16
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,5,4,0,0,10
HUATAJATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,3,0,0,5
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,5,2,0,0,8
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,3,0,0,4
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,1,0,0,4
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,7,7,1,0,19
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,27,16,0,0,45
INGAVI (HUMAITA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,0,0,0,0,1
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,13,15,2,0,30
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,15,12,2,0,30
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,20,6,0,0,28
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,11,7,0,0,18
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,61,22,0,0,85
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,60,24,2,0,91
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,8,78,66,7,0,159
LA RIVERA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,12,3,0,17
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,26,25,6,0,59
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,6,4,0,0,11
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,3,4,0,8
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,42,16,1,0,63
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,1,6,0,0,8
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,8,2,0,0,12
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,6,10,6,0,26
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,1,0,0,6
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,11,4,2,0,17
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,5,8,3,0,16
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,18,5,0,0,24
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,3,4,0,0,8
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,8,4,0,0,15
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,13,18,3,0,35
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,18,7,0,0,28
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,22,20,0,0,44
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,9,8,0,0,17
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,0,1,0,0,1
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,9,13,4,0,26
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,26,31,0,0,62
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,5,17,7,2,0,31
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,8,5,2,0,17
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,5,11,0,0,17
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,13,6,2,0,23
NAZACARA DE PACAJES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,0,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,3,2,0,0,5
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,13,8,0,0,23
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,14,11,0,0,28
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,14,12,1,0,30
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,13,283,108,2,0,406
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,3,40,48,1,0,92
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,1,3,23,21,0,0,48
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,28,13,1,0,46
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,1,29,11,0,41
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,1,27,32,8,0,68
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,0,2,2,0,0,4
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,4,17,12,0,0,33
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",inyectable trimestral: usuarias continuas,2024-01-01,0,2,7,8,0,0,17
