,group,variable,month,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 10 A 14,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 15 A 19,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 20 A 34,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 35 A 49,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,N° DE MUJERES DESPUÉS DE ABORTO QUE EGRESARON CON MÉTODO MODERNO < A 10,TOTALES
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,0,1,0,0,1
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,8,44,20,4,0,76
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,2,1,0,0,3
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,3,11,3,0,17
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,3,3,1,0,0,7
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,12,3,0,0,15
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-02-01,0,0,8,4,0,0,12
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,3,1,0,0,4
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,6,3,0,0,9
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,1,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,2,12,7,0,0,21
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,15,10,0,0,25
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,1,1,0,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,7,2,0,0,9
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,2,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,4,2,0,0,6
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,5,14,4,0,0,23
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,3,1,0,0,5
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,3,9,2,0,0,14
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,6,0,0,0,0,6
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,1,0,0,0,2
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,2,1,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,2,1,0,0,4
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,9,7,2,18
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,4,3,0,0,7
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,0,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,6,11,2,0,0,19
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,0,1,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,2,0,0,0,2
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,1,2,5,1,0,0,9
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,1,8,2,0,0,11
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-03-01,0,0,0,3,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,5,3,0,0,8
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,1,0,1,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,2,33,4,0,0,39
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,13,4,1,0,18
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,3,6,0,0,0,9
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,4,2,0,0,6
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,2,7,0,0,0,9
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,4,0,0,0,4
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,1,3,2,0,0,6
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,1,0,0,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,3,7,5,0,0,15
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,5,9,1,0,0,15
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,2,16,8,0,0,26
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,2,0,0,0,2
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,2,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,2,1,0,0,3
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,6,10,1,0,0,17
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,1,1,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,1,3,0,0,0,4
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,0,10,7,0,0,17
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-04-01,0,3,5,2,0,0,10
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,5,0,0,0,5
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,5,12,4,0,0,21
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,13,2,0,0,16
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,4,1,0,0,5
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,12,3,0,0,16
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,4,2,0,0,6
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,10,1,0,0,11
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,0,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,12,2,0,0,15
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,1,4,0,2,0,0,7
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,1,3,10,0,0,0,14
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,8,6,0,0,15
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,3,12,5,1,0,21
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,2,12,0,0,0,14
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,11,4,0,0,16
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,8,1,0,0,10
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,0,1,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-05-01,0,1,17,4,0,0,22
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,0,1,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,5,0,0,0,5
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,2,3,0,0,6
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,2,1,0,0,4
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,0,1,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,0,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,3,13,7,0,0,23
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,10,3,0,0,14
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,3,0,0,0,3
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,3,0,0,0,3
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,0,4,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,2,2,0,0,4
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,1,3,9,3,0,0,16
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,5,3,0,0,8
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,2,3,1,0,0,6
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,1,0,0,0,2
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,11,2,0,0,14
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,0,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,1,0,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,0,3,0,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,1,5,14,3,0,0,23
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres despues de aborto que egresaron con metodo moderno,2024-06-01,0,3,12,4,0,0,19
