,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 10 A 14,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 15 A 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 20 A 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 35 A 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS 50 Y +,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS < A 10,TOTALES
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,8,18,5,0,31
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,2,2,3,0,7
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,0,2,0,2
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,2,0,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,1,0,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,4,1,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,1,1,0,2
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-01-01,0,0,0,3,1,2,6
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,3,0,2,6
AZURDUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,2,0,0,3
CARMEN RIVERO TORREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,19,198,180,2,399
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,1,0,1
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,5,2,0,0,7
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,1,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,2,3,2,0,0,7
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,2,17,21,3,1,44
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,1,0,0,1,0,2
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,1,0,2
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,1,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,5,2,7
GUTIERREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,2,8,2,2,0,14
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,17,37,29,0,83
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,3,0,1,4
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,3,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,9,14,21,12,0,56
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,3,2,0,5
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,5,16,2,0,0,23
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,0,1,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,9,5,2,0,16
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,1,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,2,3,0,0,5
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,6,2,1,0,9
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,1,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,1,1,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,2,1,0,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,2,0,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,3,1,0,0,4
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,2,0,0,3
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,3,0,0,0,3
SAN PEDRO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,2,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,1,35,57,56,20,169
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,15,11,5,0,31
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,4,0,4
TEOPONTE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,0,1,0,1
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,3,2,0,0,0,5
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,1,4,2,0,0,7
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,2,0,3
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,10,4,0,15
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,2,0,2,0,4
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,2,2,7,11
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,0,1,0,0,1
ZUDAÑEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-02-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,1,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,4,3,0,8
AYO AYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,2,0,0,2
BATALLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,2,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,1,1,3
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,2,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,12,12,4,0,28
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,1,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,12,48,52,26,0,138
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,2,8,5,0,0,15
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,1,2,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,2,1,0,3
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,5,3,6,0,15
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,13,33,15,0,61
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,1,0,1
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,1,0,0,2
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,1,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,3,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,18,24,17,0,59
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,5,4,5,0,14
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,1,0,1
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,1,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,2,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,8,8,3,0,19
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,1,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,3,3,0,0,6
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,5,5,1,1,13
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,3,1,0,0,4
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,3,0,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,2,1,1,0,4
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,2,5,0,0,7
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,2,1,0,0,4
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,0,0,1
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,0,0,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,0,0,0,0,1
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,2,1,0,0,3
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,5,21,56,66,34,182
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,7,7,5,0,19
TARACO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,2,0,3
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,1,7,4,5,0,17
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,0,1,1,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,1,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,3,1,0,0,4
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,2,3,2,8
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,0,1,1,0,2
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,1,1,2,0,0,0,4
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,2,2,1,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos,2024-03-01,0,0,1,0,0,0,1
