,group,variable,month,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 10 A 14,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 15 A 19,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 20 A 34,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 35 A 49,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS 50 Y +,NÚMERO DE MUJERES CON ESTUDIOS MAMAOGRÁFICOS POSITIVOS < A 10,TOTALES
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,0,3,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,1,3,2,0,6
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,2,1,0,0,3
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,1,2,2,1,6
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,0,2,0,2
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,0,2,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,10,42,12,0,0,64
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-04-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,0,2,0,2
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,2,3,0,0,0,5
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,8,3,0,11
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,2,4,4,2,0,12
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,0,1,0,1
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,1,2,0,0,3
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,1,0,1,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,0,1,0,1
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,4,0,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,10,15,17,0,42
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,1,0,30,0,31
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-05-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,0,5,5,0,10
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,1,6,1,0,8
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,1,7,96,46,10,0,160
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,0,0,3,0,3
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,2,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,2,2,3,0,7
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,2,2,1,0,0,0,5
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,2,36,8,7,0,53
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-06-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,6,2,0,8
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,1,0,1,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,0,0,1,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,1,8,6,0,15
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,1,1,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,2,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,2,1,2,0,5
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,1,0,0,0,1
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,1,6,1,0,8
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-07-01,0,0,0,3,1,0,4
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,2,1,0,0,3
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,4,0,0,0,4
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,1,7,7,0,0,15
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,0,2,2,0,4
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,5,4,6,4,1,0,20
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,0,1,1,0,2
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,3,1,0,0,4
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,2,5,5,0,12
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,2,9,2,0,13
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,7,2,0,0,9
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,5,92,81,6,0,184
SORATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,5,6,8,4,4,0,27
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,0,5,1,0,6
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,2,2,0,0,4
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-08-01,0,0,3,1,0,0,4
ARQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,2,4,2,0,0,8
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,8,0,0,0,8
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,2,3,0,5
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,3,0,0,3
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,1,1,1,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,1,0,2
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,0,0,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,6,11,7,0,0,24
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,2,7,1,0,10
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,1,0,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,0,5,0,5
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,6,15,3,0,0,24
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,26,16,14,0,56
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,2,6,2,1,0,11
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,1,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,1,0,0,1
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,2,0,0,0,2
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,4,2,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,2,6,0,8
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,1,2,1,0,4
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,3,1,0,0,4
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,0,2,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-09-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,10,5,0,0,15
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,0,2,1,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,0,2,2,0,4
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,2,5,3,0,0,10
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,0,1,0,0,1
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,3,2,0,0,5
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,5,8,10,0,23
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,10,39,195,41,2,0,287
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,1,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,2,3,1,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,34,18,9,0,61
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,0,5,1,0,6
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-10-01,0,0,2,0,0,0,2
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,3,8,1,0,0,12
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,19,27,16,6,0,68
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,2,10,13,0,25
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,7,2,0,0,9
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,4,6,0,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,3,14,16,4,0,37
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,26,17,2,0,45
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,3,28,11,3,0,45
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,2,0,0,0,2
SAN MATIAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,7,4,0,0,11
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,7,67,20,6,0,100
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,1,8,0,0,0,9
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,2,6,1,0,2,0,11
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,0,4,1,0,5
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,0,1,0,0,1
YAMPARAEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,0,1,0,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con estudios mamaograficos positivos,2024-11-01,0,2,5,0,0,0,7
