,group,variable,month,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 10 A 14,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 15 A 19,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 20 A 34,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 35 A 49,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS 50 Y +,IMPLANTE SUBDÉRMICO: USUARIAS NUEVAS < A 10,TOTALES
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,14,87,48,11,0,160
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,2,5,0,0,9
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,11,0,0,0,12
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,3,1,0,0,5
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,12,6,0,0,18
COPACABANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,3,1,0,0,7
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,1,1,0,0,3
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,1,0,0,0,2
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,4,3,0,0,7
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,2,0,4,0,0,7
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,0,0,0,1
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,20,91,22,0,0,134
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,1,1,0,4
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,3,1,0,0,7
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,1,3,0,0,0,5
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,1,7,4,0,0,13
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,6,10,0,0,16
EUCALIPTUS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,2,0,0,0,4
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,9,1,0,0,14
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,2,0,0,4
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,1,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,9,1,0,0,11
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,1,0,0,4
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,2,4,13,0,0,0,19
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,4,46,12,0,62
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,1,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,11,0,0,0,14
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,1,3,0,0,0,5
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,1,0,0,3
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,2,0,0,5
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,6,21,2,0,0,29
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,14,140,68,9,0,231
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,3,2,0,0,6
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,1,0,2
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,6,21,19,2,0,48
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,2,0,0,3
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,2,3,0,0,7
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,23,11,3,0,41
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,9,1,0,0,12
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,6,1,0,0,11
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,5,6,3,0,0,14
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,2,0,4
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,2,0,0,3
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,6,0,0,0,6
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
NAZACARA DE PACAJES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,1,0,0,6
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,5,2,0,0,7
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,27,111,18,0,0,156
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,6,3,0,0,9
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,3,0,0,0,7
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,7,18,1,0,0,27
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,12,0,0,13
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,3,0,0,8
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,7,1,0,0,10
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,3,2,0,0,7
POOPO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,4,0,0,0,4
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,4,5,1,0,10
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,3,0,0,0,5
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,3,0,0,0,0,3
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,64,29,0,0,97
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,1,0,3
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,4,1,0,0,7
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,2,2,0,0,0,5
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,5,2,0,0,11
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,2,20,0,0,0,23
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,1,0,0,6
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,3,0,0,0,4
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,12,63,9,1,0,85
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,2,1,4,0,0,8
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,5,47,44,14,0,0,110
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,0,1,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,7,9,3,0,19
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,19,48,10,1,0,79
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,4,0,0,0,5
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,0,1,0,0,2
SAMAIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SAN AGUSTIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
SAN ANDRES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,6,1,1,0,0,8
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SAN BENITO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,13,24,0,0,39
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,3,0,0,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,2,8,11,1,0,0,22
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,9,21,4,0,0,34
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,1,1,0,0,4
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,10,3,0,0,17
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,4,10,1,0,0,15
SAN MIGUEL DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,1,2,0,0,0,3
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,1,1,0,0,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,7,19,1,1,0,28
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,5,7,6,0,18
SAN PEDRO DE MACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,2,4,1,0,0,7
SAN PEDRO DE QUEMES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
SAN PEDRO DE TIQUINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,3,0,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,10,27,68,107,13,0,225
SANTA ROSA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,2,0,0,2
SANTIAGO DE CALLAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,0,1,0,0,1
SANTIAGO DE HUARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,1,0,0,2
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,2,0,0,0,2
SANTIAGO DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
SANTIVAÑES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",implante subdermico: usuarias nuevas,2024-01-01,0,0,1,0,0,0,1
