,group,variable,month,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 10 A 14,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 15 A 19,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 20 A 34,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 35 A 49,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS 50 Y +,NÚMERO DE MUJERES CON RESULTADOS DE PAP POSITIVOS TRATADAS < A 10,TOTALES
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,0,2,1,0,3
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,1,0,0,0,1
SAN RAMON SCZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,9,0,9,0,0,18
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,4,34,33,23,7,101
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,1,10,2,3,0,16
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,4,0,0,0,4
YOCALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,0,0,0,1,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-03-01,0,0,3,3,3,0,9
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,10,3,1,0,14
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,1,0,1,0,2
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,12,17,4,0,33
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,2,1,0,0,3
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,3,2,0,0,5
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,1,0,0,0,1
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,1,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,3,2,5,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,8,3,1,0,12
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,5,4,4,0,13
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,4,8,2,0,14
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,10,9,5,0,24
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,1,0,0,1
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,1,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,28,33,11,0,72
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,1,11,5,3,0,20
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,2,0,0,2
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,1,1,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,1,6,2,1,10
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,2,0,0,0,2
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,0,1,0,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-04-01,0,0,3,2,3,0,8
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,1,1,0,0,2
BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,1,0,1,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,1,14,11,10,0,36
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,8,3,1,0,12
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,2,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,1,3,6,0,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,3,4,1,0,8
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,0,1,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,1,1,18,18,0,38
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,12,5,6,0,0,23
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,2,2,2,0,6
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,9,10,5,0,24
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,4,4,3,0,11
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,3,39,41,24,0,107
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,11,13,3,0,27
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,1,3,1,0,5
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
VILLA NUEVA (LOMA ALTA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,1,3,3,0,0,0,7
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,0,1,0,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-05-01,0,0,4,3,3,0,10
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,0,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,17,9,6,0,33
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,1,1,0,0,2
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,8,5,5,0,18
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,2,5,3,0,10
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,2,3,3,0,9
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,6,13,0,0,19
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,10,24,14,12,0,60
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,2,4,1,0,7
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,0,3,1,0,4
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,4,0,0,0,5
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,6,9,10,0,25
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,1,0,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,0,2,0,0,2
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,4,3,0,0,8
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,3,51,29,17,0,100
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,3,1,1,0,5
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,7,4,2,0,13
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,1,1,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,4,7,2,0,0,13
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-06-01,0,0,4,3,2,0,9
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,1,0,0,0,1
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,1,1,0,2
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,1,1,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,1,23,11,0,0,35
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,1,3,4,2,0,10
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,7,11,3,0,21
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,2,0,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,1,5,5,5,0,16
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,2,6,0,0,8
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,21,10,8,1,40
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,0,2,0,2
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,9,0,0,0,9
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,7,5,3,0,15
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,1,1,0,2
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,0,2,0,2
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,1,1,0,0,2
SAN LUCAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,28,40,24,0,92
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,1,12,7,4,0,24
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,4,9,2,0,15
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,0,0,1,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-07-01,0,0,3,2,2,0,7
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,2,11,12,8,0,33
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,2,2,2,0,6
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,0,0,1,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,16,9,6,0,31
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,4,1,1,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,11,18,9,0,38
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,0,1,0,0,1
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,2,2,0,0,4
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,4,4,1,0,9
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,1,4,1,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,28,17,42,0,87
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,1,0,0,0,0,1
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de mujeres con resultados de pap positivos tratadas,2024-08-01,0,0,1,0,0,0,1
