,group,variable,month,NÚMERO DE DIU INSERTADOS 10 A 14,NÚMERO DE DIU INSERTADOS 15 A 19,NÚMERO DE DIU INSERTADOS 20 A 34,NÚMERO DE DIU INSERTADOS 35 A 49,NÚMERO DE DIU INSERTADOS 50 Y +,NÚMERO DE DIU INSERTADOS < A 10,TOTALES
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,2,0,0,2
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,4,54,118,37,0,213
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,1,0,0,2
SOPACHUY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,2,15,47,23,0,0,87
TACOPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,7,41,44,0,0,92
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,5,3,0,0,8
TOLATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,5,4,0,10
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,2,0,0,3
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,3,0,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,4,3,0,0,7
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,2,0,0,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,3,5,3,0,0,11
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,2,7,0,0,0,9
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-01-01,0,0,1,0,0,0,1
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
ALCALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
ARBIETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,2,0,0,5
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
CABEZAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,2,7,0,9
CARIPUYO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,2,0,0,0,4
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,1,0,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,2,1,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,19,101,17,1,140
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,4,4,0,0,8
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,9,39,17,1,0,66
EL CHORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,10,5,0,18
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,3,0,0,0,4
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,2,0,0,0,2
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,3,0,0,3
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,0,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,7,63,107,7,0,184
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,0,0,0,3
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,2,0,0,2
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,0,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,2,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,9,40,15,0,0,64
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,3,0,0,3
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,9,11,1,0,21
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,0,0,0,0,2
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,1,2,0,4
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,1,0,2
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,2,0,0,2
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,7,5,0,0,12
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,0,0,0,0,1
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,8,2,2,0,13
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,2,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,1,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,2,0,0,0,4
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SAN JAVIER(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,2,2,0,4
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,0,0,0,3
SAN RAMON BENI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,42,129,28,1,201
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,2,0,0,0,2
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,3,2,0,0,7
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,6,61,22,1,0,90
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,2,41,62,1,0,106
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,6,5,1,0,0,12
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,0,0,0,3
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,1,0,2
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,0,0,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,3,0,0,0,3
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,2,0,0,2
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,1,0,0,2
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,2,0,0,0,2
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,1,2,2,0,0,5
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,1,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,11,1,0,0,12
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,0,0,1,0,1
YOTALA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-02-01,0,0,1,0,0,0,1
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,2,0,0,2
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,8,0,0,0,8
BETANZOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,2,0,0,3
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,1,1,0,0,3
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,1,0,0,3
CAPINOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,1,0,2
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,2,2,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,17,86,21,5,1,130
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,2,0,0,4
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,5,3,0,0,9
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,3,1,0,6
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,8,67,19,0,0,94
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,2,8,3,0,0,13
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,1,0,2
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,2,0,0,2
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,1,0,0,2
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,2,1,2,0,0,5
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,12,93,40,5,0,150
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,5,20,3,0,0,28
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,1,0,0,4
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,2,0,0,5
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,1,0,2
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,1,24,12,0,0,37
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,1,0,0,2
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,1,0,0,2
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,0,0,0,3
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,7,2,0,0,9
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,9,9,0,0,18
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,0,2,0,2
PUERTO SILES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,3,2,0,0,5
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,14,3,0,0,17
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,6,4,0,12
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,4,25,4,0,0,33
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,4,2,0,0,6
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,1,0,0,3
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,2,0,0,0,2
SAN JAVIER(BNI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,1,0,0,0,1
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,0,1,0,0,1
SAN LORENZO(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de diu insertados,2024-03-01,0,0,4,0,0,0,4
