,group,variable,month,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 10 A 14,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 15 A 19,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 20 A 34,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 35 A 49,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO 50 Y +,N° DE MUJERES POST PARTO QUE EGRESARON CON MÉTODO MODERNO < A 10,TOTALES
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,1,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,2,2,3,0,0,0,7
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,5,3,0,0,9
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,4,11,2,0,0,17
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,7,1,1,0,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,1,1,0,3
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,1,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,4,2,8,0,14
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,4,0,0,0,4
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,3,0,1,0,0,4
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,4,23,55,7,0,89
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,14,6,0,0,20
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,1,16,2,0,0,19
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-02-01,0,0,11,2,0,0,13
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,0,0,0,0,1
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,7,34,3,1,0,45
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,3,0,0,0,3
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,3,2,0,0,5
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,2,0,0,0,2
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,2,4,0,0,6
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,7,30,8,0,0,45
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,1,0,0,0,2
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,11,0,0,0,12
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,7,0,0,0,7
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,2,23,2,0,0,27
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,12,0,0,0,0,12
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,3,1,0,0,4
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,4,14,3,0,0,21
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,31,38,2,0,0,71
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,7,1,0,0,0,8
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,2,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,5,2,1,2,0,10
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,2,13,3,0,0,18
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,9,23,5,0,0,37
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,0,2,2,0,5
SANTIAGO DE HUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,0,1,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,2,0,0,3
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,3,2,0,0,0,0,5
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,1,0,0,2
TOMINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,2,35,82,10,0,0,129
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,2,0,0,0,3
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,10,4,0,0,15
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,3,0,0,0,3
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,1,0,0,0,0,1
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,4,12,3,0,0,19
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,3,0,0,0,3
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-03-01,0,0,4,3,0,0,7
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,8,26,7,0,0,41
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,1,1,0,0,2
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,1,3,1,0,0,5
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,5,3,0,0,8
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,8,34,6,0,0,48
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,3,1,0,0,4
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,1,5,1,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,4,3,0,0,7
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,12,48,9,0,0,69
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,3,1,0,0,4
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,2,13,3,0,0,18
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,4,0,0,0,4
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,3,6,9,9,0,0,27
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,5,4,0,0,9
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,34,61,11,0,0,106
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,1,5,2,0,0,8
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,1,0,0,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,7,18,5,0,0,30
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,3,14,2,0,0,19
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,3,3,2,0,0,8
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,0,1,0,0,1
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,2,2,0,0,4
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,13,54,15,0,0,82
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,2,41,75,10,0,0,128
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,8,3,0,0,11
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,0,1,1,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,2,5,1,0,0,8
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-04-01,0,1,7,3,0,0,11
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,3,20,2,0,0,25
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,1,0,0,0,1
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,0,1,0,0,2
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,1,1,0,0,3
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,1,2,1,0,4
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,5,23,1,0,0,29
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,3,0,0,0,3
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,3,0,0,0,4
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,6,0,0,0,6
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,3,12,5,0,0,20
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,2,0,0,0,2
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,4,0,0,0,5
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,8,17,6,0,0,31
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,13,31,5,0,0,49
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,6,2,0,0,9
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,2,0,0,0,2
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,2,6,10,1,0,0,19
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,4,7,2,0,0,13
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,6,4,3,0,0,13
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,1,5,3,0,0,0,9
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,2,8,3,2,0,15
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,4,0,0,0,4
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,1,0,2,0,0,0,3
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,2,0,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,7,3,0,0,10
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,21,52,4,0,0,77
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,4,38,88,9,0,0,139
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,4,0,0,0,4
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,0,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,11,2,0,0,14
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,1,0,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,0,12,2,0,0,14
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-05-01,0,1,17,9,0,0,27
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-06-01,0,1,24,5,0,0,30
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-06-01,0,1,3,0,0,0,4
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",n de mujeres post parto que egresaron con metodo moderno,2024-06-01,0,0,1,0,0,0,1
