,group,variable,month,CONDÓN FEMENINO: USUARIAS CONTINUAS 10 A 14,CONDÓN FEMENINO: USUARIAS CONTINUAS 15 A 19,CONDÓN FEMENINO: USUARIAS CONTINUAS 20 A 34,CONDÓN FEMENINO: USUARIAS CONTINUAS 35 A 49,CONDÓN FEMENINO: USUARIAS CONTINUAS 50 Y +,CONDÓN FEMENINO: USUARIAS CONTINUAS < A 10,TOTALES
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,32,64,0,0,0,96
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,1,14,5,1,0,21
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
SAN PABLO DE LIPEZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,0,12,0,0,12
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,60,13,1,0,74
SENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,1,0,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,24,0,0,0,24
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,0,0,1,0,1
URUBICHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,2,1,0,0,3
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,5,0,0,0,5
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,1,0,0,0,1
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-04-01,0,0,12,12,0,0,24
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,0,12,0,0,12
CAIROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,11,15,0,0,26
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,1,1,0,0,2
SAN PEDRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,0,0,2,1,3
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,1,0,0,0,1
TIRAQUE (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,3,0,0,0,3
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-05-01,0,0,68,15,0,0,83
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,0,36,0,0,36
BOYUIBE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
CHAYANTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,0,0,12,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,15,75,60,15,0,165
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,12,420,132,108,0,0,672
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,12,204,12,0,0,228
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,2,2,0,0,4
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,0,12,0,0,12
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,1,0,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,12,24,0,0,36
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,0,1,0,0,1
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-06-01,0,0,2,0,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,3,3,0,0,6
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,1,0,12,0,13
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,9,4,0,0,13
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,12,0,0,0,0,12
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,12,36,12,0,0,60
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,3,3,0,0,6
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-07-01,0,0,8,4,0,0,12
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,12,12,0,0,24
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,2,0,0,0,2
CAQUIAVIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,24,1,0,0,25
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,4,6,0,0,10
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,5,0,0,0,5
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,3,2,0,0,5
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,3,3,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,1,4,0,0,0,5
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,61,13,0,0,74
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,1,0,0,0,1
VILLA RIVERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,12,0,0,0,12
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-08-01,0,0,21,0,0,0,21
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,0,12,0,0,12
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,30,81,0,0,0,111
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,12,24,0,0,0,36
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,60,0,0,0,60
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,0,20,0,0,20
EUREKA (SANTOS MERCADO),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,3,0,0,0,3
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,24,12,0,0,36
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,3,4,0,0,7
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,0,12,0,0,12
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,12,116,122,24,0,0,274
SAN LORENZO(PND),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,48,0,0,0,48
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,1,3,1,1,0,6
SIPE SIPE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,40,49,0,0,89
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,0,1,0,0,1
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,24,0,0,0,24
YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
YUNCHARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-09-01,0,0,1,0,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,51,0,0,0,0,51
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,5,3,0,0,8
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,48,12,0,0,60
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,12,12,12,0,0,36
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,1,12,14,0,0,27
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,156,756,144,12,0,1068
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,48,36,0,0,84
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,12,0,0,0,12
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,2,1,0,0,3
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,0,16,0,0,16
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,1,0,0,0,1
SAN JUAN DE YAPACANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,2,0,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,1,0,0,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-10-01,0,0,0,1,0,0,1
AYOPAYA (V. DE INDEPENDENCIA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,1,0,0,0,0,1
BELLA FLOR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,1,1,0,0,0,2
BOLPEBRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
CAJUATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
CARAPARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,3,0,0,0,3
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,12,1,0,0,13
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,1,1,0,0,0,2
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,5,1,0,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,3,0,0,0,3
SANTA ROSA DEL SARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,1,0,2,0,0,0,3
SICAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,24,0,0,0,24
TINGUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,12,24,0,0,36
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,1,1,0,0,0,0,2
URIONDO (A. CONCEPCION),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,1,0,0,0,1
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,0,1,0,0,1
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,72,36,0,0,108
VILLA VACA GUZMAN (MUYUPAMPA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,0,12,0,0,0,12
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-11-01,0,48,84,13,0,0,145
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,24,84,216,24,0,348
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,12,12,12,12,0,0,48
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,1,0,0,0,1
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,0,1,0,0,1
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,48,0,0,0,48
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,0,3,0,0,3
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,60,0,0,0,0,60
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,9,5,0,0,14
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",condon femenino: usuarias continuas,2024-12-01,0,0,36,0,0,0,36
