,group,variable,month,AQV FEMENINO 10 A 14,AQV FEMENINO 15 A 19,AQV FEMENINO 20 A 34,AQV FEMENINO 35 A 49,AQV FEMENINO 50 Y +,AQV FEMENINO < A 10,TOTALES
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,2,0,0,3
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,7,3,0,0,10
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,48,34,0,0,82
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,0,0,0,1
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,16,21,1,0,38
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,1,20,1,0,0,22
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,30,17,8,0,55
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,4,1,0,5
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,1,0,0,2
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,0,0,0,2
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,6,0,0,10
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,16,15,0,0,31
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,0,1,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,3,2,0,0,5
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,7,9,0,0,16
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,5,1,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,1,0,0,5
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,25,14,0,0,39
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,2,3,0,0,0,5
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,6,0,0,6
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,14,9,0,0,23
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,7,2,0,0,9
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,7,1,0,0,8
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,5,0,0,9
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,3,0,0,3
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,19,8,0,31
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,1,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,5,0,0,7
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,13,14,0,0,27
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,2,0,0,0,2
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,2,18,6,0,0,26
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,0,5,1,0,6
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,4,1,0,0,5
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,1,0,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,15,6,0,0,21
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,7,5,0,0,12
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,3,2,0,0,5
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,8,4,0,0,12
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-02-01,0,0,10,2,0,0,12
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,3,0,0,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,1,3,0,4
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,3,1,0,0,4
CAMIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,3,1,0,4
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,3,0,0,4
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,2,0,0,4
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,9,2,0,0,11
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,41,37,1,0,79
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,21,15,0,0,36
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,2,0,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,14,3,0,0,18
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,0,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,40,29,0,0,70
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,8,9,0,0,17
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,1,0,0,3
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,2,0,0,3
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,8,3,0,11
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,18,10,0,0,29
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,5,0,0,0,5
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,10,8,0,0,19
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,1,0,0,1
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,6,0,0,0,6
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,1,0,0,2
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,38,6,0,0,45
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,1,1,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,15,9,0,0,24
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,7,1,0,0,8
SAN IGNACIO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,2,0,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,5,5,0,0,10
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,3,1,0,0,4
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,3,5,0,8
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,2,0,0,3
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,9,2,0,0,11
TARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,16,6,0,0,22
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,1,0,0,3
TORO TORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,14,6,0,0,20
TOTORA(CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,3,16,6,0,0,25
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,0,0,0,2
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,2,1,0,0,3
UYUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,0,3,0,0,3
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,4,0,0,0,4
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,3,4,0,0,7
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,1,10,4,0,0,15
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,6,4,0,0,10
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,6,1,0,0,7
WARNES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,5,1,0,0,6
YACUIBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-03-01,0,0,13,8,0,0,21
ACHACACHI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,0,0,0,2
AIQUILE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
ATOCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,2,0,0,3
BERMEJO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
CAMARGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,1,0,0,2
CARANAVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,3,4,0,0,7
CHALLAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,1,0,0,3
CHARAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,4,0,0,6
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,42,19,0,0,61
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,0,0,0,2
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,27,15,0,0,42
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,18,5,0,0,23
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,1,0,0,2
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,33,22,0,0,55
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,1,0,0,2
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,1,0,0,3
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,6,2,0,0,8
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,1,0,0,3
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,16,13,0,0,29
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,1,0,0,2
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,15,9,0,0,24
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,39,9,0,0,48
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,3,1,0,0,4
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,5,4,0,0,9
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,1,23,11,0,0,35
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,0,0,0,2
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,5,6,1,0,12
SAN BORJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,8,4,0,0,12
SAN BUENA VENTURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,1,0,0,3
SAN CARLOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,3,2,0,0,5
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,3,3,0,0,6
SAN JULIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,0,0,0,2
SANTA ANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,6,5,0,0,11
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,7,6,2,0,15
SHINAOTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,2,0,0,2
SUCRE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,8,5,0,0,13
TARIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,7,9,19,6,0,41
TARVITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,0,0,0,2
TIQUIPAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
TRINIDAD,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,13,3,0,0,16
TUPIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,5,2,0,0,7
UNCIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,2,2,0,0,4
VIACHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,5,1,0,0,6
VILLA MONTES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,8,3,0,0,11
VILLA TUNARI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,9,5,0,0,14
VILLAZON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,1,0,0,2
VINTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,0,1,0,0,1
WALDO BALLIVIAN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",aqv femenino,2024-04-01,0,0,1,0,0,0,1
