,group,variable,month,NÚMERO DE CONDONES ENTREGADOS 10 A 14,NÚMERO DE CONDONES ENTREGADOS 15 A 19,NÚMERO DE CONDONES ENTREGADOS 20 A 34,NÚMERO DE CONDONES ENTREGADOS 35 A 49,NÚMERO DE CONDONES ENTREGADOS 50 Y +,NÚMERO DE CONDONES ENTREGADOS < A 10,TOTALES
CHIMORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,84,72,24,0,192
CHOQUE COTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
CHUA COCANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,10,0,0,0,10
CHUMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,60,36,12,12,0,120
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,24,12,0,60
CKOCHAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,48,24,12,0,108
CLIZA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,36,12,0,0,72
COBIJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,50,197,880,636,300,0,2063
COCAPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,108,72,0,0,204
COCHABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,264,1325,691,178,12,2470
COIPASA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,0,0,0,0,0,12
COLCAPIRHUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,12,0,0,60
"COLCHA ""K""","anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,75,48,24,0,147
COLLANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,24,12,0,60
COLOMI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,168,72,0,0,264
COLPA BELGICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,0,0,0,36
COLQUECHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,72,216,192,0,0,480
COLQUENCHA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,24,0,0,60
COLQUIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,12,0,0,0,24
COMARAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,48,0,0,120
CONCEPCION,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,12,0,0,48
CORIPATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,48,36,0,0,96
CORO CORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,60,24,12,0,96
COROICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,24,12,0,0,48
CORQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,48,0,0,48
COTAGAITA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,12,135,170,12,12,353
COTOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,144,24,0,192
CRUZ DE MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
CUATRO CAÑADAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
CUEVO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
CULPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,156,96,0,0,276
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,60,24,0,0,84
CURVA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
DESAGUADERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
EL ALTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,507,5052,3792,12,0,9363
EL PUENTE(STC),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,12,0,0,60
EL PUENTE(TJA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,156,99,36,0,339
EL TORNO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,84,639,180,84,0,987
EL VILLAR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,60,132,60,12,0,264
ENTRE RIOS TRJ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,36,139,126,24,0,325
ENTRE RIOS CBBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,60,96,12,0,180
ESCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,24,0,0,36
ESCOMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,12,0,36
ESMERALDA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,36,0,0,36
FERNANDEZ ALONSO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
FILADELFIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,36,0,0,60
GAIOC JATUN AYLLU YURA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,48,24,0,84
GENERAL SAAVEDRA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
GIA-TIM,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,0,0,0,12
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,0,0,0,12
GUANAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,13,0,0,25
GUAQUI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
GUAYARAMERIN,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,54,1108,450,70,0,1682
HUACARAJE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
HUACARETA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,36,60,36,0,0,132
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
HUANUNI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,36,60,0,0,0,96
HUARINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
HUAYLLAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
HUMANATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
ICHOCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,24,0,0,0,48
ICLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,48,60,12,0,168
INCAHUASI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,120,48,0,0,216
INQUISIVI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,72,72,36,0,204
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,108,84,0,0,192
IXIAMAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,39,12,12,0,63
JESUS DE MACHACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,36,0,0,48
LA ASUNTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,108,36,0,0,156
LA GUARDIA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,0,48,36,0,0,96
LA PAZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,241,8729,5251,175,0,14396
LAGUNILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
LAJA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,12,0,24
LAS CARRERAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,48,24,0,0,96
LICOMA PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,24,24,0,48
LLALLAGUA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,240,1272,612,96,0,2220
LLICA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,24,12,0,36
LORETO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
LURIBAY,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,36,12,0,72
MACHACAMARCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
MACHARETI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,48,12,0,0,84
MAGDALENA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,13,0,0,13
MAIRANA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,0,0,0,24
MALLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
MAPIRI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,96,24,0,0,120
MECAPACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,24,36,36,0,108
MINEROS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,36,0,0,72
MIZQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,72,61,0,0,157
MOCOMOCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,120,12,0,0,144
MOJINETE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,24,0,0,36
MOJOCOYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,24,12,0,0,60
MONTEAGUDO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,36,224,204,24,0,488
MONTERO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,24,0,0,96
MORO MORO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,0,0,0,12
MOROCHATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,24,0,0,24
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,24,24,0,60
OCURI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,36,12,0,0,60
OKINAWA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,60,0,0,12,72
OMEREQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,36,36,24,0,0,96
ORURO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,1617,4030,2360,252,0,8259
PADCAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,150,96,24,0,282
PADILLA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,192,84,12,0,336
PAILON,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,96,84,0,0,192
PALCA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,84,12,0,144
PALOS BLANCOS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,264,60,12,0,348
PAMPA AULLAGAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,0,0,0,24
PAMPA GRANDE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,12,0,0,24
PAPEL PAMPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,24,0,0,72
PASORAPA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,0,0,0,36
PATACAMAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,0,84,12,0,0,108
PAZÑA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,36,0,0,36
PELECHUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,60,12,0,0,84
POCOATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,60,168,84,0,0,312
POCONA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,108,48,0,180
POJO (CBBA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,96,72,0,0,192
PORCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,48,24,0,0,96
POROMA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,72,24,0,0,144
PORONGO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,84,72,0,0,168
PORTACHUELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,0,0,0,0,12
PORVENIR,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,72,12,0,0,96
POSTRER VALLE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,24,0,0,48
POTOSI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,204,756,504,312,0,1776
PRESTO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,72,48,0,192
PUCARA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,24,0,0,24
PUCARANI,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,48,84,12,0,144
PUERTO ACOSTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,24,12,0,72
PUERTO CARABUCO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,0,12,0,36
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,12,60,24,0,0,108
PUERTO PEREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,12,0,0,36
PUERTO QUIJARRO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,1,0,0,0,1
PUERTO RICO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,0,12,0,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,60,12,0,0,96
PUERTO VILLARROEL,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,12,348,3024,492,264,0,4140
PUNA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,132,36,12,0,192
PUNATA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,24,24,0,60
QUIABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,48,12,0,0,72
QUILLACOLLO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,24,336,108,0,0,468
QUIME,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,12,12,0,48
QUIRUSILLAS,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,12,39,0,6,0,57
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,72,39,24,0,135
RAVELO,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,24,12,0,60
REYES,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,72,48,12,144
RIBERALTA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,168,1550,2267,936,156,0,5077
ROBORE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
RURRENABAQUE,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,36,12,0,0,48
SABAYA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,48,84,12,0,0,144
SACABA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,24,185,1500,744,24,0,2477
SACABAMBA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
SACACA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,24,44,0,0,68
SAIPINA,"anticoncepcion, prevencion de cancer de cuello uterino y mama",numero de condones entregados,2024-01-01,0,0,12,0,0,0,12
