municipality,group,variable,month,Diabetes en mayores de 5 años,TOTAL
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,48,48
COTAGAITA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,7,7
EL TORNO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,8,8
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,10,10
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,5,5
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
MINEROS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,13,13
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,18,18
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,5,5
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,7,7
ROBORE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,3,3
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,13,13
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,5,5
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,3,3
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,241,241
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,6,6
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,14,14
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,16,16
TIPUANI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,4,4
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,17,17
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,1,1
VINTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,2,2
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-02-01,9,9
ATOCHA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,6,6
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
CARMEN RIVERO TORREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,8,8
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,61,61
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
COLPA BELGICA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,18,18
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,6,6
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,10,10
LA ASUNTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,14,14
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,13,13
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
MAIRANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
MONTERO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,17,17
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,4,4
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,6,6
SAN CARLOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SAN IGNACIO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,9,9
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SAN PEDRO DE TIQUINA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,4,4
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,7,7
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,56,56
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SANTA ROSA DEL SARA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,2,2
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,5,5
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,23,23
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,78,78
VILLA MONTES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,1,1
VINTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,3,3
WARNES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,12,12
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-03-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,2,2
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,5,5
CABEZAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,10,10
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,5,5
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,67,67
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,3,3
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,3,3
CUEVO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,7,7
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,7,7
LA ASUNTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,6,6
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,12,12
LAGUNILLAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
MAIRANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,4,4
PAILON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,11,11
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,16,16
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,6,6
QUILLACOLLO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,3,3
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,12,12
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,2,2
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,5,5
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,10,10
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,3,3
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,8,8
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,123,123
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,4,4
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,17,17
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,11,11
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,7,7
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
VILLA MONTES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,1,1
WARNES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,17,17
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-04-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,5,5
BOYUIBE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
BUENA VISTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,30,30
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,3,3
CARANAVI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
CHARAGUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,3,3
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,65,65
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
COTAGAITA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,3,3
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,2,2
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,8,8
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,9,9
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,20,20
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
OCURI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,3,3
PAILON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,5,5
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1627,1627
PRESTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
QUILLACOLLO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,9,9
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,2,2
SAMAIPATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,7,7
SAN RAMON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,81,81
SANTA ROSA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,2,2
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,15,15
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,30,30
TIQUIPAYA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,1,1
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,41,41
TUPIZA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,2,2
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,2,2
VINTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,4,4
WARNES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,10,10
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-05-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
CABEZAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,9,9
CARMEN RIVERO TORREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,4,4
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,55,55
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
COMARAPA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
CULPINA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,14,14
EL TORNO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,11,11
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,14,14
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,13,13
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
MINEROS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,8,8
PADILLA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,16,16
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,24,24
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,3,3
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,9,9
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
SAN BORJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
SAN CARLOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
SAN IGNACIO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,5,5
SAN LORENZO(PND),diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
SAN MATIAS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,37,37
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,11,11
TARABUCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,1,1
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,17,17
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,7,7
VIACHA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
VINTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,2,2
WARNES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,15,15
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-06-01,4,4
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,7,7
BETANZOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,6,6
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,69,69
COLCAPIRHUA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,12,12
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,12,12
INQUISIVI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,7,7
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,21,21
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,4,4
PAILON,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,6,6
POTOSI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,19,19
PUERTO RICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
PUERTO SUAREZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,5,5
PUNATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,5,5
REYES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
RIBERALTA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,8,8
ROBORE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,4,4
RURRENABAQUE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,3,3
SACABA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
SAN BUENA VENTURA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
SAN CARLOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,31,31
SAN IGNACIO DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,8,8
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
SANTA ANA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,94,94
SORATA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
SUCRE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,14,14
TARIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,28,28
TRINIDAD,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,8,8
VALLEGRANDE,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,1,1
VINTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,2,2
WARNES,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,16,16
YACUIBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-07-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,1,1
BERMEJO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,2,2
CAMIRI,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,10,10
COBIJA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,5,5
COCHABAMBA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,65,65
CONCEPCION,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,1,1
COROICO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,1,1
COTOCA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,3,3
EL ALTO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,10,10
EL TORNO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,5,5
GUAYARAMERIN,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,15,15
LA GUARDIA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,11,11
LA PAZ,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,14,14
MAGDALENA,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,2,2
MINEROS,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,1,1
ORURO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,4,4
PORTACHUELO,diagnostico de egreso,diabetes en mayores de 5 anos,2009-08-01,8,8
