municipality,group,variable,month,Otros en menores de 5 años,TOTAL
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,23,23
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,5,5
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,7,7
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,11,11
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,119,119
ORURO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,86,86
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,5,5
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,3,3
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,15,15
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,25,25
PUERTO ACOSTA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,13,13
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,20,20
REYES,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,75,75
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,3,3
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,9,9
SACABA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,28,28
SACABAMBA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SACACA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,14,14
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,7,7
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,76,76
SAN JAVIER(STC),diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,15,15
SAN LORENZO(PND),diagnostico de egreso,otros en menores de 5 anos,2009-01-01,27,27
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SAN RAFAEL,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SAN RAMON,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,9,9
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,538,538
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SORATA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,160,160
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,86,86
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,4,4
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2009-01-01,10,10
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
TORO TORO,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,1,1
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,221,221
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,17,17
UNCIA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,103,103
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,2,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,6,6
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,12,12
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,16,16
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,15,15
WARNES,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,11,11
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,59,59
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,16,16
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2009-01-01,5,5
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,8,8
APOLO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,33,33
AYATA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,13,13
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,26,26
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,70,70
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,10,10
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,19,19
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,12,12
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,34,34
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,4,4
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,32,32
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,144,144
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,7,7
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,5,5
COROICO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,8,8
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,4,4
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,198,198
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,9,9
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
EXALTACION,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,126,126
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,24,24
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
HUARACAJE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,4,4
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,545,545
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,15,15
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,5,5
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,9,9
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,18,18
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,127,127
ORURO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,45,45
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,5,5
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,11,11
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,18,18
PUERTO ACOSTA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,12,12
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,29,29
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,13,13
REYES,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,20,20
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,6,6
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,7,7
SACABA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,12,12
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,8,8
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,88,88
SAN JAVIER(STC),diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,14,14
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,512,512
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,217,217
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,101,101
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,4,4
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2009-02-01,10,10
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2009-02-01,3,3
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,268,268
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,15,15
UYUNI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,13,13
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,14,14
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,20,20
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,14,14
VINTO,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
WARNES,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,8,8
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,79,79
YAMPARAEZ,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,2,2
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,11,11
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2009-02-01,1,1
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,10,10
ASCENCION DE GUARAYOS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,30,30
ATOCHA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,5,5
BAURES,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,27,27
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,3,3
BOYUIBE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
CAMARGO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,17,17
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,47,47
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,8,8
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,23,23
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,6,6
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,9,9
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2009-03-01,7,7
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,12,12
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,153,153
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,9,9
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,8,8
COROICO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,18,18
COTOCA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
CUEVO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,3,3
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,236,236
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,7,7
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,132,132
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,34,34
HUANUNI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,7,7
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,562,562
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,10,10
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,10,10
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,6,6
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,19,19
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,161,161
ORURO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,64,64
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,3,3
PAILON,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,3,3
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,15,15
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,109,109
PUERTO QUIJARRO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
PUERTO SUAREZ,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,15,15
PUNA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,52,52
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,12,12
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,215,215
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,5,5
SACABA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,35,35
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,16,16
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,101,101
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,18,18
SAN LORENZO(PND),diagnostico de egreso,otros en menores de 5 anos,2009-03-01,92,92
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,5,5
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1734,1734
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,212,212
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,108,108
TIQUIPAYA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,7,7
TIRAQUE (CBBA),diagnostico de egreso,otros en menores de 5 anos,2009-03-01,18,18
TOLEDO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,1,1
TOMINA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,2,2
TOTORA(CBBA),diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
TRINIDAD,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,198,198
TUPIZA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,18,18
UNCIA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,50,50
VALLEGRANDE,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,5,5
VILLA MONTES,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,27,27
VILLA TUNARI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,26,26
VILLAZON,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,21,21
VINTO,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,7,7
WARNES,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,4,4
YACUIBA,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,38,38
YAPACANI,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,8,8
ZUDAÑEZ,diagnostico de egreso,otros en menores de 5 anos,2009-03-01,3,3
AIQUILE,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,6,6
BERMEJO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,25,25
BETANZOS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
CABEZAS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
CAMIRI,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,51,51
CARANAVI,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,8,8
CARMEN RIVERO TORREZ,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,12,12
CHALLAPATA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,10,10
CHARAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,13,13
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,otros en menores de 5 anos,2009-04-01,7,7
CLIZA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,5,5
COBIJA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,33,33
COCHABAMBA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,166,166
COLCAPIRHUA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,5,5
COMARAPA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
CONCEPCION,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,7,7
COROICO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,15,15
COTAGAITA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,3,3
EL ALTO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,201,201
EL TORNO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
ENTRE RIOS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,76,76
GUAYARAMERIN,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,34,34
LA ASUNTA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
LA GUARDIA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
LA PAZ,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,573,573
LLALLAGUA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,28,28
MAGDALENA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,8,8
MAIRANA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
MIZQUE,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,6,6
MONTEAGUDO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,19,19
MONTERO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,152,152
ORURO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,72,72
PADILLA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
PAILON,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
PALOS BLANCOS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
PATACAMAYA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
PORTACHUELO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,5,5
POTOSI,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,81,81
PUERTO RICO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,3,3
PUERTO VILLARROEL,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,14,14
PUNATA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,68,68
QUILLACOLLO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,8,8
RIBERALTA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,35,35
ROBORE,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
RURRENABAQUE,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,7,7
SACABA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,17,17
SAN BORJA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,10,10
SAN CARLOS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,15,15
SAN IGNACIO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,107,107
SAN JOAQUIN,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,2,2
SAN JOSE DE CHIQUITOS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,6,6
SAN JULIAN,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,9,9
SAN LORENZO(PND),diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
SAN LUCAS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,4,4
SAN MATIAS,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,2,2
SANTA ANA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,534,534
SANTA ROSA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
SOPACHUY,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
SUCRE,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,195,195
TARABUCO,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,3,3
TARIJA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,193,193
TARVITA,diagnostico de egreso,otros en menores de 5 anos,2009-04-01,1,1
