municipality,group,variable,month,Hipertensión Arterial en mayores de 5 años,TOTAL
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
SAN BUENA VENTURA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
SAN CARLOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,5,5
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,332,332
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,18,18
TARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,9,9
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,42,42
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,2,2
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,1,1
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-02-01,6,6
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
BETANZOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,7,7
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,5,5
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,6,6
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,19,19
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,5,5
CULPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,4,4
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
EXALTACION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
GUANAY,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,14,14
LA ASUNTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,21,21
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,21,21
LLALLAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,4,4
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,7,7
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,5,5
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,26,26
PUERTO SILES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,5,5
REYES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,6,6
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,8,8
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,4,4
SAN PEDRO DE TIQUINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,7,7
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,4,4
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,74,74
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
SORATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,23,23
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,17,17
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,63,63
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,24,24
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,3,3
YAPACANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-03-01,2,2
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,17,17
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,6,6
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,9,9
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,32,32
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,5,5
FILADELFIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,14,14
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,23,23
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,19,19
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,5,5
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,1,1
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,5,5
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,7,7
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,19,19
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,4,4
PUNATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,12,12
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,8,8
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,11,11
SAN JOAQUIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,4,4
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,139,139
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,25,25
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,154,154
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,3,3
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,6,6
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,2,2
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,17,17
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-04-01,6,6
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
BERMEJO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,2,2
BUENA VISTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,30,30
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,8,8
CARANAVI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,30,30
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
COMARAPA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
CORIPATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,7,7
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,10,10
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
GUANAY,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,2,2
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,10,10
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,23,23
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,9,9
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
MAIRANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
PADILLA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
PAILON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3339,3339
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
QUILLACOLLO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,2,2
ROBORE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,2,2
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
SAMAIPATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,8,8
SAN JULIAN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,4,4
SAN RAMON,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,5,5
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,95,95
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,15,15
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,44,44
TIPUANI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
TRINIDAD,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,102,102
UNCIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,1,1
VALLEGRANDE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
VINTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,3,3
WARNES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,17,17
YACUIBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-05-01,7,7
ASCENCION DE GUARAYOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
BAURES,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
BOYUIBE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,3,3
CABEZAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
CAMIRI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,23,23
CARMEN RIVERO TORREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,11,11
CHARAGUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
COBIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,9,9
COCHABAMBA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,43,43
COLCAPIRHUA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
CONCEPCION,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
COROICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,6,6
CULPINA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
EL ALTO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,16,16
FERNANDEZ ALONSO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
GUANAY,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
GUAYARAMERIN,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,26,26
LA GUARDIA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,21,21
LA PAZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,15,15
MAGDALENA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,6,6
MINEROS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,6,6
MOROCHATA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
ORURO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,6,6
PATACAMAYA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
PORTACHUELO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,15,15
POTOSI,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,20,20
PUERTO RICO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
PUERTO SUAREZ,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,3,3
RIBERALTA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,13,13
RURRENABAQUE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,4,4
SACABA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
SAN BORJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,7,7
SAN CARLOS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
SAN IGNACIO DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,11,11
SAN LUCAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
SAN MATIAS,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
SAN MIGUEL DE VELASCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
SANTA ANA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,44,44
SANTA ROSA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,2,2
SUCRE,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,23,23
TARABUCO,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,1,1
TARIJA,diagnostico de egreso,hipertension arterial en mayores de 5 anos,2009-06-01,25,25
