municipality,group,variable,month,Diarreas en menores de 5 años,TOTAL
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,45,45
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
MOJOCOYA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,51,51
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,43,43
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,4,4
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,33,33
PRESTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
PUERTO ACOSTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
PUERTO QUIJARRO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,7,7
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,12,12
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,7,7
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,65,65
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,11,11
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,9,9
SACABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SACACA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,15,15
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,27,27
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,25,25
SAN JOAQUIN,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SAN JOSE DE CHIQUITOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
SAN LORENZO(PND),diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,21,21
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,4,4
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,167,167
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SIPE SIPE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,53,53
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,10,10
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,9,9
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,36,36
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,15,15
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,2,2
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,3,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,6,6
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,7,7
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,24,24
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,12,12
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,1,1
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,17,17
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,24,24
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2009-01-01,18,18
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,16,16
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,12,12
BETANZOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,18,18
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,26,26
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,7,7
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,7,7
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,9,9
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,7,7
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,98,98
COLQUIRI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,6,6
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,7,7
CUATRO CAÑADAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,38,38
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
ENTRE RIOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,44,44
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,11,11
HUARACAJE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,4,4
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,20,20
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,37,37
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,5,5
MACHARETI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,4,4
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,5,5
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,7,7
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,55,55
NACEBE (SANTA ROSA DEL ABUNA),diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,24,24
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,6,6
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,43,43
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,17,17
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,4,4
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,6,6
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,28,28
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,6,6
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,8,8
SAN ANTONIO DE LOMERIO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,12,12
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,12,12
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,32,32
SAN JAVIER(STC),diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SAN RAMON,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,5,5
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,237,237
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,68,68
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,19,19
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,5,5
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,13,13
TOLEDO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,2,2
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,25,25
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,19,19
URIONDO (A. CONCEPCION),diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
URUBICHA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
UYUNI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,3,3
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,19,19
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,12,12
VINTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,4,4
VITICHI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,1,1
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,13,13
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,28,28
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2009-02-01,29,29
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
ASCENCION DE GUARAYOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
BAURES,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,6,6
BOYUIBE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
CABEZAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
CAMARGO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,20,20
CARIPUYO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,11,11
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,6,6
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
CHULUMANI (V. DE LA LIBERTAD),diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
CLIZA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,7,7
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,109,109
COLPA BELGICA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,9,9
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
COTAGAITA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
CULPINA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,32,32
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
ENTRE RIOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,58,58
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,18,18
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,7,7
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,36,36
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,55,55
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,13,13
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,7,7
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,58,58
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,38,38
PADILLA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
PALOS BLANCOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
PORONGO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,9,9
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,8,8
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,35,35
PRESTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
PUERTO ACOSTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,12,12
PUNATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
QUILLACOLLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,7,7
REYES,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
RIBERALTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,30,30
ROBORE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,9,9
RURRENABAQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
SACABA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
SAIPINA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SAMAIPATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
SAN BORJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,11,11
SAN CARLOS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,15,15
SAN IGNACIO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
SAN IGNACIO DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,31,31
SAN JULIAN,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,9,9
SAN LORENZO(PND),diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,32,32
SAN LUCAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SAN MATIAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
SAN MIGUEL DE VELASCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,4,4
SAN PEDRO DE BUENA VISTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SAN RAMON,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,15,15
SANTA ANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SANTA CRUZ DE LA SIERRA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,597,597
SANTA ROSA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SANTA ROSA DEL SARA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
SOPACHUY,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
SUCRE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,69,69
TARABUCO,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,2,2
TARIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,6,6
TIPUANI,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
TIQUIPAYA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
TIRAQUE (CBBA),diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,11,11
TOMINA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,1,1
TRINIDAD,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,20,20
TUPIZA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
UNCIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,3,3
VALLEGRANDE,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,6,6
VILLA MONTES,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
VILLA TUNARI,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,12,12
VILLAZON,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,5,5
WARNES,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,12,12
YACUIBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,16,16
YAPACANI,diagnostico de egreso,diarreas en menores de 5 anos,2009-03-01,17,17
AIQUILE,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
APOLO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
ARAMPAMPA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
ATOCHA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
AYOPAYA (V. DE INDEPENDENCIA),diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
AZURDUY,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
BERMEJO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,15,15
CAMIRI,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,8,8
CARANAVI,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,5,5
CARMEN RIVERO TORREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,8,8
CHALLAPATA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,6,6
CHARAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,5,5
COBIJA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,8,8
COCHABAMBA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,130,130
COMARAPA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
CONCEPCION,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
CORQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
COTOCA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,5,5
CUATRO CAÑADAS,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
EL ALTO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,36,36
EL TORNO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,3,3
FERNANDEZ ALONSO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,49,49
GUANAY,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
GUAYARAMERIN,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,11,11
HUANUNI,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
LA ASUNTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,2,2
LA GUARDIA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,19,19
LA PAZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,52,52
LLALLAGUA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,2,2
MAGDALENA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,7,7
MAIRANA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,3,3
MIZQUE,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,2,2
MONTEAGUDO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,2,2
MONTERO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,52,52
ORURO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,40,40
PAILON,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
PATACAMAYA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
PORTACHUELO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
POTOSI,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,32,32
PUERTO ACOSTA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
PUERTO RICO,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,3,3
PUERTO SILES,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
PUERTO SUAREZ,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,5,5
PUERTO VILLARROEL,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,10,10
PUNA,diagnostico de egreso,diarreas en menores de 5 anos,2009-04-01,1,1
