,group,variable,month,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS DENTRO,ANTIROTAVIRÍCA 2DA DOSIS FUERA,ANTIROTAVIRÍCA 2DA DOSIS FUERA,TOTALES
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,12,12,5,6,35
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,1,0,2,7
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,0,2,11
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,10,0,1,25
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,21,18,2,5,46
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,5,1,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,5,1,1,13
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,15,0,1,26
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,7,0,1,14
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,9,6,1,4,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,2,0,0,4
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,22,37,0,2,61
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,19,22,1,1,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,3,2,7
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,11,8,3,2,24
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,42,32,3,0,77
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,13,6,1,2,22
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,6,2,1,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,4,2,2,14
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,25,11,3,5,44
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,1,1,3,9
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,25,20,5,4,54
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,5,1,3,17
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,39,14,1,0,54
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,13,0,0,27
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,5,2,1,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,9,6,2,1,18
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,3,1,2,16
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,20,14,0,1,35
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,26,39,1,4,70
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,3,3,5,15
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,619,698,8,3,1328
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,41,27,0,0,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,0,1,10
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,2,0,0,5
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,19,15,2,0,36
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,7,0,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,19,18,11,7,55
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,8,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,9,20,3,2,34
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,18,17,2,2,39
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,3,0,4
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,27,21,1,1,50
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,8,1,6,18
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,11,0,0,21
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,3,0,1,8
COROICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,16,10,0,4,30
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,3,0,0,8
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,13,2,1,26
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,19,0,1,26
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,18,4,2,38
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,3,0,0,3
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,3,0,0,3
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,12,8,3,0,23
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,0,0,0,3
CURVA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,1,0,0,5
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,4,2,0,9
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,702,758,132,104,1696
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,1,1,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,11,8,1,1,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,5,0,1,11
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,26,22,2,6,56
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,11,18,4,3,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,29,23,12,4,68
ESCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,1,0,3
ESMERALDA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,1,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,2,0,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,2,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,9,8,3,3,23
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,6,3,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,20,4,0,31
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,1,3,13
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,15,8,4,7,34
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,1,2,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,46,35,0,1,82
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,12,10,1,4,27
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,8,3,0,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,17,2,2,35
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,3,1,0,5
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,0,2,2,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,2,0,3
HUMANATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,2,2,0,5
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,1,0,2
ICLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,0,0,1,3
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,5,3,4,20
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,7,2,5,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,13,13,3,1,30
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,13,13,0,1,27
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,0,1,10
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,44,29,3,6,82
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,60,44,4,0,108
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,592,556,0,1,1149
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,2,1,1,11
LAJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,4,0,1,15
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,0,0,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,2,0,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,25,24,7,9,65
LLICA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
LORETO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,3,0,4
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,4,0,3,11
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,3,0,0,6
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,2,0,1,5
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,9,2,3,28
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,5,0,0,13
MALLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,3,1,6
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,15,18,0,0,33
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,9,2,3,21
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,27,1,1,46
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,20,27,8,4,59
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,4,1,3,16
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,4,1,0,6
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,27,14,1,1,43
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,92,91,3,5,191
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,2,1,4,9
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,1,0,1,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,0,1
OCURI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,7,4,10,29
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,9,1,1,19
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,1,2,1,7
ORURO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,305,263,11,8,587
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,15,15,1,0,31
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,6,1,0,12
PAILON,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,15,12,13,2,42
PALCA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,11,13,5,5,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,21,15,3,4,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,0,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,5,0,0,8
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,2,0,1,6
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,1,2,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,10,3,5,35
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,2,4
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,1,3,13
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,5,5,7,19
POCONA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,9,4,2,1,16
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,6,3,3,15
POOPO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,6,0,1,11
PORCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,12,2,2,30
POROMA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,6,6,3,18
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,6,0,2,16
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,14,18,6,3,41
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,2,5,3,12
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,161,139,27,25,352
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,5,1,0,8
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,11,4,7,39
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,2,3
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,5,4,3,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,3,2,3,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,3,0,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,15,9,0,2,26
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,3,1,0,4
PUERTO SILES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,2,0,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,12,4,8,9,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,56,55,2,1,114
PUNA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,4,5,9,23
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,31,31,2,3,67
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,2,2,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,73,84,51,42,250
QUIME,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,2,3,1,0,6
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,1,0,0,2
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,7,1,0,12
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,7,4,3,18
REYES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,7,0,0,17
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,61,58,6,7,132
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,9,0,0,26
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,19,3,2,41
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,4,0,1,6
SACABA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,142,130,26,17,315
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,1,0,1,7
SACACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,5,8,2,6,21
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,10,1,0,12
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,4,2,5,17
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,7,0,0,10
SAN AGUSTIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,10,1,1,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,2,0,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,1,4,1,10
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,6,4,0,17
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,45,43,3,5,96
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,8,7,0,1,16
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,22,22,0,0,44
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,30,19,1,3,53
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,62,61,16,12,151
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,7,5,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,13,15,0,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,3,9,0,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,12,15,15,52
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,6,5,3,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,40,49,7,5,101
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,1,5,4,4,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,21,26,2,2,51
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,17,13,11,9,50
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,12,3,1,1,17
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,3,1,6,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,13,10,3,2,28
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,23,19,7,7,56
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,3,0,0,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,2,0,1,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,0,0,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,7,4,0,0,11
SAN RAMON BENI,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,4,1,1,2,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antirotavirica 2da dosis,2019-01-01,10,4,1,0,15
