,group,variable,month,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS DENTRO,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,INFLUENZA ESTACIONAL (7M A 11 M) 2DA. DOSIS FUERA,TOTALES
COROICO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,6,0,1,2,9
COTAGAITA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,1,0,0,2
COTOCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,3,3,0,0,6
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,0,0,0,1
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,51,56,2,5,114
EL CHORO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,2,0,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,8,1,0,0,9
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,3,3,0,0,6
ESCOMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,3,2,1,11
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,0,0,1,3
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,0,0,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,3,0,0,0,3
HUANUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,6,10,2,4,22
HUAYLLAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,0,0,0,2
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,0,0,3
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,3,1,1,1,6
IXIAMAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,0,1,1
LA ASUNTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,2,0,0,4
LA GUARDIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,23,22,0,0,45
LA PAZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,74,81,0,0,155
LAJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,0,0,0,2
MACHACAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,2,0,0,7
MAGDALENA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,4,0,0,9
MAPIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,3,0,0,7
MINEROS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,8,0,0,13
MONTERO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,43,30,0,0,73
OKINAWA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,4,1,0,9
ORURO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,110,111,2,0,223
PAILON,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,8,7,1,1,17
PALOS BLANCOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,3,1,0,1,5
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,1,1,0,4
PAZÑA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,0,0,3
POOPO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,3,0,0,4
POROMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,1,0,0,2
POTOSI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,6,0,0,0,6
PUERTO ACOSTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,1,1,0,2
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,1,0,0,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,4,0,0,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,7,6,2,3,18
PUNA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,0,1,1
QUILLACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,2,79,90,173
REYES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,3,0,0,4
RIBERALTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,5,1,1,8
ROBORE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,0,0,0,1
RURRENABAQUE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,4,0,0,5
SAN ANDRES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,4,1,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,2,0,1,7
SAN BORJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,5,11,0,0,16
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,0,1,4
SAN CARLOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,6,11,0,0,17
SAN IGNACIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,3,0,0,4
SAN JOAQUIN,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,1,0,0,1
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,18,16,5,5,44
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,2,0,0,2
SAN PEDRO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,5,0,0,7
SAN RAFAEL,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,1,0,0,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,4,0,0,8
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,193,186,0,0,379
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,2,0,0,2
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,2,1,0,3
SAPAHAQUI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,2,0,0,2
SENA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,3,0,0,5
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,3,0,0,3
SORATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,1,1,5
SUCRE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,36,26,0,0,62
TARIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,2,8,0,0,10
TEOPONTE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,1,0,1
TINGUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,0,0,0,1
TOLEDO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,1,0,0,5
TOMAVE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,1,0,0,2
TOTORA(ORR),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,1,0,1
TRINIDAD,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,40,40,0,0,80
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,1,0,0,1
TURCO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,1,0,1
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,3,0,6
UYUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,9,7,3,0,19
VILLA MONTES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,2,0,0,3
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,0,0,1,0,1
VILLAZON,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,4,2,0,0,6
VITICHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,1,0,0,0,1
WARNES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,62,45,0,0,107
YACUIBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-01-01,16,15,0,1,32
ACHACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,7,0,0,9
ACHOCALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,1,1,2,5
ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,0,1
ARAMPAMPA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,3,3,7
ATOCHA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,0,1
BATALLAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,6,2,0,8
BELLA FLOR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,1,0,2
BETANZOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,4,0,0,5
BOLPEBRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,0,2,2
CABEZAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,10,20,0,0,30
CARACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,6,1,0,10
CARIPUYO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,5,3,1,1,10
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,0,0,0,2
CHAQUI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,3,0,0,6
CHARAGUA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,3,2,1,9
CHIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,3,4
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,3,0,0,7
CKOCHAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,0,0,1
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,11,5,0,0,16
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,15,17,0,0,32
COMANCHE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,0,1,2
COPACABANA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,2,0,0,2
COROICO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,2,0,0,4
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,3,0,0,6
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,2,0,0,4
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,23,31,2,3,59
EL PUENTE(STC),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,1,0,0,5
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,2,0,0,5
ESCOMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,2,3
HUACHACALLA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
HUANUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,0,0,1,5
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,0,0,1
LA GUARDIA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,10,0,0,14
LA PAZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,50,52,0,0,102
MACHACAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,2,0,0,4
MONTERO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,24,19,1,1,45
ORURO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,49,39,0,0,88
PAILON,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,5,23,27,59
PALOS BLANCOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,2,1,3,9
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,0,1
POOPO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,0,0,0,3
POROMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,2,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,0,1,2
PUERTO PEREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,5,4,9
PUERTO SUAREZ,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,5,4,0,0,9
PUNA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,0,2,0,4
QUIABAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
QUILLACOLLO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,1,0,1,4
RIBERALTA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,2,0,1,7
RURRENABAQUE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,5,0,0,9
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,2,0,0,4
SAN IGNACIO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,2,0,0,2
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,2,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,3,0,0,4
SAN PEDRO(PND),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,2,0,0,4
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,37,40,0,0,77
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,1,0,2
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,0,1,1
SENA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,1,0,0,5
SORACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,1,0,0,3
SORATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,3,0,3
SUCRE,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,5,0,0,7
TINGUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,1,0,1
TOLEDO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,17,15,0,0,32
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,0,1,1
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,4,1,3,0,8
UYUNI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,9,9,1,0,19
VILLA MONTES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,2,0,0,0,2
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,2,2,0,4
VILLAZON,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,5,0,0,0,5
VITICHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,0,0,1,1
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,3,0,0,0,3
WARNES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,18,33,1,1,53
YACUIBA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,0,1,0,0,1
YANACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-02-01,1,0,0,0,1
POROMA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-03-01,1,0,0,0,1
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-03-01,0,2,0,0,2
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-03-01,1,2,0,0,3
VITICHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-03-01,2,1,1,0,4
WARNES,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-03-01,1,0,0,0,1
ACHACACHI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,1,2,1,1,5
ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,1,0,0,1
ARAMPAMPA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,0,1,1
ASCENCION DE GUARAYOS,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,3,1,0,0,4
ATOCHA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,1,0,1
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,0,1,1
BELEN DE URMIRI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,1,0,1
BELLA FLOR,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,2,0,6,1,9
BOLPEBRA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,1,0,1
CALACOTO,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,0,0,1,1
CHAQUI,vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (7m a 11 m) 2da. dosis,2019-04-01,0,2,1,0,3
