,group,variable,month,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS DENTRO,ANTINEUMOCÓCICA 2DA DOSIS FUERA,ANTINEUMOCÓCICA 2DA DOSIS FUERA,TOTALES
BETANZOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,11,5,4,34
BOLIVAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,1,0,2,7
BOLPEBRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,0,1,1
BOYUIBE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,0,2,11
BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,10,0,1,25
CABEZAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,21,19,3,10,53
CAIROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,5,1,1,10
"CAIZA ""D""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,5,1,1,13
CAJUATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,15,0,1,26
CALACOTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,0,2,2
CALAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,8,0,1,15
CAMARGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,6,1,4,20
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,2,0,0,4
CAMIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,23,37,0,2,62
CAPINOTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,19,22,1,1,43
CAQUIAVIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,3,2,8
CARACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,8,3,2,24
CARANAVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,42,32,3,0,77
CARAPARI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,12,6,1,2,21
CARIPUYO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,7,2,0,14
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,4,2,2,14
CATACORA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,0,1
CHACARILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,25,11,3,5,44
CHAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,1,1,3,9
CHARAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,27,20,6,4,57
CHARAÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,0,0,2
CHAYANTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,5,1,3,17
CHIMORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,39,16,0,0,55
CHIPAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
CHOQUE COTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,1,0,0,3
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,13,0,0,27
CHUMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,5,2,1,12
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,6,2,1,18
CKOCHAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,3,1,2,16
CLIZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,20,14,0,1,35
COBIJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,41,46,2,6,95
COCAPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,3,3,5,15
COCHABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,634,703,8,4,1349
COLCAPIRHUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,41,27,0,0,68
"COLCHA ""K""",vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,0,1,10
COLLANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,2,0,0,5
COLOMI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,20,15,2,0,37
COLPA BELGICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,7,0,0,8
COLQUECHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,19,18,10,7,54
COLQUENCHA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,8,0,0,14
COLQUIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,20,3,2,34
COMARAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,18,17,2,2,39
COMBAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,3,0,4
CONCEPCION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,24,20,2,1,47
COPACABANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,8,1,6,18
CORIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,12,0,0,22
CORO CORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,3,0,1,8
COROICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,11,0,4,30
CORQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,3,0,0,8
COTAGAITA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,13,2,1,26
COTOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,67,57,7,3,134
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,18,4,2,37
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,3,0,0,3
CUEVO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,3,0,0,3
CULPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,12,8,3,0,23
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,0,0,0,3
CURVA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,1,0,0,5
DESAGUADERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,4,2,0,9
EL ALTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,711,763,132,104,1710
EL CHORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,1,1,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,8,1,1,21
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,5,0,1,11
EL TORNO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,66,51,2,3,122
EL VILLAR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,18,4,3,36
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,30,27,13,4,74
ESCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,0,1,1
ESCOMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,1,0,3
ESMERALDA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,1,2
EUCALIPTUS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,2,0,0,5
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
EXALTACION,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,2,0,0,2
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,8,3,3,23
FILADELFIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,6,3,11
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,20,4,0,32
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,1,3,13
GUANAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,8,4,7,34
GUAQUI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,1,2,12
GUAYARAMERIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,51,34,0,2,87
GUTIERREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,12,10,2,4,28
HUACARETA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,8,3,0,15
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,1,2
HUACHACALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,17,2,2,35
HUARACAJE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,3,1,0,5
HUARINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,0,2,2,9
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,2,0,3
HUMANATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,2,0,5
ICHOCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,1,0,2
ICLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,0,0,1,3
INCAHUASI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,5,3,4,20
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
INQUISIVI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,7,7,2,5,21
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,13,3,1,30
IXIAMAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,13,0,1,27
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,0,1,10
LA ASUNTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,46,30,3,6,85
LA GUARDIA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,117,119,3,4,243
LA PAZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,612,583,0,1,1196
LAGUNILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,7,2,1,1,11
LAJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,5,0,1,17
LAS CARRERAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,0,0,0,3
LICOMA PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,0,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,25,24,7,9,65
LLICA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
LORETO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,3,4
LURIBAY,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,4,0,3,11
MACHACAMARCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,3,0,0,6
MACHARETI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,4,1,1,8
MAGDALENA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,14,9,2,3,28
MAIRANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,16,9,1,0,26
MALLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,1,2,1,6
MAPIRI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,18,0,0,33
MECAPACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,7,9,2,3,21
MINEROS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,18,26,1,0,45
MIZQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,20,27,8,4,59
MOCOMOCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,4,1,3,16
MOJOCOYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,4,1,0,6
MONTEAGUDO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,27,14,1,1,43
MONTERO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,112,117,3,5,237
MORO MORO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,2,1,5,10
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,1,0,1,5
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,0,1
OCURI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,7,4,10,29
OKINAWA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,9,1,1,19
OMEREQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,1,2,1,7
ORURO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,308,263,11,8,590
PADCAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,15,1,0,31
PADILLA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,6,1,0,12
PAILON,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,19,14,11,5,49
PALCA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,13,5,5,34
PALOS BLANCOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,21,15,3,4,43
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,0,0,1
PAMPA GRANDE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,7,8,0,0,15
PAPEL PAMPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,2,0,1,6
PASORAPA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,1,2,0,3
PATACAMAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,17,10,3,5,35
PAZÑA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,0,0,2
PELECHUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,1,3,13
POCOATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,5,10,9,26
POCONA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,5,2,1,17
POJO (CBBA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,6,3,3,15
POOPO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,6,0,1,11
PORCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,16,14,2,2,34
POROMA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,6,6,3,18
PORONGO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,6,0,2,16
PORTACHUELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,14,2,0,29
PORVENIR,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,2,5,3,12
POTOSI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,218,189,40,37,484
PRESTO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,5,1,0,8
PUCARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,18,11,4,7,40
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,2,3
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,5,4,3,14
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,3,2,3,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,3,0,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,9,0,2,26
PUERTO RICO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,9,2,0,19
PUERTO SILES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,2,0,0,4
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,12,4,8,9,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,54,55,2,1,112
PUNA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,4,5,9,23
PUNATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,31,31,2,3,67
QUIABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,2,0,5
QUILLACOLLO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,73,83,51,42,249
QUIME,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,2,3,1,0,6
QUIRUSILLAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,1,0,1,5
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,7,1,0,12
RAVELO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,7,4,3,18
REYES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,7,0,0,18
RIBERALTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,74,78,10,8,170
ROBORE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,17,10,0,0,27
RURRENABAQUE,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,21,29,2,3,55
SABAYA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,4,0,1,6
SACABA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,145,130,26,17,318
SACABAMBA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,5,1,0,1,7
SACACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,8,2,5,23
SAIPINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,13,1,0,15
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,4,2,4,16
SAMAIPATA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,7,0,0,10
SAN AGUSTIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,0,1
SAN ANDRES,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,10,1,1,18
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,2,0,1,4
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,0,0,0,1
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,1,4,1,10
SAN BENITO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,7,6,4,0,17
SAN BORJA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,43,46,3,5,97
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,7,0,1,16
SAN CARLOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,22,24,0,0,46
SAN IGNACIO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,24,17,1,3,45
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,63,61,17,12,153
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,1,7,5,14
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,15,0,0,28
SAN JOAQUIN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,3,9,0,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,12,15,15,51
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,5,3,1,15
SAN JULIAN,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,40,49,10,4,103
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1,5,4,4,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,22,21,2,2,47
SAN LUCAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,17,13,11,9,50
SAN MATIAS,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,17,15,2,1,35
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,10,3,1,6,20
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,3,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,13,8,1,1,23
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,24,19,7,7,57
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,3,0,0,7
SAN PEDRO DE TIQUINA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,2,0,1,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,0,0,1,1,2
SAN RAFAEL,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,8,4,0,0,12
SAN RAMON BENI,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,4,1,1,2,8
SAN RAMON SCZ,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,11,4,1,0,16
SANTA ANA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,15,24,2,0,41
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,1465,1432,1,2,2900
SANTA ROSA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,6,4,0,0,10
SANTA ROSA DEL SARA,vacunaciones en menores de 1 ano,antineumococica 2da dosis,2019-01-01,9,21,1,0,31
