,group,variable,month,INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS DENTRO,INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,INFLUENZA ESTACIONAL (6M A 11 M) 1RA. DOSIS FUERA,TOTALES
CKOCHAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,0,0,0,2
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,6,6,0,0,12
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,83,87,0,0,170
COLQUENCHA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,1,0,0,2
COPACABANA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,3,0,0,4
COROICO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,2,1,0,3
COTAGAITA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,0,0,1
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,1,0,0,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,3,0,0,3
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,2,0,0,2
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,103,83,1,2,189
EL CHORO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,0,1
EL PUENTE(STC),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,8,10,0,0,18
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,4,0,0,7
ESCOMA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,2,0,3
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,1,0,2
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,0,1
HUANUNI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,12,5,3,1,21
HUAYLLAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,1,0,0,1
HUMANATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,1,0,0,1
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,0,0,1
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,1,1,3,6
LA ASUNTA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,7,5,0,0,12
LA GUARDIA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,23,21,0,2,46
LA PAZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,120,118,0,1,239
LAJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,2,0,0,3
MACHACAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,1,0,0,4
MAGDALENA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,8,0,1,13
MAPIRI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,10,7,0,0,17
MINEROS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,14,21,0,0,35
MONTERO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,47,63,2,2,114
OCURI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,1,2
OKINAWA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,8,0,0,12
ORURO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,138,177,0,0,315
PADILLA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,5,0,0,9
PAILON,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,11,16,5,5,37
PALOS BLANCOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,7,0,1,12
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,0,1
PAZÑA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,1,0,0,3
POCOATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,2,0,0,3
POOPO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,2,0,0,3
POROMA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,2,0,3
POTOSI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,2,0,0,4
PUCARANI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,3,4
PUERTO ACOSTA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,3,0,0,7
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,2,0,0,4
PUERTO PEREZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,0,0,0,3
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,15,17,0,0,32
PUERTO SUAREZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,8,4,5,1,18
PUNA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,0,0,2,6
QUILLACOLLO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,4,1,1,10
REYES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,2,0,0,2
RIBERALTA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,4,0,3,11
ROBORE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,1,0,0,4
RURRENABAQUE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,8,12,2,0,22
SABAYA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,1,0,0,2
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,2,2,4
SAN ANDRES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,6,1,0,0,7
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,3,0,3,7
SAN BORJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,21,22,0,0,43
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,4,0,0,7
SAN CARLOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,8,5,0,0,13
SAN IGNACIO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,4,0,0,6
SAN JOAQUIN,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,9,0,0,12
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,13,14,2,3,32
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,0,1
SAN MATIAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,2,1,0,0,3
SAN PEDRO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,3,1,0,7
SAN PEDRO(PND),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,0,1
SAN RAFAEL,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,4,1,0,8
SAN RAMON BENI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,1,2,4
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,238,280,2,0,520
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,2,0,1,4
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,1,0,2
SAPAHAQUI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,1,0,0,2
SENA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,11,8,1,0,20
SORATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,6,1,2,1,10
SUCRE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,27,32,1,0,60
TARIJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,4,5,0,0,9
TEOPONTE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,2,0,3,6
TINGUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,0,1,1
TOLEDO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,5,0,0,5
TOMAVE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,1,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,50,52,0,1,103
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,3,1,0,0,4
TURCO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,1,2,3
UMALA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,1,0,1,0,2
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,8,3,2,1,14
UYUNI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,17,13,3,1,34
VILLA MONTES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,5,4,0,0,9
VILLA NUEVA (LOMA ALTA),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,0,0,0,2,2
VILLAZON,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,13,7,0,0,20
WALDO BALLIVIAN,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,7,0,0,0,7
WARNES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,51,72,2,4,129
YACUIBA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-01-01,24,19,0,1,44
ACHACACHI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,8,11,4,5,28
ALTO BENI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
ANCORAIMES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,1,0,0,1
ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,1,0,0,1
ARAMPAMPA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,5,1,1,8
ATOCHA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,2,1,0,5
BATALLAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,7,2,2,0,11
BELEN DE ANDAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,2,0,0,2
BELLA FLOR,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,2,0,3
BETANZOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,5,4,3,3,15
BOLPEBRA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,0,3,0,3
CALACOTO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
CARACOLLO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,7,7,5,22
CARIPUYO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,1,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,1,2,2,7
CHALLAPATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,1,0,0,2
CHAQUI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
CHARAGUA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,8,5,5,5,23
CHIPAYA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,0,0,1,1
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,7,8,0,0,15
CHUMA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,1,0,0,2
COBIJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,6,7,0,0,13
COCHABAMBA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,33,31,0,1,65
"COLCHA ""K""",vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,4,0,0,0,4
COPACABANA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,1,0,1,4
COROICO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,13,4,0,0,17
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,2,0,0,2
EL ALTO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,42,30,1,2,75
EL CHORO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,0,0,0,2
EL PUENTE(STC),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,10,5,1,0,16
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,3,0,0,3
ESCOMA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,0,0,0,3
ESMERALDA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,1,0,1,5
FILADELFIA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,2,0,0,5
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,2,0,0,4
HUANUNI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,4,0,0,5
LA GUARDIA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,18,21,1,0,40
LA PAZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,76,74,0,0,150
MACHACAMARCA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,3,0,0,4
MONTERO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,31,27,1,2,61
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,4,0,0,5
ORURO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,61,65,0,3,129
PAILON,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,14,12,28,12,66
PALOS BLANCOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,10,4,1,7,22
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,1,0,0,1
PAZÑA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,1,0,1,3
POCOATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
POOPO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,2,0,0,3
POROMA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,3,1,1,7
POTOSI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,4,2,0,2,8
PRESTO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,1,1,1,3
PUCARANI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,5,2,3,1,11
PUERTO PEREZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,2,0,1,5
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,10,9,10,10,39
PUERTO SUAREZ,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,12,8,3,1,24
PUNA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,4,2,2,1,9
QUIABAYA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,4,3,0,0,7
QUILLACOLLO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,10,9,2,3,24
RIBERALTA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,1,2,4,9
RURRENABAQUE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,2,1,0,4
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,1,2,4
SAN ANDRES,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
SAN BORJA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,2,1,2,8
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,2,0,0,5
SAN CARLOS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,2,0,0,3
SAN IGNACIO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,3,0,0,4
SAN PEDRO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,2,1,0,6
SAN RAFAEL,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,4,1,0,0,5
SAN RAMON BENI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,2,0,1,3
SANTA CRUZ DE LA SIERRA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,73,72,0,0,145
SANTIAGO DE HUARI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,2,0,1,5
SANTUARIO DE QUILLACAS,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,3,1,0,5
SENA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,10,6,0,1,17
SICA SICA (VILLA AROMA),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,2,2,0,7
SORACACHI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,0,0,0,2
SORATA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,0,1,2,3
SUCRE,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,14,9,1,0,24
TIAHUANACU,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,5,12,0,0,17
TINGUIPAYA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,0,0,4,4,8
TOLEDO,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,1,1,2,5
TOTORA(ORR),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,0,0,0,1
TRINIDAD,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,26,32,0,0,58
TUPIZA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,1,3,1,1,6
UMALA,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,2,3,0,0,5
URIONDO (A. CONCEPCION),vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,3,3,1,2,9
UYUNI,vacunaciones en menores de 1 ano,influenza estacional (6m a 11 m) 1ra. dosis,2019-02-01,8,8,1,0,17
