,group,variable,month,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS DENTRO,ANTIROTAVIRÍCA 1RA DOSIS FUERA,ANTIROTAVIRÍCA 1RA DOSIS FUERA,TOTALES
BERMEJO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,39,31,1,1,72
BETANZOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,21,28,6,6,61
BOLIVAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,2,1,3
BOLPEBRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,0,3,3
BOYUIBE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,6,0,1,10
BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,14,8,0,0,22
CABEZAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,22,18,7,4,51
CAIROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,7,0,1,15
"CAIZA ""D""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,6,2,1,11
CAJUATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,18,0,1,32
CALACOTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,0,1,2
CALAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,6,1,0,13
CAMARGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,9,7,5,2,23
CAMATAQUI (C. VILLA ABECIA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
CAMIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,27,38,1,0,66
CAPINOTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,26,24,0,0,50
CAQUIAVIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,8,0,1,16
CARACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,12,2,2,21
CARANAVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,34,31,2,1,68
CARAPARI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,5,3,1,22
CARIPUYO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,0,0,1
CARMEN RIVERO TORREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,7,1,1,11
CATACORA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,0,0,1
CHALLAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,22,23,3,6,54
CHAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,5,0,2,10
CHARAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,15,16,2,3,36
CHARAÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,0,0,1
CHAYANTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,5,1,2,11
CHIMORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,23,24,1,1,49
CHIPAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,3,0,0,5
CHOQUE COTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,1,0,0,1
CHUA COCANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,1,0,0,6
CHULUMANI (V. DE LA LIBERTAD),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,17,9,0,0,26
CHUMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,2,0,2,6
CHUQUIHUTA AYLLU JUCUMANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,3,0,9
CKOCHAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,2,2,3,10
CLIZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,18,16,0,3,37
COBIJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,46,40,6,4,96
COCAPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,4,7,5,21
COCHABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,633,649,7,4,1293
COIPASA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,1,0,0,1
COLCAPIRHUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,44,33,0,0,77
"COLCHA ""K""",vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,5,0,0,16
COLLANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,4,0,0,8
COLOMI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,15,16,0,1,32
COLPA BELGICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,6,1,0,11
COLQUECHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,21,6,13,16,56
COLQUENCHA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,7,0,0,13
COLQUIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,6,5,2,19
COMANCHE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
COMARAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,22,16,0,2,40
COMBAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,0,1,1
CONCEPCION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,18,21,0,3,42
COPACABANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,10,1,3,17
CORIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,12,1,0,29
CORO CORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,3,1,0,6
COROICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,10,2,1,20
CORQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,0,0,6
COTAGAITA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,8,12,1,1,22
COTOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,31,20,0,0,51
CRUZ DE MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,0,1,1
CUATRO CAÑADAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,22,18,2,3,45
CUCHUMUELA (V. G. VILLARROEL),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,1,0,1,2
CUEVO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,4,2,2,11
CULPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,7,2,4,29
CURAHUARA DE CARANGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,1,0,0,4
CURVA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,0,1,0,3
DESAGUADERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,3,1,1,11
EL ALTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,758,743,104,125,1730
EL CHORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,1,0,3
EL PUENTE(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,3,0,0,10
EL PUENTE(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,8,0,1,16
EL TORNO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,32,33,10,4,79
EL VILLAR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,1,0,0,4
ENTRE RIOS TRJ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,21,15,2,3,41
ENTRE RIOS CBBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,28,27,8,1,64
ESCOMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,2,1,2,6
EUCALIPTUS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,9,0,0,0,9
EUREKA (SANTOS MERCADO),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,2,5,1,8
EXALTACION,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,3,0,0,5
FERNANDEZ ALONSO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,5,2,1,19
FILADELFIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,2,2,2,7
GENERAL SAAVEDRA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,11,0,0,24
GRAL. J.J. PEREZ (CHARAZANI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,4,1,11
GUANAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,7,2,4,26
GUAQUI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,2,1,0,3
GUAYARAMERIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,44,38,2,1,85
GUTIERREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,19,18,0,1,38
HUACARETA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,3,2,1,13
HUACAYA (VILLA DE HUACAYA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,1,0,2
HUACHACALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
HUANUNI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,15,11,2,3,31
HUARACAJE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,2,0,0,2
HUARINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,0,2,8
HUATAJATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
HUAYLLAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,0,0,0,2
ICHOCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,0,1,1,6
ICLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,1,2,2,8
INCAHUASI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,1,4,8,19
INGAVI (HUMAITA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,5,0,0,6
INQUISIVI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,9,6,0,26
IRUPANA (VILLA DE LANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,12,11,1,3,27
IXIAMAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,7,0,1,21
JESUS DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,4,1,1,11
LA ASUNTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,35,32,1,4,72
LA GUARDIA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,59,63,1,1,124
LA PAZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,573,583,1,2,1159
LAGUNILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,3,0,4,11
LAJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,11,1,0,28
LAS CARRERAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,2,0,2
LICOMA PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,0,0,0,3
LLALLAGUA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,19,17,9,6,51
LLICA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,0,0,0,3
LORETO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,5,4,12
LURIBAY,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,6,4,0,16
MACHACAMARCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,4,0,0,6
MACHARETI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,0,0,6
MAGDALENA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,10,14,0,2,26
MAIRANA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,9,5,0,0,14
MALLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,2,0,5
MAPIRI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,10,27,0,0,37
MECAPACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,10,3,3,0,16
MINEROS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,21,30,0,0,51
MIZQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,19,9,6,50
MOCOMOCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,2,7,4,19
MOJINETE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,1,0,1
MOJOCOYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,4,1,0,7
MONTEAGUDO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,19,20,1,1,41
MONTERO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,106,83,3,0,192
MORO MORO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,2,0,0,2
MOROCHATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,1,5,5,15
NACEBE (SANTA ROSA DEL ABUNA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,1,0,1
NAZACARA DE PACAJES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,1,0,0,1
NUEVO MANOA (NUEVA ESPERANZA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,3,1,5
OCURI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,8,6,4,3,21
OKINAWA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,8,13,1,0,22
OMEREQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,1,1,1,7
ORURO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,304,268,10,9,591
PADCAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,13,10,1,0,24
PADILLA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,8,2,1,14
PAILON,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,27,22,9,13,71
PALCA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,9,6,9,3,27
PALOS BLANCOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,20,23,3,4,50
PAMPA AULLAGAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
PAMPA GRANDE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,8,0,0,14
PAPEL PAMPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,1,0,1,7
PASORAPA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,2,1,9
PATACAMAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,18,27,6,2,53
PAZÑA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,1,2,3
PELECHUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,4,1,0,10
POCOATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,9,6,9,7,31
POCONA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,4,4,0,14
POJO (CBBA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,8,9,3,5,25
POOPO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,3,0,0,9
PORCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,12,6,0,1,19
POROMA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,3,2,7,16
PORONGO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,7,0,1,11
PORTACHUELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,15,16,0,0,31
PORVENIR,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,1,0,4,11
POSTRER VALLE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,1,0,0,1
POTOSI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,178,175,18,33,404
PRESTO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,3,1,3,11
PUCARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,1,0,0,2
PUCARANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,24,16,4,11,55
PUERTO ACOSTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,7,0,1,12
PUERTO CARABUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,11,2,2,20
PUERTO GONZALO MORENO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,2,1,4,10
PUERTO PEREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,2,2,1,6
PUERTO QUIJARRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,19,11,0,0,30
PUERTO RICO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,2,0,0,8
PUERTO SUAREZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,4,9,4,33
PUERTO VILLARROEL,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,62,54,5,3,124
PUNA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,5,5,1,12
PUNATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,26,38,3,3,70
QUIABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,0,1,4
QUILLACOLLO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,107,112,40,51,310
QUIME,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,4,0,0,10
QUIRUSILLAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,0,1,0,1
RAQAYPAMPA(ETA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,3,2,1,13
RAVELO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,6,3,4,17
REYES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,8,0,0,19
RIBERALTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,61,67,5,4,137
ROBORE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,19,16,0,0,35
RURRENABAQUE,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,18,16,0,6,40
SABAYA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,4,1,0,7
SACABA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,137,113,30,15,295
SACABAMBA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,1,0,4
SACACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,8,6,12,11,37
SAIPINA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,3,2,0,8
SALINAS DE GARCI MENDOZA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,5,3,4,1,13
SAMAIPATA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,6,0,2,19
SAN ANDRES,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,18,9,0,1,28
SAN ANDRES DE MACHACA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,0,3,2,0,5
SAN ANTONIO DE ESMORUCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,1,0,0,2,3
SAN ANTONIO DE LOMERIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,3,2,2,9
SAN BENITO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,10,4,4,7,25
SAN BORJA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,64,34,3,2,103
SAN BUENA VENTURA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,7,9,1,1,18
SAN CARLOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,14,0,0,30
SAN IGNACIO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,25,14,2,1,42
SAN IGNACIO DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,75,80,13,7,175
SAN JAVIER(BNI),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,5,4,12
SAN JAVIER(STC),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,12,8,0,0,20
SAN JOAQUIN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,4,5,0,0,9
SAN JOSE DE CHIQUITOS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,20,17,13,17,67
SAN JUAN DE YAPACANI,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,6,5,1,2,14
SAN JULIAN,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,43,35,10,4,92
SAN LORENZO(PND),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,3,1,5,5,14
SAN LORENZO(TJA),vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,24,13,1,0,38
SAN LUCAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,12,10,10,6,38
SAN MATIAS,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,16,8,2,1,27
SAN MIGUEL DE VELASCO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,11,4,8,8,31
SAN PABLO DE LIPEZ,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,3,0,0,5
SAN PEDRO,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,10,6,1,1,18
SAN PEDRO DE BUENA VISTA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,29,13,12,15,69
SAN PEDRO DE CURAHUARA,vacunaciones en menores de 1 ano,antirotavirica 1ra dosis,2019-01-01,2,1,0,1,4
