,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-08-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-08-01,0,1,1
AIQUILE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,0,1,1
CHIMORE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,2,0,2
CONCEPCION,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-09-01,10,0,10
ACHOCALLA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-10-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-10-01,1,1,2
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-10-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,1,0,1
PUCARANI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,3,1,4
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-11-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,2,1,3
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2018-12-01,0,1,1
