,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SAPAHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,2,2
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,3,1,4
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,1,3
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,3,5
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
TOLATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,2,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,2,3
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,5,1,6
VILLAZON,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,1,2
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,1,0,1
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,4,1,5
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,0,1,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-01-01,2,1,3
AYATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,4,5
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,2,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,6,5,11
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,5,1,6
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,8,11
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,2,5
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,2,4
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,0,3
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,1,3
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,2,5
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,0,2
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,5,8
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,4,1,5
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,1,2
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,1,3
PUERTO SUAREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,6,4,10
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,4,4
RAQAYPAMPA(ETA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,4,5
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,1,3
SAMAIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
SAN BENITO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,0,3
SAN PEDRO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,58,32,90
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,1,3
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,6,4,10
TAPACARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,0,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,0,2
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,0,2
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,1,3
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,3,0,3
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,2,3,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-02-01,0,2,2
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,1,2
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,0,2
BOLPEBRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,2,2
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,0,2
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,1,3
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,6,5,11
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,0,2
CHAYANTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
CLIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,6,4,10
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
COLQUECHACA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,1,3
CORQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,4,1,5
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,2,2
EL VILLAR,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,1,2
GUAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,2,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,3,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,4,5,9
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,0,2
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,8,1,9
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,3,2,5
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
POROMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
PUCARANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,4,1,5
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,6,2,8
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,5,3,8
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,1,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,5,0,5
SAMAIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,2,2,4
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,3,0,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,61,34,95
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,1,2
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,4,2,6
TARABUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,3,1,4
TARACO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,4,4,8
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,3,1,4
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,2,3
TUPIZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
VACAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,2,3
VITICHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,1,1,2
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-03-01,9,0,9
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
ARBIETO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
BETANZOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
CALAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,3,4
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,2,2
CHALLAPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,9,3,12
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,3,5
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
INCAHUASI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,4,1,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
LAS CARRERAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,2,3
MAGDALENA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,5,1,6
MOROCHATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,5,7
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,3,3
PAMPA AULLAGAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
PELECHUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
POOPO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
POROMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,2,3
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,3,2,5
REYES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,6,2,8
ROBORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
SAMAIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
SAN BENITO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
SAN LORENZO(TJA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,49,40,89
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,4,0,4
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,5,2,7
TACACOMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,1,3
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,3,0,3
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,3,1,4
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
VILLA RIVERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,3,1,4
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,0,2
WARNES,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,2,4
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,2,3,5
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-04-01,1,1,2
AIQUILE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,1,2
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
ARANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,0,1,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,3,2,5
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,2,0,2
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,4,3,7
CONCEPCION,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,0,1,1
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,0,1,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2018-05-01,0,1,1
