,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,3,2,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,2,3
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-05-01,5,0,5
CHALLAPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,4,0,4
CONCEPCION,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,1,1,2
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,0,1,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,0,2,2
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,5,1,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,3,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,0,1,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,1,2
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,5,3,8
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-07-01,0,1,1
ANDAMARCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
CABEZAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,5,0,5
CUATRO CAÑADAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,3,2,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,2,2,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
SAN RAFAEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,7,0,7
TARATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-08-01,1,1,2
CABEZAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,2,1,3
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,2,0,2
PUERTO SUAREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,3,0,3
SOPACHUY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
TORO TORO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,7,2,9
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,4,0,4
LA ASUNTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,1,1,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,3,1,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,4,1,5
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-10-01,0,1,1
CHIMORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,12,0,12
COLQUECHACA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,2,2,4
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
POROMA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,7,2,9
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,2,0,2
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,0,1,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-11-01,0,1,1
ACHACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,8,1,9
COMARAPA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,2,0,2
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,0,3,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,5,1,6
TARVITA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2018-12-01,1,0,1
