,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,8,4,12
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,7,2,9
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,54,10,64
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,2,3
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,0,5
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,6,4,10
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,3,6
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,2,7
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,3,5
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,3,6
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,2,2
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,2,2
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,84,41,125
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,2,3
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,10,3,13
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,1,6
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,1,2
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,4,6
UYUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,1,3
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,4,9
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,5,0,5
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,3,1,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,10,1,11
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,1,2,3
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-01-01,6,1,7
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,0,3
BOLPEBRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
CALACOTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,8,8,16
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,1,2
CARMEN RIVERO TORREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,0,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,5,8
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,6,2,8
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,29,10,39
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,4,0,4
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,2,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,4,7
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,28,16,44
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,1,3
ESCOMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,0,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,7,7,14
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,20,18,38
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,1,2
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,13,3,16
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,8,7,15
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,1,3
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,79,12,91
PRESTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,1,3
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,4,4,8
PUNA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,9,5,14
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,3,4
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,5,1,6
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,2,2
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,2,5
SAN RAMON SCZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,83,52,135
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,3,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,1,4
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,7,4,11
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,5,2,7
TIAWANACU,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,6,4,10
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,2,0,2
VILLA RIVERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,2,3
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,0,1,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,9,5,14
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,4,6,10
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,3,1,4
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,2,3
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
BELLA FLOR,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,2,0,2
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
CALAMARCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,2,0,2
CARACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,5,8
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,2,2,4
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,7,1,8
COCAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,28,10,38
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,2,3
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,5,0,5
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,28,17,45
EL CHORO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
EL PUENTE(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,5,8
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,4,0,4
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,2,0,2
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,0,3
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,0,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,5,0,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,27,14,41
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
MAIRANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,2,3
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,0,3
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,2,1,3
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
MOCOMOCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,11,5,16
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,9,7,16
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,2,3
POJO (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
PORVENIR,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,107,16,123
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,0,3
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,2,5
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,4,1,5
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,3,6
RAQAYPAMPA(ETA),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,2,5
ROBORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
SABAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,10,0,10
SAIPINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,1,2
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,3,0,3
SAN JAVIER(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
SAN JOAQUIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2018-03-01,1,0,1
