,group,variable,month,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,Nº DE TBP BAAR (+) NUEVOS CURADOS CANTIDAD,TOTALES
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,1,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,2,4
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,2,2,4
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,1,1
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,0,1,1
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,4,0,4
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-01-01,4,5,9
AZURDUY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
BATALLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
BOYUIBE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
CAMARGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,0,2
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,2,2
CKOCHAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
COPACABANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,6,1,7
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,16,9,25
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,1,2
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,3,0,3
HUAYLLAMARCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,2,4
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,3,2,5
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,12,4,16
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,12,4,16
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,6,0,6
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,3,0,3
PUERTO RICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,2,3
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,5,7
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,2,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,2,4
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,73,46,119
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,0,2
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,1,3
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,3,0,3
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,5,0,5
TEOPONTE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,3,1,4
VILLA CHARCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,2,0,2
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,4,5,9
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,1,2,3
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,5,2,7
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,0,1,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-02-01,4,2,6
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
AYATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
BATALLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,1,2
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,1,2
CAMIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,2,2
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,5,1,6
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
CARIPUYO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
CHUMA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,3,3,6
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,2,3
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,22,11,33
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,4,3,7
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
GUTIERREZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,3,4,7
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,1,3
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,15,7,22
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
MACHARETI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,15,4,19
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,5,7
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,4,4
PELECHUCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
PORCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,2,3
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,6,1,7
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,1,3
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,1,3
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,2,3
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,2,4
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,1,3
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
SAN RAMON BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,93,46,139
SANTA ROSA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,4,2,6
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
SORACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,0,2
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,7,1,8
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,2,1,3
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,5,1,6
UYUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,0,1,1
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,2,3
VILLA RIVERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,3,2,5
VINTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,1,2
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,5,7,12
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,1,2
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
BERMEJO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
CARACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,1,6
CARAPARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
CHAQUI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,2,3
COBIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,4,2,6
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,1,2
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
CORQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,8,5,13
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,27,7,34
EL PUENTE(STC),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,2,3
INCAHUASI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,6,11
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,14,5,19
LLALLAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,0,2
MINEROS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
MOJOCOYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,12,3,15
OCURI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,1,2
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,4,0,4
PADCAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,1,3
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,0,2
POOPO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
PORONGO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,3,2,5
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,3,8
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,4,4
RURRENABAQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,1,6
SAN BENITO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,4,0,4
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,0,2
SAN JULIAN,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,3,5
SAN LUCAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SAN MATIAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,1,2
SANTA ANA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,77,40,117
SHINAOTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,2,4,6
SIPE SIPE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
SORATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
SUCRE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
TARIJA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,7,1,8
TIPUANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
TOMINA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,0,5
VIACHA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,3,0,3
VILLA RIVERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
VILLA SERRANO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,3,1,4
YACUIBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,4,6,10
YAMPARAEZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,0,1,1
YAPACANI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,5,2,7
YOTALA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,2,2
ANTEQUERA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
APOLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
ARQUE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
BATALLAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,1,2
CABEZAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
CARANAVI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,4,0,4
CHARAGUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,1,1
CHIMORE,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,5,1,6
COLCAPIRHUA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,1,2
CORIPATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
COROICO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,1,2
COTAGAITA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,3,1,4
COTOCA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,4,2,6
CUATRO CAÑADAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,32,7,39
EL TORNO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,2,2
GUANAY,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,1,1
HUANUNI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,6,2,8
LA GUARDIA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,2,5,7
LA PAZ,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,4,5,9
MAPIRI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,3,0,3
MONTERO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,7,4,11
ORURO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,2,1,3
PADILLA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,2,0,2
PAMPA AULLAGAS,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
POTOSI,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,2,1,3
PUNATA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
SACABA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,0,1,1
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,no de tbp baar (+) nuevos curados,2022-05-01,1,0,1
