,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA II CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,0,0,0
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,1,2
REYES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-04-01,3,0,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,1,2
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,3,0,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-05-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,1,0,1
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,2,3,5
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-06-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,1,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,0,0
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,2,0,2
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,1,0,1
SAN PEDRO DE BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-07-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,7,7
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,1,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,2,0,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,1,0,1
REYES,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,1,1,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-08-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,2,3,5
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,0,2,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,5,2,7
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-09-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,1,2
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,4,1,5
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,1,2
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-10-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,2,1,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,3,1,4
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,0,1
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema ii,2022-12-01,1,0,1
