,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,2,0,2
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,3,1,4
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,3,0,3
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,0,1,1
SAN BENITO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,0,1,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,10,2,12
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
YAMPARAEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,0,1,1
YANACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-04-01,1,0,1
AYATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,4,1,5
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
PALCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,13,0,13
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,2,0,2
VINTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,2,0,2
LA ASUNTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,8,5,13
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,2,0,2
PUNATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,6,2,8
SANTIAGO DE CALLAPA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,2,0,2
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-06-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,2,2,4
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,2,1,3
OCURI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,2,0,2
SAN IGNACIO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,5,1,6
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-07-01,1,0,1
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,4,2,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,3,1,4
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,3,2,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,2,1,3
SAN LUCAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,3,1,4
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-08-01,1,0,1
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,0,1,1
CHAYANTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,2,1,3
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,3,2,5
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,3,1,4
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,4,1,5
SENA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,3,3,6
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,3,1,4
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,5,0,5
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,7,2,9
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-10-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
CARMEN RIVERO TORREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,4,1,5
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,3,0,3
PAILON,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,5,2,7
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-11-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
CHIMORE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,1,2
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,2,3,5
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,8,0,8
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,5,1,6
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
VILLA RIVERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,2,0,2
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,1,0,1
YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,2,0,2
ZUDAÑEZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2022-12-01,0,1,1
