,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-09-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-09-01,2,0,2
CARANAVI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,0,1,1
COTAGAITA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,0,1,1
GUANAY,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,3,0,3
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-10-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-11-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-11-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,0,1,1
MAPIRI,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,1,2,3
SHINAOTA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,0,1,1
VILLAZON,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2022-12-01,1,0,1
