,group,variable,month,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,Nº DE PACIENTES MULTIBACILARES CON SEGUIMIENTO A SUS CONTACTOS CANTIDAD,TOTALES
YACUIBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-10-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-10-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-10-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-10-01,5,1,6
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-11-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-11-01,0,0,0
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-11-01,0,1,1
COBIJA,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-12-01,1,0,1
EL TORNO,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-12-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multibacilares con seguimiento a sus contactos,2022-12-01,0,0,0
