,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA I CANTIDAD,TOTALES
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,5,0,5
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,3,4
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,7,0,7
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,2,5
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,0,3
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,4,6
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,5,1,6
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SAN JUAN DE YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,1,4
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,106,55,161
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,2,0,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,2,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,7,1,8
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,3,3,6
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TORO TORO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,4,1,5
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,0,1
VILLAZON,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,1,1,2
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,8,0,8
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,5,2,7
YAMPARAEZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,5,2,7
YOTALA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
APOLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
CABEZAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,4,7
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,1,4
CLIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,0,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,20,12,32
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,1,4
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,0,3
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,7,3,10
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,2,4
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,13,15,28
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,7,1,8
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
GENERAL SAAVEDRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,3,3
GUTIERREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,1,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
JESUS DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,2,4
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,7,12,19
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,27,13,40
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
MACHARETI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,1,2
MAGDALENA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,0,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,16,5,21
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,4,2,6
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,2,4
PAZÑA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,2,8
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,5,8
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,4,10
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,4,10
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,7,2,9
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,2,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,1,2
SAN LORENZO(PND),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,101,63,164
SANTA ROSA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,4,1,5
SICA SICA (VILLA AROMA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,1,3
SORACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,4,10
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,4,5,9
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,2,0,2
TOMINA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,2,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,3,9
UNCIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,1,2
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,5,1,6
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,4,0,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,6,4,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,0,3,3
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-02-01,3,5,8
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,2,3
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
AIQUILE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,4,2,6
ATOCHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
BELLA FLOR,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,3,6
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
BOLIVAR,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
CAJUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
CAMARGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,7,5,12
CHALLAPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,3,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
CHUMA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,0,3
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,43,20,63
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
"COLCHA ""K""",tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
COLLANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,3,5
COPACABANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,4,1,5
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,2,4
COTAGAITA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,3,8
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,31,14,45
EL PUENTE(STC),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,1,4
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,3,5
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,3,8
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,3,8
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,31,24,55
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,0,3
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,1,4
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,19,9,28
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,8,4,12
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,4,0,4
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,2,2
PORCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,2,7
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,5,7
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,6,3,9
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,2,7
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,1,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,3,6
SAN ANDRES DE MACHACA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SAN BENITO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,2,3
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,0,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,5,6
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SANTA ANA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,107,89,196
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,0,5
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,3,0,3
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,10,7,17
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,3,8
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,0,1,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,6,7,13
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,5,2,7
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,1,2,3
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema i,2022-03-01,2,1,3
