,group,variable,month,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,Nº DE PERSONAS CON TB EN TSF CON PRUEBA RÁPIDA CANTIDAD,TOTALES
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
POROMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,0,2
PORTACHUELO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,3,4
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,2,4
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,0,3
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,4,6
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,5,2,7
SAN BUENA VENTURA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,3,1,4
SAN LORENZO(PND),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,67,54,121
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,2,3
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,2,4
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,7,2,9
TACACOMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
TAPACARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,2,4
TARABUCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,1,3
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,4,0,4
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,1,3
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,1,2
VILLA RIVERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,1,0,1
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,2,1,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,4,0,4
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,5,2,7
YAMPARAEZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,5,2,7
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-01-01,0,1,1
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,3,5
CARAPARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
CHARAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,2,2
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,3,1,4
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,3,0,3
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,19,11,30
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,3,1,4
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,0,4
COTAGAITA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,8,3,11
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,2,4
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,11,14,25
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,5,1,6
GENERAL SAAVEDRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,3,4
GUTIERREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,1,2
HUANUNI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,1,3
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,7,11,18
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,20,11,31
MACHARETI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
MAGDALENA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,12,3,15
NACEBE (SANTA ROSA DEL ABUNA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
NUEVO MANOA (NUEVA ESPERANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,2,4
PAZÑA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
POROMA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
PORONGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,1,5
PUERTO QUIJARRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
PUERTO RICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,4,5
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,6,3,9
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,5,4,9
RURRENABAQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,1,2
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,8,2,10
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
SAN BUENA VENTURA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,1,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SAN PEDRO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,90,66,156
SANTA ROSA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,1,5
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,3,1,4
SORACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,7,4,11
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,5,9
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
TOMINA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,2,2
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,7,3,10
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
VALLEGRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,0,1,1
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
VILLA SERRANO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,0,4
VILLA VACA GUZMAN (MUYUPAMPA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,1,0,1
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,1,5
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,7,3,10
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-02-01,4,5,9
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
AIQUILE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,2,6
BAURES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
BELLA FLOR,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
BERMEJO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,3,5
BETANZOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
BOLIVAR,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
BOYUIBE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
CABEZAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
CAJUATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
CAMARGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
CAMIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,2,4
CARANAVI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,8,6,14
CHALLAPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
CHIMORE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
COBIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,0,4
COCHABAMBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,48,16,64
COLCAPIRHUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
COLLANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
COLOMI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
CONCEPCION,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,3,6
COPACABANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
CORIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
COROICO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,2,4
COTAGAITA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,5,3,8
CUATRO CAÑADAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
EL ALTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,28,14,42
EL TORNO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,2,5
ENTRE RIOS CBBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,3,5
FERNANDEZ ALONSO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
GUANAY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
GUAYARAMERIN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
IXIAMAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
LA ASUNTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,5,3,8
LA GUARDIA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,5,3,8
LA PAZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,24,17,41
LLALLAGUA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
MAPIRI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,1,4
MECAPACA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
MINEROS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
MIZQUE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
MONTERO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,17,6,23
OKINAWA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
ORURO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,8,4,12
PALCA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
PALOS BLANCOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
PAMPA GRANDE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,0,4
PORCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
PORONGO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
PUERTO SUAREZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,5,9
QUILLACOLLO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,6,3,9
QUIRUSILLAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,1,4
SACABA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,3,7
SAMAIPATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
SAN BENITO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,3,3
SAN BUENA VENTURA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
SAN JULIAN,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,5,6
SAN LUCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
SAN MIGUEL DE VELASCO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
SANTA ANA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,79,78,157
SANTA ROSA DEL SARA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
SANTIAGO DE HUATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,4,0,4
SIPE SIPE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
SOPACHUY,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
SORATA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
SUCRE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,10,7,17
TARIJA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,5,3,8
TEOPONTE,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,1,2
TIPUANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,1,4
TRINIDAD,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,6,5,11
VACAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
VIACHA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,2,3
VILLA CHARCAS,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,3,5
VILLA MONTES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,2,1,3
VILLA TUNARI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,0,3
VINTO,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,2,3
WARNES,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,3,2,5
YACUIBA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,6,4,10
YANACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
YAPACANI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,5,3,8
YOTALA,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de personas con tb en tsf con prueba rapida,2022-04-01,2,0,2
