,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA III CANTIDAD,TOTALES
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,1,2
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,1,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,0,0
LAJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
POROMA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,4,2,6
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,0,1
TUPIZA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-05-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,1,0,1
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,0,1,1
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,7,3,10
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-06-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,1,0,1
CURAHUARA DE CARANGAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,1,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,2,5,7
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-07-01,1,0,1
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,2,1,3
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,0,0
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,3,5,8
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-08-01,0,1,1
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,0,0,0
LAGUNILLAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,0,1,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,2,3,5
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,0,1
YUNCHARA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-09-01,1,2,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,0,0
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,1,0,1
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,3,2,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,2,2
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-10-01,0,1,1
BUENA VISTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,1,0,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,2,2
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,2,2
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,1,0,1
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,0,0
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,3,1,4
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,3,0,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,3,3,6
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,0,1,1
YANACACHI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-11-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,1,1,2
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,2,0,2
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,0,0,0
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,0,1,1
PORONGO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,2,0,2
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,3,3,6
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,1,0,1
YAPACANI,tuberculosis y lepra,tratamientos iniciados con esquema iii,2022-12-01,0,1,1
