municipality,group,variable,month,Nº. De actividades educativas en Salud,TOTAL
EL TORNO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,44,44
EL VILLAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,39,39
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
ESCOMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
EUCALIPTUS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,21,21
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,13,13
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
GUTIERREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,19,19
HUARINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
HUMANATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
ICLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,8,8
INQUISIVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
IXIAMAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
LA GUARDIA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,36,36
LA PAZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,134,134
LAGUNILLAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,21,21
LICOMA PAMPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
LURIBAY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,74,74
MAIRANA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
MECAPACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,11,11
MINEROS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
MIZQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
MOCOMOCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
MOJINETE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
MOJOCOYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,23,23
MONTEAGUDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,15,15
MONTERO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,22,22
MORO MORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
MOROCHATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
OKINAWA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
ORURO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,113,113
PADCAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,14,14
PADILLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,23,23
PALOS BLANCOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
PAMPA AULLAGAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
PAMPA GRANDE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
PAZÑA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
PELECHUCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
POOPO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
POROMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,14,14
PORONGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
POSTRER VALLE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
POTOSI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
PUCARANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
PUERTO PEREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
PUERTO VILLARROEL,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
PUNATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,420,420
QUILLACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,60,60
QUIME,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
QUIRUSILLAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
RIBERALTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,34,34
RURRENABAQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
SABAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SACABA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,18,18
SACABAMBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SACACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,17,17
SAIPINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SALINAS DE GARCI MENDOZA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
SAN BORJA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
SAN BUENA VENTURA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,30,30
SAN CARLOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
SAN IGNACIO DE VELASCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,12,12
SAN JUAN DE YAPACANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,17,17
SAN LORENZO(TJA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
SAN LUCAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,34,34
SAN MIGUEL DE VELASCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,18,18
SAN PABLO DE LIPEZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
SAN PEDRO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,16,16
SAN PEDRO DE BUENA VISTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
SAN PEDRO DE CURAHUARA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
SAN PEDRO DE TIQUINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
SAN RAFAEL,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SANTA CRUZ DE LA SIERRA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,63,63
SANTA ROSA DEL SARA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SANTIAGO DE CALLAPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
SANTIAGO DE HUARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
SANTIVAÑES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,40,40
SAPAHAQUI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,16,16
SICA SICA (VILLA AROMA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,17,17
SIPE SIPE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
SORACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
SUCRE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,48,48
TACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
TACOPAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
TAPACARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
TARABUCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,25,25
TARIJA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,10,10
TARVITA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,21,21
TEOPONTE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,30,30
TIPUANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,6,6
TIQUIPAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
TIRAQUE (CBBA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,9,9
TITO YUPANQUI (PARQUIPUJIO),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
TOLATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
TOMINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
TOTORA(ORR),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
TRINIDAD,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,5,5
TUPIZA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
TURCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
UMALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,9,9
URIONDO (A. CONCEPCION),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,3,3
UYUNI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
VIACHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
VILLA MONTES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,2,2
VILLA SERRANO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,26,26
VILLA TUNARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,8,8
VILLAZON,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,4,4
VINTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
YACO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
YACUIBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,8,8
YAMPARAEZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,11,11
YAPACANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,28,28
YOCALLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,1,1
YOTALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,7,7
YUNCHARA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,21,21
ZUDAÑEZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-01-01,20,20
ACACIO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
ACHACACHI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,11,11
ACHOCALLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
AIQUILE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,25,25
ALALAY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
ALCALA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,12,12
ALTO BENI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
ANCORAIMES,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,52,52
ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,28,28
ANTEQUERA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
ANZALDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
APOLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
ARAMPAMPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
ARANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
ARBIETO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
ATOCHA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,14,14
AUCAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,3,3
AYO AYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
AYOPAYA (V. DE INDEPENDENCIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,11,11
AZURDUY,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
BELEN DE ANDAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
BERMEJO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,12,12
BETANZOS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,29,29
BOLIVAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,5,5
BUENA VISTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,16,16
CABEZAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,7,7
CAIROMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CAJUATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,12,12
CALAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
CAMARGO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,28,28
CAMATAQUI (C. VILLA ABECIA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,3,3
CAMIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,17,17
CAPINOTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,16,16
CAQUIAVIRI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CARACOLLO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CARANAVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,22,22
CARAPARI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
CARIPUYO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CARMEN RIVERO TORREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,3,3
CHALLAPATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,14,14
CHAYANTA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CHIPAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CHUMA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
CHUQUIHUTA AYLLU JUCUMANI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
CKOCHAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CLIZA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
COCHABAMBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,12,12
COLCAPIRHUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,20,20
COLOMI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,7,7
COMARAPA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,9,9
COMBAYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,3,3
COPACABANA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
COROICO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
CUEVO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
CULPINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,20,20
CURAHUARA DE CARANGAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,9,9
DESAGUADERO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,15,15
EL ALTO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,227,227
EL CHORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,5,5
EL PUENTE(STC),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
EL PUENTE(TJA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,26,26
EL TORNO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,22,22
EL VILLAR,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,12,12
ENTRE RIOS TRJ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
ENTRE RIOS CBBA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,7,7
EUCALIPTUS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,32,32
FERNANDEZ ALONSO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,23,23
GENERAL SAAVEDRA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
GRAL. J.J. PEREZ (CHARAZANI),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
GUAYARAMERIN,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2796,2796
GUTIERREZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
HUACARETA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,7,7
HUACAYA (VILLA DE HUACAYA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
HUANUNI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,11,11
HUARINA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,10,10
ICLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
INCAHUASI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
INQUISIVI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,3,3
IRUPANA (VILLA DE LANZA),actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,8,8
IXIAMAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
JESUS DE MACHACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
LA GUARDIA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,32,32
LA PAZ,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,168,168
LAGUNILLAS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,13,13
LLALLAGUA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
LLICA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
MACHACAMARCA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
MACHARETI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,151,151
MAGDALENA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,15,15
MAIRANA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,5,5
MALLA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
MECAPACA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,96,96
MINEROS,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
MIZQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
MOCOMOCO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
MOJOCOYA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,27,27
MONTEAGUDO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,13,13
MONTERO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,39,39
MORO MORO,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,4,4
MOROCHATA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,5,5
OCURI,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,1,1
OKINAWA,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,13,13
OMEREQUE,actividades del establecimiento y con la comunidad,no. de actividades educativas en salud,2010-02-01,2,2
