,group,variable,month,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,N° DE PERSONAS CON PRUEBA RÁPIDA CANTIDAD,TOTALES
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-01-01,2,1,3
SAN PEDRO,vih,n de personas con prueba rapida,2011-01-01,2,3,5
SANTA ANA,vih,n de personas con prueba rapida,2011-01-01,4,0,4
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-01-01,59,230,289
SENA,vih,n de personas con prueba rapida,2011-01-01,2,3,5
SHINAOTA,vih,n de personas con prueba rapida,2011-01-01,1,22,23
SOPACHUY,vih,n de personas con prueba rapida,2011-01-01,0,1,1
SUCRE,vih,n de personas con prueba rapida,2011-01-01,40,101,141
TARABUCO,vih,n de personas con prueba rapida,2011-01-01,3,0,3
TARIJA,vih,n de personas con prueba rapida,2011-01-01,52,97,149
TOMINA,vih,n de personas con prueba rapida,2011-01-01,0,5,5
TRINIDAD,vih,n de personas con prueba rapida,2011-01-01,9,19,28
TURCO,vih,n de personas con prueba rapida,2011-01-01,13,5,18
VALLEGRANDE,vih,n de personas con prueba rapida,2011-01-01,0,47,47
VILLA MONTES,vih,n de personas con prueba rapida,2011-01-01,10,9,19
VILLA NUEVA (LOMA ALTA),vih,n de personas con prueba rapida,2011-01-01,0,4,4
VILLA SERRANO,vih,n de personas con prueba rapida,2011-01-01,0,7,7
VILLAZON,vih,n de personas con prueba rapida,2011-01-01,0,7,7
WARNES,vih,n de personas con prueba rapida,2011-01-01,3,2,5
YACUIBA,vih,n de personas con prueba rapida,2011-01-01,2,3,5
YAPACANI,vih,n de personas con prueba rapida,2011-01-01,2,25,27
YUNCHARA,vih,n de personas con prueba rapida,2011-01-01,1,1,2
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-01-01,0,11,11
ACHACACHI,vih,n de personas con prueba rapida,2011-02-01,0,40,40
ALCALA,vih,n de personas con prueba rapida,2011-02-01,1,0,1
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-02-01,4,3,7
AZURDUY,vih,n de personas con prueba rapida,2011-02-01,1,15,16
BATALLAS,vih,n de personas con prueba rapida,2011-02-01,2,0,2
BERMEJO,vih,n de personas con prueba rapida,2011-02-01,5,2,7
BETANZOS,vih,n de personas con prueba rapida,2011-02-01,0,1,1
BOLPEBRA,vih,n de personas con prueba rapida,2011-02-01,1,1,2
BUENA VISTA,vih,n de personas con prueba rapida,2011-02-01,0,2,2
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-02-01,1,12,13
CAMIRI,vih,n de personas con prueba rapida,2011-02-01,8,15,23
CARACOLLO,vih,n de personas con prueba rapida,2011-02-01,6,18,24
CARANAVI,vih,n de personas con prueba rapida,2011-02-01,15,8,23
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-02-01,1,4,5
CHUMA,vih,n de personas con prueba rapida,2011-02-01,1,2,3
COBIJA,vih,n de personas con prueba rapida,2011-02-01,4,60,64
COCHABAMBA,vih,n de personas con prueba rapida,2011-02-01,16,124,140
COLOMI,vih,n de personas con prueba rapida,2011-02-01,1,0,1
CORQUE,vih,n de personas con prueba rapida,2011-02-01,0,4,4
EL ALTO,vih,n de personas con prueba rapida,2011-02-01,372,740,1112
EL PUENTE(TJA),vih,n de personas con prueba rapida,2011-02-01,2,0,2
EL TORNO,vih,n de personas con prueba rapida,2011-02-01,3,8,11
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-02-01,0,18,18
EUREKA (SANTOS MERCADO),vih,n de personas con prueba rapida,2011-02-01,0,1,1
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2011-02-01,2,24,26
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-02-01,50,152,202
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-02-01,0,2,2
HUANUNI,vih,n de personas con prueba rapida,2011-02-01,0,7,7
INQUISIVI,vih,n de personas con prueba rapida,2011-02-01,0,1,1
LA ASUNTA,vih,n de personas con prueba rapida,2011-02-01,2,2,4
LA GUARDIA,vih,n de personas con prueba rapida,2011-02-01,8,32,40
LA PAZ,vih,n de personas con prueba rapida,2011-02-01,95,219,314
LAGUNILLAS,vih,n de personas con prueba rapida,2011-02-01,0,1,1
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-02-01,1,6,7
LLALLAGUA,vih,n de personas con prueba rapida,2011-02-01,6,7,13
MACHARETI,vih,n de personas con prueba rapida,2011-02-01,1,3,4
MINEROS,vih,n de personas con prueba rapida,2011-02-01,0,39,39
MIZQUE,vih,n de personas con prueba rapida,2011-02-01,1,0,1
MONTEAGUDO,vih,n de personas con prueba rapida,2011-02-01,14,32,46
MONTERO,vih,n de personas con prueba rapida,2011-02-01,2,138,140
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-02-01,0,3,3
ORURO,vih,n de personas con prueba rapida,2011-02-01,37,45,82
PADCAYA,vih,n de personas con prueba rapida,2011-02-01,0,16,16
PAILON,vih,n de personas con prueba rapida,2011-02-01,1,3,4
POJO (CBBA),vih,n de personas con prueba rapida,2011-02-01,0,13,13
PORONGO,vih,n de personas con prueba rapida,2011-02-01,2,1,3
PORVENIR,vih,n de personas con prueba rapida,2011-02-01,0,5,5
POTOSI,vih,n de personas con prueba rapida,2011-02-01,0,4,4
PUERTO GONZALO MORENO,vih,n de personas con prueba rapida,2011-02-01,0,8,8
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-02-01,45,25,70
PUERTO SUAREZ,vih,n de personas con prueba rapida,2011-02-01,4,38,42
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-02-01,1,40,41
PUNATA,vih,n de personas con prueba rapida,2011-02-01,5,0,5
RIBERALTA,vih,n de personas con prueba rapida,2011-02-01,0,7,7
RURRENABAQUE,vih,n de personas con prueba rapida,2011-02-01,2,8,10
SACABA,vih,n de personas con prueba rapida,2011-02-01,4,4,8
SAN BORJA,vih,n de personas con prueba rapida,2011-02-01,0,2,2
SAN CARLOS,vih,n de personas con prueba rapida,2011-02-01,3,33,36
SAN IGNACIO,vih,n de personas con prueba rapida,2011-02-01,5,27,32
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-02-01,20,17,37
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-02-01,10,31,41
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-02-01,2,55,57
SAN JULIAN,vih,n de personas con prueba rapida,2011-02-01,16,7,23
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-02-01,0,7,7
SAN MATIAS,vih,n de personas con prueba rapida,2011-02-01,1,1,2
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-02-01,1,0,1
SAN PEDRO,vih,n de personas con prueba rapida,2011-02-01,1,9,10
SANTA ANA,vih,n de personas con prueba rapida,2011-02-01,3,0,3
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-02-01,48,269,317
SENA,vih,n de personas con prueba rapida,2011-02-01,29,15,44
SHINAOTA,vih,n de personas con prueba rapida,2011-02-01,1,13,14
SOPACHUY,vih,n de personas con prueba rapida,2011-02-01,2,13,15
SUCRE,vih,n de personas con prueba rapida,2011-02-01,41,46,87
TAPACARI,vih,n de personas con prueba rapida,2011-02-01,1,0,1
TARABUCO,vih,n de personas con prueba rapida,2011-02-01,2,0,2
TARIJA,vih,n de personas con prueba rapida,2011-02-01,16,26,42
TIQUIPAYA,vih,n de personas con prueba rapida,2011-02-01,3,0,3
TRINIDAD,vih,n de personas con prueba rapida,2011-02-01,5,44,49
TURCO,vih,n de personas con prueba rapida,2011-02-01,10,3,13
UNCIA,vih,n de personas con prueba rapida,2011-02-01,2,0,2
VALLEGRANDE,vih,n de personas con prueba rapida,2011-02-01,2,48,50
VIACHA,vih,n de personas con prueba rapida,2011-02-01,0,29,29
VILLA MONTES,vih,n de personas con prueba rapida,2011-02-01,17,16,33
VILLA SERRANO,vih,n de personas con prueba rapida,2011-02-01,1,17,18
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-02-01,5,1,6
VILLAZON,vih,n de personas con prueba rapida,2011-02-01,1,29,30
WARNES,vih,n de personas con prueba rapida,2011-02-01,8,47,55
YACUIBA,vih,n de personas con prueba rapida,2011-02-01,10,32,42
YAPACANI,vih,n de personas con prueba rapida,2011-02-01,4,35,39
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-02-01,0,14,14
ACHACACHI,vih,n de personas con prueba rapida,2011-03-01,1,35,36
APOLO,vih,n de personas con prueba rapida,2011-03-01,6,8,14
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-03-01,0,2,2
BATALLAS,vih,n de personas con prueba rapida,2011-03-01,0,1,1
BELLA FLOR,vih,n de personas con prueba rapida,2011-03-01,2,9,11
BERMEJO,vih,n de personas con prueba rapida,2011-03-01,1,14,15
BETANZOS,vih,n de personas con prueba rapida,2011-03-01,0,1,1
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-03-01,2,4,6
CAMIRI,vih,n de personas con prueba rapida,2011-03-01,6,23,29
CARACOLLO,vih,n de personas con prueba rapida,2011-03-01,5,15,20
CARANAVI,vih,n de personas con prueba rapida,2011-03-01,10,6,16
CHALLAPATA,vih,n de personas con prueba rapida,2011-03-01,1,33,34
CHIMORE,vih,n de personas con prueba rapida,2011-03-01,1,20,21
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-03-01,5,6,11
COBIJA,vih,n de personas con prueba rapida,2011-03-01,1,45,46
COCHABAMBA,vih,n de personas con prueba rapida,2011-03-01,26,218,244
COLOMI,vih,n de personas con prueba rapida,2011-03-01,0,2,2
COMARAPA,vih,n de personas con prueba rapida,2011-03-01,5,0,5
COTAGAITA,vih,n de personas con prueba rapida,2011-03-01,1,0,1
COTOCA,vih,n de personas con prueba rapida,2011-03-01,0,11,11
CUATRO CAÑADAS,vih,n de personas con prueba rapida,2011-03-01,0,9,9
CUEVO,vih,n de personas con prueba rapida,2011-03-01,1,0,1
EL ALTO,vih,n de personas con prueba rapida,2011-03-01,380,898,1278
EL TORNO,vih,n de personas con prueba rapida,2011-03-01,3,7,10
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-03-01,3,30,33
FERNANDEZ ALONSO,vih,n de personas con prueba rapida,2011-03-01,3,4,7
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-03-01,1,11,12
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-03-01,169,216,385
GUTIERREZ,vih,n de personas con prueba rapida,2011-03-01,0,1,1
HUACAYA (VILLA DE HUACAYA),vih,n de personas con prueba rapida,2011-03-01,0,2,2
HUANUNI,vih,n de personas con prueba rapida,2011-03-01,1,0,1
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2011-03-01,0,11,11
LA GUARDIA,vih,n de personas con prueba rapida,2011-03-01,3,60,63
LA PAZ,vih,n de personas con prueba rapida,2011-03-01,67,114,181
LAGUNILLAS,vih,n de personas con prueba rapida,2011-03-01,0,1,1
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-03-01,0,2,2
LLALLAGUA,vih,n de personas con prueba rapida,2011-03-01,2,5,7
MACHARETI,vih,n de personas con prueba rapida,2011-03-01,4,0,4
MIZQUE,vih,n de personas con prueba rapida,2011-03-01,3,0,3
MONTEAGUDO,vih,n de personas con prueba rapida,2011-03-01,3,19,22
MONTERO,vih,n de personas con prueba rapida,2011-03-01,23,20,43
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-03-01,0,1,1
ORURO,vih,n de personas con prueba rapida,2011-03-01,17,79,96
PADCAYA,vih,n de personas con prueba rapida,2011-03-01,1,22,23
PADILLA,vih,n de personas con prueba rapida,2011-03-01,1,5,6
PAILON,vih,n de personas con prueba rapida,2011-03-01,0,7,7
PATACAMAYA,vih,n de personas con prueba rapida,2011-03-01,9,56,65
PORONGO,vih,n de personas con prueba rapida,2011-03-01,10,1,11
PORTACHUELO,vih,n de personas con prueba rapida,2011-03-01,8,1,9
POTOSI,vih,n de personas con prueba rapida,2011-03-01,0,4,4
PRESTO,vih,n de personas con prueba rapida,2011-03-01,1,0,1
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-03-01,15,19,34
PUERTO RICO,vih,n de personas con prueba rapida,2011-03-01,0,19,19
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-03-01,0,57,57
PUNATA,vih,n de personas con prueba rapida,2011-03-01,1,180,181
QUIME,vih,n de personas con prueba rapida,2011-03-01,1,0,1
ROBORE,vih,n de personas con prueba rapida,2011-03-01,0,1,1
SACABA,vih,n de personas con prueba rapida,2011-03-01,5,3,8
SAN BORJA,vih,n de personas con prueba rapida,2011-03-01,0,2,2
SAN CARLOS,vih,n de personas con prueba rapida,2011-03-01,4,8,12
SAN IGNACIO,vih,n de personas con prueba rapida,2011-03-01,2,15,17
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-03-01,13,34,47
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-03-01,2,44,46
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-03-01,14,71,85
SAN JUAN DE YAPACANI,vih,n de personas con prueba rapida,2011-03-01,28,72,100
SAN JULIAN,vih,n de personas con prueba rapida,2011-03-01,23,22,45
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-03-01,0,13,13
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-03-01,0,2,2
SAN PEDRO,vih,n de personas con prueba rapida,2011-03-01,1,13,14
SANTA ANA,vih,n de personas con prueba rapida,2011-03-01,3,21,24
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-03-01,65,306,371
SENA,vih,n de personas con prueba rapida,2011-03-01,0,7,7
SOPACHUY,vih,n de personas con prueba rapida,2011-03-01,0,5,5
SUCRE,vih,n de personas con prueba rapida,2011-03-01,48,125,173
TARIJA,vih,n de personas con prueba rapida,2011-03-01,30,33,63
TINGUIPAYA,vih,n de personas con prueba rapida,2011-03-01,0,1,1
TOLEDO,vih,n de personas con prueba rapida,2011-03-01,8,16,24
TRINIDAD,vih,n de personas con prueba rapida,2011-03-01,13,33,46
TURCO,vih,n de personas con prueba rapida,2011-03-01,8,2,10
UNCIA,vih,n de personas con prueba rapida,2011-03-01,0,3,3
VALLEGRANDE,vih,n de personas con prueba rapida,2011-03-01,0,43,43
VILLA MONTES,vih,n de personas con prueba rapida,2011-03-01,5,3,8
VILLA SERRANO,vih,n de personas con prueba rapida,2011-03-01,9,33,42
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-03-01,1,6,7
VILLAZON,vih,n de personas con prueba rapida,2011-03-01,4,1,5
WARNES,vih,n de personas con prueba rapida,2011-03-01,1,0,1
YACUIBA,vih,n de personas con prueba rapida,2011-03-01,11,7,18
YAMPARAEZ,vih,n de personas con prueba rapida,2011-03-01,1,0,1
YAPACANI,vih,n de personas con prueba rapida,2011-03-01,1,6,7
YUNCHARA,vih,n de personas con prueba rapida,2011-03-01,0,4,4
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-03-01,15,18,33
ACHACACHI,vih,n de personas con prueba rapida,2011-04-01,1,3,4
AIQUILE,vih,n de personas con prueba rapida,2011-04-01,0,2,2
APOLO,vih,n de personas con prueba rapida,2011-04-01,3,2,5
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-04-01,5,2,7
AZURDUY,vih,n de personas con prueba rapida,2011-04-01,0,8,8
BATALLAS,vih,n de personas con prueba rapida,2011-04-01,0,1,1
BELLA FLOR,vih,n de personas con prueba rapida,2011-04-01,0,1,1
BERMEJO,vih,n de personas con prueba rapida,2011-04-01,6,1,7
BUENA VISTA,vih,n de personas con prueba rapida,2011-04-01,14,6,20
CAMARGO,vih,n de personas con prueba rapida,2011-04-01,1,1,2
CAMATAQUI (C. VILLA ABECIA),vih,n de personas con prueba rapida,2011-04-01,0,5,5
CAMIRI,vih,n de personas con prueba rapida,2011-04-01,2,1,3
CAPINOTA,vih,n de personas con prueba rapida,2011-04-01,3,1,4
CARACOLLO,vih,n de personas con prueba rapida,2011-04-01,6,10,16
CARANAVI,vih,n de personas con prueba rapida,2011-04-01,30,7,37
CARAPARI,vih,n de personas con prueba rapida,2011-04-01,0,20,20
CARMEN RIVERO TORREZ,vih,n de personas con prueba rapida,2011-04-01,0,1,1
CHALLAPATA,vih,n de personas con prueba rapida,2011-04-01,1,43,44
CHIMORE,vih,n de personas con prueba rapida,2011-04-01,0,6,6
CHULUMANI (V. DE LA LIBERTAD),vih,n de personas con prueba rapida,2011-04-01,7,2,9
CHUMA,vih,n de personas con prueba rapida,2011-04-01,1,3,4
COBIJA,vih,n de personas con prueba rapida,2011-04-01,0,16,16
COCHABAMBA,vih,n de personas con prueba rapida,2011-04-01,33,311,344
COLOMI,vih,n de personas con prueba rapida,2011-04-01,1,0,1
CORQUE,vih,n de personas con prueba rapida,2011-04-01,7,12,19
COTAGAITA,vih,n de personas con prueba rapida,2011-04-01,4,3,7
COTOCA,vih,n de personas con prueba rapida,2011-04-01,0,9,9
CULPINA,vih,n de personas con prueba rapida,2011-04-01,3,0,3
EL ALTO,vih,n de personas con prueba rapida,2011-04-01,284,3014,3298
EL PUENTE(TJA),vih,n de personas con prueba rapida,2011-04-01,1,1,2
EL TORNO,vih,n de personas con prueba rapida,2011-04-01,2,6,8
EL VILLAR,vih,n de personas con prueba rapida,2011-04-01,0,3,3
ENTRE RIOS TRJ,vih,n de personas con prueba rapida,2011-04-01,7,47,54
FILADELFIA,vih,n de personas con prueba rapida,2011-04-01,0,2,2
GENERAL SAAVEDRA,vih,n de personas con prueba rapida,2011-04-01,0,11,11
GRAL. J.J. PEREZ (CHARAZANI),vih,n de personas con prueba rapida,2011-04-01,0,1,1
GUAYARAMERIN,vih,n de personas con prueba rapida,2011-04-01,182,172,354
HUANUNI,vih,n de personas con prueba rapida,2011-04-01,2,0,2
INCAHUASI,vih,n de personas con prueba rapida,2011-04-01,2,0,2
INQUISIVI,vih,n de personas con prueba rapida,2011-04-01,15,24,39
IRUPANA (VILLA DE LANZA),vih,n de personas con prueba rapida,2011-04-01,0,1,1
LA ASUNTA,vih,n de personas con prueba rapida,2011-04-01,1,1,2
LA GUARDIA,vih,n de personas con prueba rapida,2011-04-01,1,84,85
LA PAZ,vih,n de personas con prueba rapida,2011-04-01,149,164,313
LICOMA PAMPA,vih,n de personas con prueba rapida,2011-04-01,1,0,1
MACHARETI,vih,n de personas con prueba rapida,2011-04-01,3,1,4
MAGDALENA,vih,n de personas con prueba rapida,2011-04-01,0,8,8
MIZQUE,vih,n de personas con prueba rapida,2011-04-01,1,0,1
MONTEAGUDO,vih,n de personas con prueba rapida,2011-04-01,4,16,20
MONTERO,vih,n de personas con prueba rapida,2011-04-01,14,27,41
NACEBE (SANTA ROSA DEL ABUNA),vih,n de personas con prueba rapida,2011-04-01,0,2,2
NUEVO MANOA (NUEVA ESPERANZA),vih,n de personas con prueba rapida,2011-04-01,18,3,21
ORURO,vih,n de personas con prueba rapida,2011-04-01,14,71,85
PADCAYA,vih,n de personas con prueba rapida,2011-04-01,0,17,17
PADILLA,vih,n de personas con prueba rapida,2011-04-01,1,20,21
PAILON,vih,n de personas con prueba rapida,2011-04-01,4,9,13
PORONGO,vih,n de personas con prueba rapida,2011-04-01,2,5,7
PORTACHUELO,vih,n de personas con prueba rapida,2011-04-01,1,0,1
PORVENIR,vih,n de personas con prueba rapida,2011-04-01,2,0,2
POTOSI,vih,n de personas con prueba rapida,2011-04-01,3,15,18
PUERTO QUIJARRO,vih,n de personas con prueba rapida,2011-04-01,14,28,42
PUERTO VILLARROEL,vih,n de personas con prueba rapida,2011-04-01,0,8,8
PUNATA,vih,n de personas con prueba rapida,2011-04-01,4,118,122
QUIME,vih,n de personas con prueba rapida,2011-04-01,2,2,4
RIBERALTA,vih,n de personas con prueba rapida,2011-04-01,0,11,11
ROBORE,vih,n de personas con prueba rapida,2011-04-01,1,30,31
RURRENABAQUE,vih,n de personas con prueba rapida,2011-04-01,6,39,45
SACABA,vih,n de personas con prueba rapida,2011-04-01,4,3,7
SAN BORJA,vih,n de personas con prueba rapida,2011-04-01,0,3,3
SAN CARLOS,vih,n de personas con prueba rapida,2011-04-01,2,30,32
SAN IGNACIO,vih,n de personas con prueba rapida,2011-04-01,0,10,10
SAN IGNACIO DE VELASCO,vih,n de personas con prueba rapida,2011-04-01,18,26,44
SAN JAVIER(STC),vih,n de personas con prueba rapida,2011-04-01,2,26,28
SAN JOSE DE CHIQUITOS,vih,n de personas con prueba rapida,2011-04-01,8,59,67
SAN JULIAN,vih,n de personas con prueba rapida,2011-04-01,4,10,14
SAN LORENZO(PND),vih,n de personas con prueba rapida,2011-04-01,1,7,8
SAN LORENZO(TJA),vih,n de personas con prueba rapida,2011-04-01,1,0,1
SAN MATIAS,vih,n de personas con prueba rapida,2011-04-01,1,3,4
SAN MIGUEL DE VELASCO,vih,n de personas con prueba rapida,2011-04-01,0,3,3
SAN PEDRO,vih,n de personas con prueba rapida,2011-04-01,6,7,13
SANTA CRUZ DE LA SIERRA,vih,n de personas con prueba rapida,2011-04-01,104,165,269
SANTIVAÑES,vih,n de personas con prueba rapida,2011-04-01,2,0,2
SENA,vih,n de personas con prueba rapida,2011-04-01,0,20,20
SIPE SIPE,vih,n de personas con prueba rapida,2011-04-01,6,3,9
SOPACHUY,vih,n de personas con prueba rapida,2011-04-01,0,24,24
SUCRE,vih,n de personas con prueba rapida,2011-04-01,20,88,108
TARIJA,vih,n de personas con prueba rapida,2011-04-01,30,117,147
TOLEDO,vih,n de personas con prueba rapida,2011-04-01,6,6,12
TOMINA,vih,n de personas con prueba rapida,2011-04-01,0,1,1
TOTORA(CBBA),vih,n de personas con prueba rapida,2011-04-01,3,1,4
TRINIDAD,vih,n de personas con prueba rapida,2011-04-01,15,40,55
TURCO,vih,n de personas con prueba rapida,2011-04-01,0,3,3
UNCIA,vih,n de personas con prueba rapida,2011-04-01,0,3,3
VALLEGRANDE,vih,n de personas con prueba rapida,2011-04-01,0,48,48
VILLA CHARCAS,vih,n de personas con prueba rapida,2011-04-01,1,7,8
VILLA MONTES,vih,n de personas con prueba rapida,2011-04-01,7,6,13
VILLA SERRANO,vih,n de personas con prueba rapida,2011-04-01,1,13,14
VILLA TUNARI,vih,n de personas con prueba rapida,2011-04-01,4,3,7
VILLA VACA GUZMAN (MUYUPAMPA),vih,n de personas con prueba rapida,2011-04-01,8,28,36
VILLAZON,vih,n de personas con prueba rapida,2011-04-01,1,16,17
WARNES,vih,n de personas con prueba rapida,2011-04-01,2,1,3
YACUIBA,vih,n de personas con prueba rapida,2011-04-01,8,11,19
YAPACANI,vih,n de personas con prueba rapida,2011-04-01,7,30,37
ZUDAÑEZ,vih,n de personas con prueba rapida,2011-04-01,3,4,7
ACHACACHI,vih,n de personas con prueba rapida,2011-05-01,1,32,33
AIQUILE,vih,n de personas con prueba rapida,2011-05-01,2,0,2
ASCENCION DE GUARAYOS,vih,n de personas con prueba rapida,2011-05-01,7,6,13
AYOPAYA (V. DE INDEPENDENCIA),vih,n de personas con prueba rapida,2011-05-01,2,19,21
