,group,variable,month,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,15.2 ANESTESIAS GENERALES Y REGIONALES CANTIDAD,TOTALES
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,5,5
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,17,55,72
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-01-01,4,7,11
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,5,16,21
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,5,6,11
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,12,12
SAN LUCAS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,7,7
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,2,12,14
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,2,2
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,3,14,17
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1983,3543,5526
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,10,11
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,5,5
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,663,808,1471
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,256,551,807
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,15,16
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,152,345,497
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,16,40,56
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,7,14,21
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,9,28,37
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,10,23,33
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,10,58,68
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,9,33,42
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,1,6,7
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,12,12
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,73,156,229
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,4,39,43
YUNCHARA,cirugias y anestesias,      anestesias generales y regionales,2014-01-01,0,2,2
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,12,14
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,13,14,27
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,7,8,15
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,13,27,40
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,0,1
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,16,17,33
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,3,3
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,4,16,20
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,6,65,71
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,5,14,19
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,6,6
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,15,17
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,8,9
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,7,8
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,42,105,147
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1125,1950,3075
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,26,29,55
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,12,12
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,9,21,30
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,3,14,17
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,9,3,12
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,441,637,1078
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,31,77,108
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,4,6
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,20,60,80
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,7,28,35
HUARACAJE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,1,1
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1313,2031,3344
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,18,41,59
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,2,4
MIZQUE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,5,7
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,30,35,65
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,41,186,227
OCURI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,1,1
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,292,638,930
PAILON,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,1,1
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,10,10
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,9,50,59
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,254,256,510
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,10,26,36
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,10,35,45
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,73,21,94
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,7,7
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,33,148,181
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,3,9,12
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,22,22
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,21,115,136
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,5,37,42
SAN BUENA VENTURA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,11,11
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,14,16
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,9,9
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,15,59,74
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-02-01,4,9,13
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,7,8
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,4,2,6
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,19,21
SAN LUCAS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,2,3
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,30,32
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,9,9
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,2,1,3
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,3,12,15
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1774,2979,4753
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,2,2
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,8,8
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,413,604,1017
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,6,6
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,259,480,739
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,9,25,34
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,89,294,383
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,21,35,56
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,5,25,30
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,7,31,38
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,27,33,60
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,14,47,61
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,0,20,20
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,1,13,14
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,60,151,211
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-02-01,5,28,33
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,2,3
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,6,10,16
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,3,8,11
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,7,45,52
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,6,6
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,16,13,29
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,1,1
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,10,21,31
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,13,45,58
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,2,18,20
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,4,4
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,4,16,20
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-03-01,3,4,7
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,14,14
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,58,116,174
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1003,1927,2930
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,21,34,55
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,11,11
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,9,8,17
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,6,24,30
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,5,2,7
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,518,737,1255
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,36,111,147
ENTRE RIOS TRJ,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,3,3
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,2,3
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,12,74,86
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,8,14,22
HUARACAJE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,3,3
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1307,2043,3350
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,11,34,45
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,2,6,8
MIZQUE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,10,10
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,20,19,39
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,57,245,302
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,276,578,854
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,1,1
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,7,25,32
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,173,142,315
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,11,24,35
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,6,25,31
PUNATA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,13,54,67
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,9,75,84
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,7,8
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,38,55,93
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,7,8
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,4,18,22
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,20,100,120
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,5,37,42
SAN BUENA VENTURA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,4,11,15
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,9,9
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,10,10
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,19,51,70
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-03-01,3,9,12
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,3,26,29
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,13,14
SAN MATIAS,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,6,18,24
SAN PEDRO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,4,4
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,10,1,11
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1,23,24
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,1484,3521,5005
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,0,11,11
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,390,819,1209
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,2,11,13
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,307,513,820
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,4,33,37
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,97,301,398
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,12,12,24
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,3,17,20
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,7,27,34
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,15,38,53
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,14,53,67
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,12,11,23
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,18,48,66
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,2,22,24
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,46,124,170
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-03-01,6,29,35
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,2,2
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,6,8
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,4,9,13
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,17,27,44
ATOCHA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,3,5
BAURES,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,3,3
BERMEJO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,6,0,6
BETANZOS,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,1,1
CAMARGO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,11,28,39
CAMIRI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,15,75,90
CARANAVI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,29,30
CHALLAPATA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,15,17
CHARAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,15,18
CHULUMANI (V. DE LA LIBERTAD),cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,8,11
CLIZA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,10,10
COBIJA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,48,106,154
COCHABAMBA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1349,1434,2783
COLCAPIRHUA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,25,32,57
COMARAPA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,13,13
COROICO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,7,12,19
COTAGAITA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,10,2,12
COTOCA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,4,21,25
CULPINA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,1,1
EL ALTO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,534,772,1306
EL TORNO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,24,63,87
ESCOMA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,5,6
GUAYARAMERIN,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,17,67,84
HUANUNI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,10,19,29
HUARACAJE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,2,2
LA PAZ,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1458,2169,3627
LLALLAGUA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,9,26,35
MAGDALENA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,1,1
MONTEAGUDO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,21,43,64
MONTERO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,69,243,312
ORURO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,314,601,915
PATACAMAYA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,3,5
PORTACHUELO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,18,50,68
POTOSI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,215,294,509
PUERTO SUAREZ,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,7,25,32
PUERTO VILLARROEL,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,11,35,46
QUILLACOLLO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,18,63,81
REYES,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,9,10
RIBERALTA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,31,169,200
ROBORE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,4,4
RURRENABAQUE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,20,21
SACABA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,35,134,169
SAN BORJA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,4,29,33
SAN BUENA VENTURA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,5,20,25
SAN CARLOS,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,15,27,42
SAN IGNACIO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,6,18,24
SAN IGNACIO DE VELASCO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,15,72,87
SAN JAVIER(STC),cirugias y anestesias,      anestesias generales y regionales,2014-04-01,4,12,16
SAN JOAQUIN,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,3,3
SAN JOSE DE CHIQUITOS,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,13,13,26
SAN JUAN DE YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,7,10
SAN JULIAN,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,7,7
SAN LUCAS,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,12,15
SAN RAMON BENI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,3,3
SAN RAMON SCZ,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,4,3,7
SANTA ANA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,25,25
SANTA CRUZ DE LA SIERRA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1913,4168,6081
SANTA ROSA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,3,4
SHINAOTA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,10,10
SUCRE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,393,572,965
TARABUCO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,6,9
TARIJA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,304,520,824
TARVITA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,3,3
TIQUIPAYA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,3,24,27
TOTORA(CBBA),cirugias y anestesias,      anestesias generales y regionales,2014-04-01,0,1,1
TRINIDAD,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,112,264,376
TUPIZA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,8,17,25
UYUNI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,9,11
VALLEGRANDE,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,7,27,34
VIACHA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,12,40,52
VILLA MONTES,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,16,68,84
VILLA TUNARI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,16,7,23
VINTO,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,11,21,32
WARNES,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,1,25,26
YACUIBA,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,53,118,171
YAPACANI,cirugias y anestesias,      anestesias generales y regionales,2014-04-01,2,53,55
ACHACACHI,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,0,9,9
AIQUILE,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,7,9,16
ANZALDO,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,6,5,11
ASCENCION DE GUARAYOS,cirugias y anestesias,      anestesias generales y regionales,2014-05-01,10,55,65
