,group,variable,month,AQV FEMENINO < 15,AQV FEMENINO 15 - 19,AQV FEMENINO 20 - 34,AQV FEMENINO 35 - 49,AQV FEMENINO 50 Y +,TOTALES
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,1,5,1,0,7
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,2,0,3
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,1,0,2
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,1,0,2
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,6,3,0,9
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,3,0,5
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,11,3,0,14
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,1,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,11,10,0,21
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,3,3,0,6
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,1,0,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,1,15,10,0,26
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,2,1,0,3
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,4,1,0,5
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-01-01,0,0,7,3,0,10
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,3,0,0,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,8,5,0,13
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,1,11,8,0,20
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,49,28,0,77
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,2,1,0,3
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,2,2,0,4
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,2,0,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,16,12,0,28
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,6,2,1,0,9
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,0,1,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,1,0,2
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,1,6,0,0,7
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,4,8,0,12
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,1,5,1,0,7
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,4,1,0,5
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,0,0,1
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,2,5,0,7
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,3,0,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,0,1,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,9,1,0,10
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,4,2,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,3,2,0,5
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,8,4,0,12
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,3,2,0,5
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,2,24,8,0,34
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,1,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,1,2,0,3
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,7,4,0,11
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-02-01,0,0,3,3,0,6
ACHOCALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,7,1,0,8
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,3,1,0,4
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,0,0,2
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,1,0,1
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,1,10,6,0,17
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,3,0,0,3
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,3,0,0,3
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,1,6,6,0,13
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,57,24,0,81
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,23,12,2,37
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,2,0,2
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,15,9,0,24
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,0,0,2
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,6,2,0,8
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,1,0,3
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,1,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,5,2,0,7
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,1,5,55,0,0,61
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,0,0,2
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,3,0,0,3
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,2,0,2
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,5,0,7
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,5,4,0,9
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,1,0,1
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,5,2,0,7
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,1,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,5,2,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,16,6,0,22
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,10,7,0,17
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,6,4,0,10
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,2,0,2
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,5,2,0,7
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,1,24,11,0,36
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,1,0,0,1
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,0,2,0,2
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,2,16,4,0,22
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-03-01,0,0,2,0,0,2
ACHACACHI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,0,0,2
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,2,1,0,0,3
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,0,0,2
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,3,1,0,4
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,3,1,0,4
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,0,0,1
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,4,1,0,6
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,12,2,0,15
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,34,27,0,62
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,3,0,4
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,1,0,2
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,15,8,0,23
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,1,0,3
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,12,2,0,15
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,1,0,3
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,17,15,0,32
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,5,0,6
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,0,1,0,1
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,0,3,0,4
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,7,2,0,9
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,6,5,0,11
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,4,0,6
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,0,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,3,5,0,8
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,5,2,0,7
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,0,0,1
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,0,0,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,4,4,0,8
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,0,0,2
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,4,3,0,7
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,1,0,3
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,0,0,1
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,4,0,6
SAN LUCAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,1,0,3
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,4,2,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,19,15,0,34
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,6,7,0,13
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,4,5,0,9
TIQUIPAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,1,0,3
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,1,24,11,0,36
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,3,0,0,3
UYUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,2,0,4
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,13,3,0,16
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,2,2,0,4
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-04-01,0,0,1,3,0,4
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,2,0,2
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,1,9,4,0,14
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,0,0,1
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,1,9,5,0,15
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,57,31,0,88
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,4,0,4
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,9,11,0,20
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,0,0,1
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,2,0,0,2
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,2,1,0,3
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,13,11,0,24
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,3,3,0,0,6
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,1,0,1
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,6,2,0,8
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,2,2,0,4
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,13,12,0,25
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,2,0,3
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,3,0,4
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,3,2,0,5
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,10,14,0,24
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,5,0,0,5
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,19,4,0,23
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,5,0,0,5
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,4,4,0,8
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,4,1,0,5
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
SAN JOSE DE CHIQUITOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,1,2,1,0,4
SAN PEDRO DE BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,1,0,1
SANTA ANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,6,1,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,39,11,0,50
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,16,11,0,27
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,1,3,2,0,6
TARVITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,1,0,1
TRINIDAD,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,1,2,31,13,0,47
TUPIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,2,0,0,2
VALLEGRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,0,0,1
VILLA MONTES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,9,4,0,13
VILLAZON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,1,0,2
YACUIBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,1,0,0,1
YOTALA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-05-01,0,0,0,1,0,1
AIQUILE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,2,0,0,2
ASCENCION DE GUARAYOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,0,2,0,2
BAURES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,1,0,0,1
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,1,2,0,3
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,1,5,1,0,7
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,7,0,0,7
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",aqv femenino,2018-06-01,0,0,1,0,0,1
