,group,variable,month,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS < 15,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 15 - 19,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 20 - 34,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 35 - 49,NÚMERO DE MUJERES CON IVAA POSITIVOS TRATADAS 50 Y +,TOTALES
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,1,1,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,2,15,27,11,55
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,2,2,2,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,1,24,10,3,38
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,1,0,0,1
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,1,0,0,1
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,7,3,0,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,5,4,1,10
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-04-01,0,0,0,2,1,3
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,22,66,148,7,243
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,4,4,0,8
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,13,6,4,23
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,2,4,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,6,2,0,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,0,1,2,1,4
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-05-01,0,1,2,1,0,4
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,1,70,30,13,114
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,0,10,12,7,29
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,1,1,1,0,3
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,0,0,5,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,1,10,4,0,15
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,0,3,2,1,6
TACOBAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,0,0,1,0,1
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-06-01,0,0,0,1,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,3,20,43,11,77
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,15,14,7,36
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,2,6,0,8
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,2,0,1,3
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,4,1,2,7
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-07-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,2,78,25,4,109
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,1,10,5,1,17
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,0,3,2,2,7
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,0,1,4,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,1,8,0,1,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,0,12,4,7,23
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,0,0,1,0,1
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-08-01,0,0,1,0,1,2
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,0,0,0,1,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,3,51,25,3,82
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,0,9,10,2,21
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,0,0,0,2,2
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,0,4,2,0,6
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,1,8,2,1,12
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-09-01,0,0,0,1,4,5
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,3,25,88,35,151
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,0,6,0,0,6
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,1,18,16,2,37
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,0,11,4,1,16
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,0,0,5,0,5
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,2,7,4,0,13
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-10-01,0,0,1,1,0,2
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,41,65,24,130
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,12,13,4,29
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,0,2,1,3
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,1,0,0,1
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,3,4,0,7
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,5,3,2,10
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,8,9,3,20
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,1,1,0,2
YAPACANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-11-01,0,0,1,0,0,1
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,9,138,67,10,224
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,12,4,4,4,24
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,2,2,9,0,13
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,0,4,1,0,5
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,0,0,1,0,1
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,3,8,5,0,16
SANTA CRUZ DE LA SIERRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,1,7,0,0,8
SUCRE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,3,11,7,1,22
TARIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,0,0,1,0,1
WARNES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de mujeres con ivaa positivos tratadas,2018-12-01,0,2,0,0,0,2
