,group,variable,month,NÚMERO DE CONDONES ENTREGADOS < 15,NÚMERO DE CONDONES ENTREGADOS 15 - 19,NÚMERO DE CONDONES ENTREGADOS 20 - 34,NÚMERO DE CONDONES ENTREGADOS 35 - 49,NÚMERO DE CONDONES ENTREGADOS 50 Y +,TOTALES
AZURDUY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,3,72,39,0,114
BATALLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,0,0,36
BELEN DE ANDAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
BELEN DE URMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
BELLA FLOR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,12,0,24
BERMEJO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,92,0,0,92
BETANZOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,144,24,0,192
BOLIVAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,12,0,24
BOLPEBRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,48,0,0,60
BUENA VISTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,108,168,84,0,360
CABEZAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,12,36,192,36,0,276
CAIROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,48,12,0,72
"CAIZA ""D""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,108,24,12,144
CAJUATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,24,12,0,72
CALAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,48,36,0,108
CAMARGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,36,0,72
CAMATAQUI (C. VILLA ABECIA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,24,0,60
CAMIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,0,0,48
CAPINOTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,48,132,84,0,264
CAQUIAVIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,0,0,36
CARACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,96,24,0,120
CARANAVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,84,240,120,0,444
CARAPARI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,40,32,0,72
CARIPUYO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,12,0,36
CATACORA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,0,0,36
CHALLAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,180,12,0,192
CHAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,60,24,0,96
CHARAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,0,0,0,12
CHAYANTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,96,24,0,120
CHIMORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,72,627,132,0,831
CHOQUE COTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,24,0,36
CHULUMANI (V. DE LA LIBERTAD),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,96,24,0,156
CHUMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,72,24,0,96
CHUQUIHUTA AYLLU JUCUMANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,36,0,60
CKOCHAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,72,36,0,120
CLIZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,108,60,0,168
COBIJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,72,156,12,0,240
COCAPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,85,0,0,97
COCHABAMBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,122,1960,840,1,2923
COLCAPIRHUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,84,12,0,108
"COLCHA ""K""","anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,156,84,12,252
COLLANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,48,0,0,60
COLOMI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,12,0,48
COLQUECHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,168,96,12,300
COLQUENCHA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,16,0,16
COLQUIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,12,0,60
COMARAPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,12,12,0,36
COMBAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
CONCEPCION,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
COPACABANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
CORIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,36,36,0,84
CORO CORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,24,0,60
COROICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,108,12,0,144
COTAGAITA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,24,36,0,84
COTOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,48,264,36,0,348
CUATRO CAÑADAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,96,24,0,132
CUCHUMUELA (V. G. VILLARROEL),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
CUEVO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,12,0,48
CULPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,96,96,12,204
CURAHUARA DE CARANGAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,12,0,60
CURVA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,36,0,0,48
EL ALTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,1,599,10114,5738,866,17318
EL CHORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
EL PUENTE(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,60,108,12,0,180
EL PUENTE(TJA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,156,108,12,288
EL TORNO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,24,72,192,60,0,348
EL VILLAR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
ENTRE RIOS TRJ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,92,200,60,32,384
ENTRE RIOS CBBA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,84,1092,372,0,1548
ESMERALDA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
FERNANDEZ ALONSO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,108,24,0,144
FILADELFIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,0,24,0,36
GENERAL SAAVEDRA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
GRAL. J.J. PEREZ (CHARAZANI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,48,48,0,108
GUANAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,0,0,36
GUAQUI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
GUAYARAMERIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,48,264,72,0,384
GUTIERREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
HUACARETA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,0,0,60
HUACAYA (VILLA DE HUACAYA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
HUACHACALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
HUANUNI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,87,24,0,123
HUARACAJE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,0,12,12
HUATAJATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
HUAYLLAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
HUMANATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,12,12,12,0,0,36
ICHOCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
ICLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,24,12,0,72
INCAHUASI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,36,12,12,72
INQUISIVI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,84,36,0,144
IRUPANA (VILLA DE LANZA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,24,0,60
IXIAMAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
JESUS DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,60,12,0,96
LA ASUNTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,228,60,0,324
LA GUARDIA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,48,228,36,0,312
LA PAZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,706,7396,6969,237,15308
LA RIVERA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,0,0,0,12
LAGUNILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,36,12,0,60
LAJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,24,24,0,72
LAS CARRERAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,12,0,0,24
LICOMA PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
LLALLAGUA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,168,228,24,0,420
LLICA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
LORETO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
LURIBAY,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,72,36,0,108
MACHACAMARCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
MACHARETI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,3,42,0,45
MAGDALENA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,12,0,24
MAIRANA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,12,0,60
MALLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
MAPIRI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
MECAPACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,0,0,48
MINEROS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,50,0,0,62
MIZQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,192,420,132,0,744
MOCOMOCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,0,0,48
MOJINETE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,0,0,48
MOJOCOYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,72,48,0,132
MONTEAGUDO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,84,216,72,12,384
MONTERO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,339,72,0,435
MORO MORO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,48,24,0,84
MOROCHATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,63,15,0,78
NACEBE (SANTA ROSA DEL ABUNA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,60,12,0,84
OCURI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,24,0,84
OKINAWA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,12,0,24
OMEREQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,24,0,48
ORURO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,1922,4692,2303,960,9877
PADCAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,24,304,48,24,400
PADILLA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,12,0,36
PAILON,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,156,96,0,264
PALCA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,24,0,48
PALOS BLANCOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,12,24,168,0,0,204
PAMPA GRANDE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,12,0,36
PAPEL PAMPA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,12,0,36
PATACAMAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
PAZÑA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,0,0,60
PELECHUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,96,0,0,96
POCOATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,48,156,84,0,288
POCONA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,192,48,0,276
POJO (CBBA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,36,0,84
POOPO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,72,24,0,108
PORCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,72,12,0,84
POROMA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,12,0,36
PORONGO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,108,12,0,156
PORTACHUELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,72,12,0,120
PORVENIR,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,108,60,0,180
POSTRER VALLE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,36,0,0,48
POTOSI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,132,948,216,0,1296
PRESTO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,84,48,0,144
PUCARA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,0,24,0,36
PUCARANI,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,12,0,72
PUERTO ACOSTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,12,12,36
PUERTO CARABUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,60,0,0,96
PUERTO GONZALO MORENO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,144,48,12,216
PUERTO QUIJARRO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,1,49,6,0,56
PUERTO RICO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,12,0,0,24
PUERTO SUAREZ,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,14,0,0,26
PUERTO VILLARROEL,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,60,324,96,0,480
PUNA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,96,12,0,120
PUNATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,288,72,0,396
QUIABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,12,24,12,0,0,48
QUILLACOLLO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,72,504,72,0,648
QUIME,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,48,36,0,84
QUIRUSILLAS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
RAQAYPAMPA(ETA),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,12,0,72
RAVELO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,108,48,12,204
REYES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
RIBERALTA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,37,264,997,108,36,1442
ROBORE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,24,0,0,24
RURRENABAQUE,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,130,12,12,154
SABAYA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
SACABA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,204,955,228,0,1387
SACACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,84,12,0,96
SAIPINA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
SALINAS DE GARCI MENDOZA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,168,48,0,252
SAMAIPATA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,24,24,0,60
SAN AGUSTIN,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,24,0,0,60
SAN ANDRES,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,36,0,0,36
SAN ANDRES DE MACHACA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,0,12,0,12
SAN ANTONIO DE ESMORUCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,12,24,0,48
SAN ANTONIO DE LOMERIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,12,0,0,24
SAN BENITO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,12,0,0,12
SAN BORJA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,204,60,0,276
SAN BUENA VENTURA,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,60,24,0,84
SAN CARLOS,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,180,48,0,228
SAN IGNACIO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,36,156,48,0,240
SAN IGNACIO DE VELASCO,"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,12,192,36,0,240
SAN JAVIER(BNI),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,45,0,0,45
SAN JAVIER(STC),"anticoncepcion, prevencion de its y de cancer de cuello uterino",numero de condones entregados,2018-01-01,0,0,1,1,0,2
