municipality,group,variable,month,Muestras tomadas por agente comunario,TOTAL
CARAPARI,malaria,muestras tomadas por agente comunario,2005-05-01,29,29
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-05-01,14,14
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-05-01,6,6
HUACARETA,malaria,muestras tomadas por agente comunario,2005-05-01,1,1
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-05-01,8,8
LA ASUNTA,malaria,muestras tomadas por agente comunario,2005-05-01,49,49
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-05-01,184,184
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-05-01,4,4
TOMINA,malaria,muestras tomadas por agente comunario,2005-05-01,3,3
VILA VILA,malaria,muestras tomadas por agente comunario,2005-05-01,7,7
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-05-01,13,13
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-05-01,7,7
YACUIBA,malaria,muestras tomadas por agente comunario,2005-05-01,22,22
BAURES,malaria,muestras tomadas por agente comunario,2005-06-01,65,65
BERMEJO,malaria,muestras tomadas por agente comunario,2005-06-01,26,26
CARAPARI,malaria,muestras tomadas por agente comunario,2005-06-01,23,23
CULPINA,malaria,muestras tomadas por agente comunario,2005-06-01,49,49
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-06-01,13,13
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-06-01,10,10
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-06-01,6,6
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-06-01,250,250
MAPIRI,malaria,muestras tomadas por agente comunario,2005-06-01,5,5
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-06-01,3,3
PADCAYA,malaria,muestras tomadas por agente comunario,2005-06-01,5,5
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-06-01,1,1
PASORAPA,malaria,muestras tomadas por agente comunario,2005-06-01,6,6
RIBERALTA,malaria,muestras tomadas por agente comunario,2005-06-01,2,2
SENA,malaria,muestras tomadas por agente comunario,2005-06-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-06-01,14,14
AZURDUY,malaria,muestras tomadas por agente comunario,2005-07-01,1,1
BAURES,malaria,muestras tomadas por agente comunario,2005-07-01,67,67
BERMEJO,malaria,muestras tomadas por agente comunario,2005-07-01,7,7
BUENA VISTA,malaria,muestras tomadas por agente comunario,2005-07-01,1,1
CARAPARI,malaria,muestras tomadas por agente comunario,2005-07-01,13,13
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-07-01,27,27
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-07-01,12,12
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-07-01,11,11
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-07-01,197,197
MAPIRI,malaria,muestras tomadas por agente comunario,2005-07-01,1,1
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-07-01,6,6
PADCAYA,malaria,muestras tomadas por agente comunario,2005-07-01,2,2
RIBERALTA,malaria,muestras tomadas por agente comunario,2005-07-01,8,8
SENA,malaria,muestras tomadas por agente comunario,2005-07-01,11,11
YACUIBA,malaria,muestras tomadas por agente comunario,2005-07-01,3,3
AZURDUY,malaria,muestras tomadas por agente comunario,2005-08-01,1,1
BAURES,malaria,muestras tomadas por agente comunario,2005-08-01,71,71
CARAPARI,malaria,muestras tomadas por agente comunario,2005-08-01,18,18
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-08-01,12,12
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por agente comunario,2005-08-01,5,5
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-08-01,19,19
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-08-01,10,10
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-08-01,202,202
PADCAYA,malaria,muestras tomadas por agente comunario,2005-08-01,4,4
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-08-01,3,3
PORVENIR,malaria,muestras tomadas por agente comunario,2005-08-01,2,2
RIBERALTA,malaria,muestras tomadas por agente comunario,2005-08-01,5,5
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por agente comunario,2005-08-01,10,10
SAN LORENZO(TJA),malaria,muestras tomadas por agente comunario,2005-08-01,2,2
TEOPONTE,malaria,muestras tomadas por agente comunario,2005-08-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-08-01,2,2
BAURES,malaria,muestras tomadas por agente comunario,2005-09-01,55,55
BERMEJO,malaria,muestras tomadas por agente comunario,2005-09-01,2,2
CARANAVI,malaria,muestras tomadas por agente comunario,2005-09-01,1,1
CARAPARI,malaria,muestras tomadas por agente comunario,2005-09-01,12,12
COBIJA,malaria,muestras tomadas por agente comunario,2005-09-01,3,3
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-09-01,10,10
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por agente comunario,2005-09-01,2,2
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-09-01,16,16
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-09-01,12,12
LA ASUNTA,malaria,muestras tomadas por agente comunario,2005-09-01,4,4
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-09-01,232,232
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-09-01,16,16
PADCAYA,malaria,muestras tomadas por agente comunario,2005-09-01,6,6
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-09-01,6,6
SAIPINA,malaria,muestras tomadas por agente comunario,2005-09-01,1,1
SENA,malaria,muestras tomadas por agente comunario,2005-09-01,80,80
TEOPONTE,malaria,muestras tomadas por agente comunario,2005-09-01,1,1
VILA VILA,malaria,muestras tomadas por agente comunario,2005-09-01,1,1
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-09-01,21,21
YACUIBA,malaria,muestras tomadas por agente comunario,2005-09-01,5,5
AZURDUY,malaria,muestras tomadas por agente comunario,2005-10-01,2,2
BAURES,malaria,muestras tomadas por agente comunario,2005-10-01,71,71
BERMEJO,malaria,muestras tomadas por agente comunario,2005-10-01,29,29
BUENA VISTA,malaria,muestras tomadas por agente comunario,2005-10-01,2,2
CARAPARI,malaria,muestras tomadas por agente comunario,2005-10-01,16,16
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-10-01,6,6
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-10-01,20,20
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-10-01,15,15
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-10-01,194,194
MAPIRI,malaria,muestras tomadas por agente comunario,2005-10-01,15,15
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-10-01,3,3
PADCAYA,malaria,muestras tomadas por agente comunario,2005-10-01,5,5
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-10-01,5,5
RIBERALTA,malaria,muestras tomadas por agente comunario,2005-10-01,9,9
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2005-10-01,36,36
SENA,malaria,muestras tomadas por agente comunario,2005-10-01,39,39
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-10-01,24,24
YACUIBA,malaria,muestras tomadas por agente comunario,2005-10-01,2,2
AZURDUY,malaria,muestras tomadas por agente comunario,2005-11-01,3,3
BAURES,malaria,muestras tomadas por agente comunario,2005-11-01,96,96
BERMEJO,malaria,muestras tomadas por agente comunario,2005-11-01,4,4
CARAPARI,malaria,muestras tomadas por agente comunario,2005-11-01,15,15
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-11-01,20,20
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-11-01,34,34
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-11-01,12,12
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-11-01,244,244
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-11-01,2,2
PALOS BLANCOS,malaria,muestras tomadas por agente comunario,2005-11-01,26,26
PUERTO RICO,malaria,muestras tomadas por agente comunario,2005-11-01,5,5
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2005-11-01,4,4
SENA,malaria,muestras tomadas por agente comunario,2005-11-01,11,11
VILA VILA,malaria,muestras tomadas por agente comunario,2005-11-01,2,2
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-11-01,15,15
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-11-01,560,560
APOLO,malaria,muestras tomadas por agente comunario,2005-12-01,17,17
AZURDUY,malaria,muestras tomadas por agente comunario,2005-12-01,1,1
BAURES,malaria,muestras tomadas por agente comunario,2005-12-01,58,58
BERMEJO,malaria,muestras tomadas por agente comunario,2005-12-01,22,22
CARAPARI,malaria,muestras tomadas por agente comunario,2005-12-01,9,9
ENTRE RIOS,malaria,muestras tomadas por agente comunario,2005-12-01,10,10
GUAYARAMERIN,malaria,muestras tomadas por agente comunario,2005-12-01,17,17
HUARACAJE,malaria,muestras tomadas por agente comunario,2005-12-01,10,10
MAGDALENA,malaria,muestras tomadas por agente comunario,2005-12-01,103,103
MAPIRI,malaria,muestras tomadas por agente comunario,2005-12-01,12,12
MONTEAGUDO,malaria,muestras tomadas por agente comunario,2005-12-01,3,3
PORVENIR,malaria,muestras tomadas por agente comunario,2005-12-01,6,6
PUERTO GONZALO MORENO,malaria,muestras tomadas por agente comunario,2005-12-01,8,8
SAIPINA,malaria,muestras tomadas por agente comunario,2005-12-01,9,9
SAN LORENZO(PND),malaria,muestras tomadas por agente comunario,2005-12-01,31,31
SENA,malaria,muestras tomadas por agente comunario,2005-12-01,24,24
VILLA MONTES,malaria,muestras tomadas por agente comunario,2005-12-01,14,14
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por agente comunario,2005-12-01,28,28
