municipality,group,variable,month,Tratamientos iniciados en el mes por agente comun,TOTAL
RIBERALTA,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-06-01,6,6
AZURDUY,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,14,14
BUENA VISTA,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,3,3
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,4,4
MONTEAGUDO,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,3,3
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,5,5
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2005-07-01,3,3
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,6,6
BUENA VISTA,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,7,7
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,4,4
PORVENIR,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-08-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,14,14
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,6,6
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,2,2
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,1,1
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,30,30
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,1,1
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,7,7
TEOPONTE,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,1,1
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2005-09-01,1,1
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,7,7
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,3,3
BUENA VISTA,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,2,2
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,1,1
COLOMI,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,1,1
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,9,9
MAGDALENA,malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,5,5
POJO (CBBA),malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2005-10-01,2,2
BAURES,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,10,10
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,3,3
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,1,1
OMEREQUE,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,2,2
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,4,4
VILA VILA,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,17,17
YACUIBA,malaria,tratamientos iniciados en el mes por agente comun,2005-11-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,132,132
CAMIRI,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,1,1
CARAPARI,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,2,2
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,3,3
PORVENIR,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,4,4
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,11,11
SENA,malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,3,3
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por agente comun,2005-12-01,6,6
