municipality,group,variable,month,Muestras tomadas por personal de salud,TOTAL
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-01-01,70,70
VILLA TUNARI,malaria,muestras tomadas por personal de salud,2005-01-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-01-01,58,58
ZUDAÑEZ,malaria,muestras tomadas por personal de salud,2005-01-01,2,2
AZURDUY,malaria,muestras tomadas por personal de salud,2005-02-01,2,2
BAURES,malaria,muestras tomadas por personal de salud,2005-02-01,48,48
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-02-01,2,2
BETANZOS,malaria,muestras tomadas por personal de salud,2005-02-01,1,1
BOLPEBRA,malaria,muestras tomadas por personal de salud,2005-02-01,10,10
CARANAVI,malaria,muestras tomadas por personal de salud,2005-02-01,115,115
CARAPARI,malaria,muestras tomadas por personal de salud,2005-02-01,534,534
COBIJA,malaria,muestras tomadas por personal de salud,2005-02-01,379,379
COLOMI,malaria,muestras tomadas por personal de salud,2005-02-01,1,1
EL TORNO,malaria,muestras tomadas por personal de salud,2005-02-01,8,8
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-02-01,260,260
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-02-01,9,9
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-02-01,20,20
GUANAY,malaria,muestras tomadas por personal de salud,2005-02-01,209,209
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-02-01,1706,1706
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-02-01,14,14
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-02-01,35,35
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-02-01,4,4
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-02-01,39,39
MAPIRI,malaria,muestras tomadas por personal de salud,2005-02-01,173,173
MIZQUE,malaria,muestras tomadas por personal de salud,2005-02-01,3,3
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-02-01,106,106
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-02-01,76,76
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-02-01,141,141
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-02-01,2,2
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-02-01,82,82
PORONGO,malaria,muestras tomadas por personal de salud,2005-02-01,8,8
PORVENIR,malaria,muestras tomadas por personal de salud,2005-02-01,2,2
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-02-01,42,42
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-02-01,407,407
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-02-01,2120,2120
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-02-01,311,311
SENA,malaria,muestras tomadas por personal de salud,2005-02-01,587,587
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-02-01,4,4
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-02-01,45,45
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-02-01,210,210
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-02-01,110,110
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-02-01,71,71
AZURDUY,malaria,muestras tomadas por personal de salud,2005-03-01,2,2
BAURES,malaria,muestras tomadas por personal de salud,2005-03-01,32,32
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-03-01,68,68
BOLPEBRA,malaria,muestras tomadas por personal de salud,2005-03-01,19,19
CARANAVI,malaria,muestras tomadas por personal de salud,2005-03-01,112,112
CARAPARI,malaria,muestras tomadas por personal de salud,2005-03-01,518,518
CHIMORE,malaria,muestras tomadas por personal de salud,2005-03-01,2,2
COBIJA,malaria,muestras tomadas por personal de salud,2005-03-01,204,204
CUEVO,malaria,muestras tomadas por personal de salud,2005-03-01,2,2
EL TORNO,malaria,muestras tomadas por personal de salud,2005-03-01,2,2
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-03-01,269,269
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-03-01,1,1
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-03-01,22,22
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-03-01,47,47
GUANAY,malaria,muestras tomadas por personal de salud,2005-03-01,373,373
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-03-01,2889,2889
HUACARETA,malaria,muestras tomadas por personal de salud,2005-03-01,50,50
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-03-01,5,5
MACHARETI,malaria,muestras tomadas por personal de salud,2005-03-01,1,1
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-03-01,52,52
MAPIRI,malaria,muestras tomadas por personal de salud,2005-03-01,10,10
MIZQUE,malaria,muestras tomadas por personal de salud,2005-03-01,9,9
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-03-01,145,145
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-03-01,71,71
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-03-01,78,78
PORONGO,malaria,muestras tomadas por personal de salud,2005-03-01,10,10
PORVENIR,malaria,muestras tomadas por personal de salud,2005-03-01,63,63
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-03-01,385,385
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-03-01,438,438
PUERTO VILLARROEL,malaria,muestras tomadas por personal de salud,2005-03-01,1,1
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-03-01,3883,3883
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-03-01,568,568
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-03-01,22,22
SENA,malaria,muestras tomadas por personal de salud,2005-03-01,746,746
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-03-01,4,4
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-03-01,23,23
VILA VILA,malaria,muestras tomadas por personal de salud,2005-03-01,5,5
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-03-01,370,370
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-03-01,123,123
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-03-01,108,108
AIQUILE,malaria,muestras tomadas por personal de salud,2005-04-01,3,3
ALCALA,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
BAURES,malaria,muestras tomadas por personal de salud,2005-04-01,31,31
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-04-01,107,107
BERMEJO,malaria,muestras tomadas por personal de salud,2005-04-01,22,22
BETANZOS,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
BOLPEBRA,malaria,muestras tomadas por personal de salud,2005-04-01,6,6
CARANAVI,malaria,muestras tomadas por personal de salud,2005-04-01,71,71
CARAPARI,malaria,muestras tomadas por personal de salud,2005-04-01,176,176
COBIJA,malaria,muestras tomadas por personal de salud,2005-04-01,149,149
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-04-01,166,166
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-04-01,54,54
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-04-01,34,34
GUANAY,malaria,muestras tomadas por personal de salud,2005-04-01,111,111
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-04-01,2809,2809
HUACARETA,malaria,muestras tomadas por personal de salud,2005-04-01,7,7
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-04-01,8,8
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-04-01,35,35
MACHARETI,malaria,muestras tomadas por personal de salud,2005-04-01,2,2
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-04-01,61,61
MAPIRI,malaria,muestras tomadas por personal de salud,2005-04-01,92,92
MIZQUE,malaria,muestras tomadas por personal de salud,2005-04-01,6,6
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-04-01,136,136
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-04-01,90,90
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-04-01,446,446
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-04-01,6,6
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-04-01,36,36
PORVENIR,malaria,muestras tomadas por personal de salud,2005-04-01,106,106
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-04-01,211,211
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-04-01,416,416
PUERTO SILES,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
REYES,malaria,muestras tomadas por personal de salud,2005-04-01,4,4
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-04-01,3878,3878
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-04-01,236,236
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-04-01,21,21
SENA,malaria,muestras tomadas por personal de salud,2005-04-01,335,335
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-04-01,14,14
SORATA,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
TARABUCO,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-04-01,6,6
TOMINA,malaria,muestras tomadas por personal de salud,2005-04-01,1,1
VILA VILA,malaria,muestras tomadas por personal de salud,2005-04-01,5,5
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-04-01,279,279
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-04-01,17,17
VILLA SERRANO,malaria,muestras tomadas por personal de salud,2005-04-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-04-01,69,69
AZURDUY,malaria,muestras tomadas por personal de salud,2005-05-01,16,16
BAURES,malaria,muestras tomadas por personal de salud,2005-05-01,124,124
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-05-01,81,81
BERMEJO,malaria,muestras tomadas por personal de salud,2005-05-01,12,12
BOLPEBRA,malaria,muestras tomadas por personal de salud,2005-05-01,25,25
CARANAVI,malaria,muestras tomadas por personal de salud,2005-05-01,77,77
CARAPARI,malaria,muestras tomadas por personal de salud,2005-05-01,99,99
COBIJA,malaria,muestras tomadas por personal de salud,2005-05-01,154,154
CULPINA,malaria,muestras tomadas por personal de salud,2005-05-01,19,19
EL PUENTE(TJA),malaria,muestras tomadas por personal de salud,2005-05-01,1,1
EL TORNO,malaria,muestras tomadas por personal de salud,2005-05-01,4,4
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-05-01,66,66
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-05-01,22,22
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-05-01,39,39
GUANAY,malaria,muestras tomadas por personal de salud,2005-05-01,77,77
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-05-01,2392,2392
GUTIERREZ,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
HUACARETA,malaria,muestras tomadas por personal de salud,2005-05-01,5,5
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-05-01,7,7
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-05-01,9,9
IXIAMAS,malaria,muestras tomadas por personal de salud,2005-05-01,5,5
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-05-01,50,50
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-05-01,5,5
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-05-01,54,54
MAPIRI,malaria,muestras tomadas por personal de salud,2005-05-01,46,46
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-05-01,862,862
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-05-01,63,63
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-05-01,163,163
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
PADCAYA,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-05-01,30,30
PORONGO,malaria,muestras tomadas por personal de salud,2005-05-01,11,11
PORVENIR,malaria,muestras tomadas por personal de salud,2005-05-01,57,57
PRESTO,malaria,muestras tomadas por personal de salud,2005-05-01,13,13
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-05-01,61,61
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-05-01,350,350
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-05-01,3283,3283
SAN BUENA VENTURA,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
SAN LORENZO(PND),malaria,muestras tomadas por personal de salud,2005-05-01,198,198
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-05-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-05-01,2,2
SAN PEDRO(PND),malaria,muestras tomadas por personal de salud,2005-05-01,14,14
SENA,malaria,muestras tomadas por personal de salud,2005-05-01,329,329
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-05-01,8,8
SORATA,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
TACACOMA,malaria,muestras tomadas por personal de salud,2005-05-01,2,2
TARVITA,malaria,muestras tomadas por personal de salud,2005-05-01,4,4
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-05-01,118,118
VALLEGRANDE,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
VILLA MONTES,malaria,muestras tomadas por personal de salud,2005-05-01,296,296
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-05-01,49,49
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-05-01,69,69
YACUIBA,malaria,muestras tomadas por personal de salud,2005-05-01,73,73
YAMPARAEZ,malaria,muestras tomadas por personal de salud,2005-05-01,1,1
AZURDUY,malaria,muestras tomadas por personal de salud,2005-06-01,8,8
BAURES,malaria,muestras tomadas por personal de salud,2005-06-01,103,103
BERMEJO,malaria,muestras tomadas por personal de salud,2005-06-01,1137,1137
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-06-01,12,12
CARANAVI,malaria,muestras tomadas por personal de salud,2005-06-01,16,16
CARAPARI,malaria,muestras tomadas por personal de salud,2005-06-01,57,57
COBIJA,malaria,muestras tomadas por personal de salud,2005-06-01,104,104
EL TORNO,malaria,muestras tomadas por personal de salud,2005-06-01,2,2
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-06-01,118,118
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-06-01,7,7
GUANAY,malaria,muestras tomadas por personal de salud,2005-06-01,153,153
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-06-01,2334,2334
HUACARETA,malaria,muestras tomadas por personal de salud,2005-06-01,18,18
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-06-01,12,12
INGAVI (HUMAITA),malaria,muestras tomadas por personal de salud,2005-06-01,5,5
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-06-01,162,162
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-06-01,4,4
MACHARETI,malaria,muestras tomadas por personal de salud,2005-06-01,16,16
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-06-01,81,81
MAPIRI,malaria,muestras tomadas por personal de salud,2005-06-01,73,73
MIZQUE,malaria,muestras tomadas por personal de salud,2005-06-01,8,8
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-06-01,59,59
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-06-01,130,130
NUEVO MANOA (NUEVA ESPERANZA),malaria,muestras tomadas por personal de salud,2005-06-01,236,236
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-06-01,4,4
PADCAYA,malaria,muestras tomadas por personal de salud,2005-06-01,309,309
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-06-01,52,52
PASORAPA,malaria,muestras tomadas por personal de salud,2005-06-01,263,263
PORONGO,malaria,muestras tomadas por personal de salud,2005-06-01,4,4
PORVENIR,malaria,muestras tomadas por personal de salud,2005-06-01,5,5
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-06-01,34,34
REYES,malaria,muestras tomadas por personal de salud,2005-06-01,3,3
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-06-01,3395,3395
SAN BUENA VENTURA,malaria,muestras tomadas por personal de salud,2005-06-01,3,3
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-06-01,79,79
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-06-01,1,1
SAN MIGUEL DE VELASCO,malaria,muestras tomadas por personal de salud,2005-06-01,24,24
SAN RAFAEL,malaria,muestras tomadas por personal de salud,2005-06-01,2,2
SENA,malaria,muestras tomadas por personal de salud,2005-06-01,164,164
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-06-01,9,9
SORATA,malaria,muestras tomadas por personal de salud,2005-06-01,1,1
TARVITA,malaria,muestras tomadas por personal de salud,2005-06-01,3,3
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-06-01,134,134
VILA VILA,malaria,muestras tomadas por personal de salud,2005-06-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-06-01,52,52
YACUIBA,malaria,muestras tomadas por personal de salud,2005-06-01,7,7
ZUDAÑEZ,malaria,muestras tomadas por personal de salud,2005-06-01,1,1
APOLO,malaria,muestras tomadas por personal de salud,2005-07-01,172,172
AZURDUY,malaria,muestras tomadas por personal de salud,2005-07-01,4,4
BAURES,malaria,muestras tomadas por personal de salud,2005-07-01,83,83
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-07-01,36,36
BERMEJO,malaria,muestras tomadas por personal de salud,2005-07-01,26,26
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-07-01,12,12
CARANAVI,malaria,muestras tomadas por personal de salud,2005-07-01,33,33
CARAPARI,malaria,muestras tomadas por personal de salud,2005-07-01,104,104
EL TORNO,malaria,muestras tomadas por personal de salud,2005-07-01,6,6
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-07-01,49,49
FILADELFIA,malaria,muestras tomadas por personal de salud,2005-07-01,2,2
GUANAY,malaria,muestras tomadas por personal de salud,2005-07-01,68,68
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-07-01,2012,2012
HUACARETA,malaria,muestras tomadas por personal de salud,2005-07-01,6,6
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-07-01,9,9
IRUPANA (VILLA DE LANZA),malaria,muestras tomadas por personal de salud,2005-07-01,1,1
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-07-01,149,149
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-07-01,3,3
MACHARETI,malaria,muestras tomadas por personal de salud,2005-07-01,4,4
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-07-01,120,120
MAPIRI,malaria,muestras tomadas por personal de salud,2005-07-01,94,94
MIZQUE,malaria,muestras tomadas por personal de salud,2005-07-01,4,4
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-07-01,138,138
OMEREQUE,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
PADCAYA,malaria,muestras tomadas por personal de salud,2005-07-01,305,305
PORONGO,malaria,muestras tomadas por personal de salud,2005-07-01,9,9
PORVENIR,malaria,muestras tomadas por personal de salud,2005-07-01,52,52
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-07-01,9,9
PUERTO SILES,malaria,muestras tomadas por personal de salud,2005-07-01,2,2
REYES,malaria,muestras tomadas por personal de salud,2005-07-01,2,2
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-07-01,2880,2880
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-07-01,3,3
SAN RAFAEL,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
SANTA ANA,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
SENA,malaria,muestras tomadas por personal de salud,2005-07-01,99,99
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-07-01,4,4
TARABUCO,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
TARVITA,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-07-01,126,126
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-07-01,124,124
VILLA SERRANO,malaria,muestras tomadas por personal de salud,2005-07-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-07-01,6,6
YACUIBA,malaria,muestras tomadas por personal de salud,2005-07-01,24,24
ANZALDO,malaria,muestras tomadas por personal de salud,2005-08-01,170,170
AZURDUY,malaria,muestras tomadas por personal de salud,2005-08-01,13,13
BAURES,malaria,muestras tomadas por personal de salud,2005-08-01,71,71
BELLA FLOR,malaria,muestras tomadas por personal de salud,2005-08-01,2,2
BERMEJO,malaria,muestras tomadas por personal de salud,2005-08-01,108,108
BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-08-01,21,21
CARANAVI,malaria,muestras tomadas por personal de salud,2005-08-01,100,100
CARAPARI,malaria,muestras tomadas por personal de salud,2005-08-01,196,196
COBIJA,malaria,muestras tomadas por personal de salud,2005-08-01,5,5
CULPINA,malaria,muestras tomadas por personal de salud,2005-08-01,2,2
EL TORNO,malaria,muestras tomadas por personal de salud,2005-08-01,23,23
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-08-01,114,114
ENTRE RIOS,malaria,muestras tomadas por personal de salud,2005-08-01,3,3
EUREKA (SANTOS MERCADO),malaria,muestras tomadas por personal de salud,2005-08-01,25,25
GUANAY,malaria,muestras tomadas por personal de salud,2005-08-01,249,249
GUAYARAMERIN,malaria,muestras tomadas por personal de salud,2005-08-01,2415,2415
HUACARETA,malaria,muestras tomadas por personal de salud,2005-08-01,24,24
HUARACAJE,malaria,muestras tomadas por personal de salud,2005-08-01,8,8
LA ASUNTA,malaria,muestras tomadas por personal de salud,2005-08-01,210,210
LA GUARDIA,malaria,muestras tomadas por personal de salud,2005-08-01,7,7
MACHARETI,malaria,muestras tomadas por personal de salud,2005-08-01,8,8
MAGDALENA,malaria,muestras tomadas por personal de salud,2005-08-01,43,43
MAPIRI,malaria,muestras tomadas por personal de salud,2005-08-01,132,132
MIZQUE,malaria,muestras tomadas por personal de salud,2005-08-01,3,3
MONTEAGUDO,malaria,muestras tomadas por personal de salud,2005-08-01,508,508
NACEBE (SANTA ROSA DEL ABUNA),malaria,muestras tomadas por personal de salud,2005-08-01,10,10
PADCAYA,malaria,muestras tomadas por personal de salud,2005-08-01,413,413
PALOS BLANCOS,malaria,muestras tomadas por personal de salud,2005-08-01,25,25
PORONGO,malaria,muestras tomadas por personal de salud,2005-08-01,30,30
PORVENIR,malaria,muestras tomadas por personal de salud,2005-08-01,70,70
PUERTO GONZALO MORENO,malaria,muestras tomadas por personal de salud,2005-08-01,5,5
PUERTO RICO,malaria,muestras tomadas por personal de salud,2005-08-01,131,131
REYES,malaria,muestras tomadas por personal de salud,2005-08-01,6,6
RIBERALTA,malaria,muestras tomadas por personal de salud,2005-08-01,3062,3062
SAN IGNACIO DE VELASCO,malaria,muestras tomadas por personal de salud,2005-08-01,37,37
SAN LORENZO(TJA),malaria,muestras tomadas por personal de salud,2005-08-01,2,2
SAN PEDRO DE BUENA VISTA,malaria,muestras tomadas por personal de salud,2005-08-01,26,26
SANTA ROSA,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
SOPACHUY,malaria,muestras tomadas por personal de salud,2005-08-01,6,6
SORATA,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
SUCRE,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
TARABUCO,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
TEOPONTE,malaria,muestras tomadas por personal de salud,2005-08-01,141,141
VALLEGRANDE,malaria,muestras tomadas por personal de salud,2005-08-01,8,8
VILA VILA,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
VILLA NUEVA (LOMA ALTA),malaria,muestras tomadas por personal de salud,2005-08-01,30,30
VILLA SERRANO,malaria,muestras tomadas por personal de salud,2005-08-01,1,1
VILLA TUNARI,malaria,muestras tomadas por personal de salud,2005-08-01,2,2
VILLA VACA GUZMAN (MUYUPAMPA),malaria,muestras tomadas por personal de salud,2005-08-01,7,7
