municipality,group,variable,month,Tratamientos iniciados en el mes por personal de,TOTAL
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,14,14
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,6,6
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,11,11
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,31,31
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,108,108
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,14,14
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,14,14
PUERTO SILES,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
PUERTO SUAREZ,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
REYES,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,171,171
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,25,25
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,11,11
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SAN MIGUEL DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,40,40
SIPE SIPE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
TARABUCO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,1,1
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,9,9
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,9,9
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,5,5
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,96,96
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,8,8
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,4,4
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-01-01,18,18
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,126,126
YAPACANI,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
ZUDAÑEZ,malaria,tratamientos iniciados en el mes por personal de,2005-01-01,2,2
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,5,5
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,255,255
BETANZOS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,13,13
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,8,8
CAMARGO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,12,12
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,66,66
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,11,11
COLOMI,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,12,12
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,8,8
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,37,37
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,9,9
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,4,4
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,151,151
HUACAYA (VILLA DE HUACAYA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
INGAVI (HUMAITA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,9,9
LA ASUNTA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,4,4
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,3,3
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,3,3
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,3,3
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,13,13
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,70,70
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,6,6
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,8,8
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,9,9
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,10,10
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,265,265
SAIPINA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,10,10
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,6,6
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,25,25
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,11,11
SAN LUCAS,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,31,31
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,9,9
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,31,31
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,3,3
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,13,13
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,2,2
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,51,51
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,10,10
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,1,1
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-02-01,32,32
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-02-01,228,228
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,5,5
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,11,11
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,4,4
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,414,414
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,6,6
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,19,19
CAMARGO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,5,5
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,9,9
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,88,88
CHIMORE,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,15,15
COMARAPA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
CUEVO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,8,8
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,47,47
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,3,3
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,3,3
GENERAL SAAVEDRA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,314,314
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
HUACAYA (VILLA DE HUACAYA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,3,3
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,5,5
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,13,13
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,5,5
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,9,9
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,30,30
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,77,77
PAMPA GRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
PASORAPA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,10,10
PORTACHUELO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,7,7
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,11,11
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,14,14
PUERTO SILES,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
PUERTO VILLARROEL,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
PUNA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,3,3
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,856,856
SAIPINA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
SAMAIPATA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,4,4
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,8,8
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,13,13
SAN JOAQUIN,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,23,23
SAN LORENZO(TJA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,27,27
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SAN RAFAEL,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,107,107
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,2,2
SORATA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,3,3
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,18,18
URIONDO (A. CONCEPCION),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,1,1
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,9,9
VILA VILA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,5,5
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,84,84
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,6,6
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-03-01,45,45
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-03-01,311,311
AIQUILE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
ANZALDO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,10,10
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,23,23
BETANZOS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,9,9
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,56,56
CHARAGUA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,4,4
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,23,23
COMARAPA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,12,12
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,40,40
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,4,4
FILADELFIA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,325,325
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
LA PAZ,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
MAGDALENA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
MINEROS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,7,7
MIZQUE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,32,32
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,36,36
PADILLA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
PALOS BLANCOS,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,8,8
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,3,3
POSTRER VALLE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,7,7
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,20,20
PUERTO SILES,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
PUERTO VILLARROEL,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
PUNA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
REYES,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,4,4
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,923,923
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,8,8
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,11,11
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
SANTA ROSA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,71,71
TARABUCO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,19,19
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,16,16
VILA VILA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,5,5
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,53,53
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,6,6
VILLA SERRANO,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,2,2
VILLA TUNARI,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,7,7
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-04-01,35,35
YACUIBA,malaria,tratamientos iniciados en el mes por personal de,2005-04-01,430,430
ACACIO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
ARAMPAMPA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
AZURDUY,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,6,6
BAURES,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,13,13
BELLA FLOR,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,5,5
BERMEJO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,17,17
CABEZAS,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,11,11
CARANAVI,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,7,7
CARAPARI,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,34,34
COBIJA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,18,18
COMARAPA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
CULPINA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,19,19
EL PUENTE(TJA),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
EL TORNO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
ENTRE RIOS,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,16,16
EUREKA (SANTOS MERCADO),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
GUANAY,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,6,6
GUAYARAMERIN,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,339,339
GUTIERREZ,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
HUACARETA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,3,3
IXIAMAS,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
LA GUARDIA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,5,5
LAGUNILLAS,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
MACHARETI,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
MAIRANA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
MAPIRI,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
MONTEAGUDO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,14,14
NACEBE (SANTA ROSA DEL ABUNA),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,7,7
NUEVO MANOA (NUEVA ESPERANZA),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,38,38
OMEREQUE,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
PADCAYA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,17,17
PORONGO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,11,11
PORVENIR,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
PUERTO GONZALO MORENO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,11,11
PUERTO RICO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,26,26
PUNA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
REYES,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,7,7
RIBERALTA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,719,719
RURRENABAQUE,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
SAIPINA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
SAN BORJA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
SAN IGNACIO DE VELASCO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,4,4
SAN JULIAN,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
SAN LORENZO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,10,10
SAN PEDRO DE BUENA VISTA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,6,6
SAN PEDRO(PND),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
SANTA CRUZ DE LA SIERRA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
SENA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,38,38
SOPACHUY,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,3,3
TEOPONTE,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,7,7
TOMINA,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,1,1
TORO TORO,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,33,33
VALLEGRANDE,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,2,2
VILLA MONTES,malaria,tratamientos iniciados en el mes por personal de,2005-05-01,54,54
VILLA NUEVA (LOMA ALTA),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,5,5
VILLA VACA GUZMAN (MUYUPAMPA),malaria,tratamientos iniciados en el mes por personal de,2005-05-01,32,32
