municipality,group,variable,month,Viviendas rociadas por personal de salud,TOTAL
ASCENCION DE GUARAYOS,malaria,viviendas rociadas por personal de salud,2005-08-01,1,1
CONCEPCION,malaria,viviendas rociadas por personal de salud,2005-08-01,2,2
EL TORNO,malaria,viviendas rociadas por personal de salud,2005-08-01,688,688
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2005-08-01,2,2
MAGDALENA,malaria,viviendas rociadas por personal de salud,2005-08-01,30,30
PADCAYA,malaria,viviendas rociadas por personal de salud,2005-08-01,53,53
PASORAPA,malaria,viviendas rociadas por personal de salud,2005-08-01,28,28
REYES,malaria,viviendas rociadas por personal de salud,2005-08-01,30,30
RIBERALTA,malaria,viviendas rociadas por personal de salud,2005-08-01,65,65
ASCENCION DE GUARAYOS,malaria,viviendas rociadas por personal de salud,2005-09-01,1,1
AZURDUY,malaria,viviendas rociadas por personal de salud,2005-09-01,35,35
BERMEJO,malaria,viviendas rociadas por personal de salud,2005-09-01,132,132
COBIJA,malaria,viviendas rociadas por personal de salud,2005-09-01,30,30
EL TORNO,malaria,viviendas rociadas por personal de salud,2005-09-01,62,62
GUANAY,malaria,viviendas rociadas por personal de salud,2005-09-01,438,438
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2005-09-01,44,44
LA ASUNTA,malaria,viviendas rociadas por personal de salud,2005-09-01,198,198
MAGDALENA,malaria,viviendas rociadas por personal de salud,2005-09-01,2,2
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2005-09-01,84,84
SAN PEDRO DE BUENA VISTA,malaria,viviendas rociadas por personal de salud,2005-09-01,218,218
APOLO,malaria,viviendas rociadas por personal de salud,2005-10-01,58,58
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2005-10-01,74,74
BERMEJO,malaria,viviendas rociadas por personal de salud,2005-10-01,321,321
EL TORNO,malaria,viviendas rociadas por personal de salud,2005-10-01,46,46
LA ASUNTA,malaria,viviendas rociadas por personal de salud,2005-10-01,43,43
MAPIRI,malaria,viviendas rociadas por personal de salud,2005-10-01,1786,1786
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2005-10-01,61,61
PORVENIR,malaria,viviendas rociadas por personal de salud,2005-10-01,45,45
PUERTO GONZALO MORENO,malaria,viviendas rociadas por personal de salud,2005-10-01,72,72
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2005-10-01,2,2
TAPACARI,malaria,viviendas rociadas por personal de salud,2005-10-01,25,25
YACUIBA,malaria,viviendas rociadas por personal de salud,2005-10-01,228,228
BAURES,malaria,viviendas rociadas por personal de salud,2005-11-01,29,29
BUENA VISTA,malaria,viviendas rociadas por personal de salud,2005-11-01,53,53
EL TORNO,malaria,viviendas rociadas por personal de salud,2005-11-01,373,373
MAPIRI,malaria,viviendas rociadas por personal de salud,2005-11-01,806,806
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2005-11-01,36,36
NUEVO MANOA (NUEVA ESPERANZA),malaria,viviendas rociadas por personal de salud,2005-11-01,134,134
PORVENIR,malaria,viviendas rociadas por personal de salud,2005-11-01,45,45
REYES,malaria,viviendas rociadas por personal de salud,2005-11-01,30,30
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2005-11-01,204,204
SAN JOAQUIN,malaria,viviendas rociadas por personal de salud,2005-11-01,36,36
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2005-11-01,80,80
AIQUILE,malaria,viviendas rociadas por personal de salud,2005-12-01,1,1
BAURES,malaria,viviendas rociadas por personal de salud,2005-12-01,56,56
BELLA FLOR,malaria,viviendas rociadas por personal de salud,2005-12-01,34,34
BERMEJO,malaria,viviendas rociadas por personal de salud,2005-12-01,982,982
CAMIRI,malaria,viviendas rociadas por personal de salud,2005-12-01,2,2
CARAPARI,malaria,viviendas rociadas por personal de salud,2005-12-01,259,259
GUAYARAMERIN,malaria,viviendas rociadas por personal de salud,2005-12-01,85,85
HUACARETA,malaria,viviendas rociadas por personal de salud,2005-12-01,17,17
NACEBE (SANTA ROSA DEL ABUNA),malaria,viviendas rociadas por personal de salud,2005-12-01,51,51
PADCAYA,malaria,viviendas rociadas por personal de salud,2005-12-01,245,245
PORVENIR,malaria,viviendas rociadas por personal de salud,2005-12-01,46,46
PUERTO GONZALO MORENO,malaria,viviendas rociadas por personal de salud,2005-12-01,95,95
PUERTO RICO,malaria,viviendas rociadas por personal de salud,2005-12-01,178,178
SAN IGNACIO DE VELASCO,malaria,viviendas rociadas por personal de salud,2005-12-01,20,20
SAN LORENZO(PND),malaria,viviendas rociadas por personal de salud,2005-12-01,21,21
SENA,malaria,viviendas rociadas por personal de salud,2005-12-01,33,33
TEOPONTE,malaria,viviendas rociadas por personal de salud,2005-12-01,3,3
