,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA DE TB SENSIBLE CANTIDAD,TOTALES
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,1,2
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,41,1,42
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
OMEREQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,1,2
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,9,5,14
PADILLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,2,2
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,1,5
PAMPA GRANDE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
POOPO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,1,3
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,7,3,10
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,6,3,9
RAVELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,4,7
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,5,9
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,0,3
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,72,31,103
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,4,1,5
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,1,2
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,5,0,5
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,6,4,10
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
TARABUCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,5,7,12
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,2,0,2
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
TIAHUANACU,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
TODOS SANTOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,3,4
VILLA CHARCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,2,5
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,1,4,5
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,3,1,4
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,6,4,10
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-01-01,10,2,12
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
AYATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
AZURDUY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
BATALLAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
CAPINOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,10,7,17
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,1,3
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,3,4
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,12,9,21
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,1,3
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,2,4
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,8,2,10
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,4,1,5
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,29,10,39
ENTRE RIOS TRJ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,5,0,5
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,5,4,9
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,7,5,12
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,27,18,45
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
POCOATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
POCONA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,3,5
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,5,4,9
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,4,2,6
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,7,5,12
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,10,2,12
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,3,1,4
SAN LORENZO(PND),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,4,1,5
SAN PEDRO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
SAN PEDRO DE TIQUINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,61,19,80
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,2,2
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,4,6
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,1,2
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,7,7,14
TACACOMA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,15,6,21
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
TOLATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,13,1,14
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
VACAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,3,4
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,6,1,7
VILLA SERRANO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,3,0,3
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,6,6,12
YACUIBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,2,3
ZUDAÑEZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,0,2
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
ALTO BENI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
ARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
ARBIETO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
ARQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
BETANZOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
BOYUIBE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
"CAIZA ""D""",tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
CAMIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,10,5,15
CARAPARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
CHIMORE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,2,5
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,1,3
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,7,2,9
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,8,7,15
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,0,3
COLPA BELGICA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
COLQUENCHA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
COMARAPA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
COROICO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
COTOCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,2,3
CUATRO CAÑADAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,2,3
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,24,15,39
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,4,4,8
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,3,6
FERNANDEZ ALONSO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,0,3
HUANUNI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,0,3
HUARINA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,2,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
LA ASUNTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,3,6
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,11,11,22
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,55,42,97
LURIBAY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,0,3
MECAPACA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
MINEROS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,2,2
MIZQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
OKINAWA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,5,1,6
PADCAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
PAILON,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
PALCA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
PORTACHUELO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,5,3,8
PUCARANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,7,3,10
QUIABAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,2,5
QUIME,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
RAQAYPAMPA(ETA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,9,4,13
RURRENABAQUE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,8,2,10
SALINAS DE GARCI MENDOZA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SAN ANTONIO DE LOMERIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
SAN BORJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
SAN BUENA VENTURA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,0,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,5,0,5
SAN LORENZO(TJA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SAN MIGUEL DE VELASCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,97,29,126
SANTA ROSA DEL SARA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SENA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,0,3
SHINAOTA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,6,3,9
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,3,2,5
SOPACHUY,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
SUCRE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,8,6,14
TAPACARI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,5,3,8
TARVITA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
TEOPONTE,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
TIPUANI,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,2,0,2
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,1,2
TIRAQUE (CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
TOCO,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,0,1,1
TOTORA(CBBA),tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema de tb sensible,2024-03-01,4,1,5
