,group,variable,month,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,N° DE TB PULMONAR CLINICAMENTE DIAGNOSTICADOS (NUEVOS Y RECAIDAS) CANTIDAD,TOTALES
EL TORNO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,0,2,2
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,1,1,2
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,8,8,16
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,8,0,8
PUCARANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,13,11,24
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,6,0,6
TUPIZA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,2,0,2
YAPACANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-03-01,3,1,4
ACHACACHI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
BATALLAS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
CABEZAS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,2,1,3
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,7,2,9
ORURO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,1,2
SAN AGUSTIN,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,10,14,24
SORATA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
TACACOMA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,1,1,2
YACUIBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-04-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
COLQUENCHA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,12,3,15
LAGUNILLAS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,2,2
PORONGO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
PUERTO ACOSTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,0,1,1
SAN LUCAS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,18,16,34
SENA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
TACACOMA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,2,0,2
YAPACANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-05-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
BOYUIBE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
CHIMORE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,4,1,5
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,61,38,99
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,15,13,28
PUCARANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,0,2,2
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,16,11,27
TARIJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,1,2
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-06-01,1,1,2
AUCAPATA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,3,0,3
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,2,0,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,9,3,12
MAIRANA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
MINEROS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
ORURO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
RIBERALTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,2,2
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
SAN RAMON BENI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,17,22,39
SENA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,6,0,6
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,2,0,2
YANACACHI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-07-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,2,0,2
CALAMARCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
CHARAGUA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
COBIJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,4,1,5
COLCAPIRHUA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
COTOCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,6,1,7
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,1,2
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,85,46,131
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
PADILLA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,15,11,26
SIPE SIPE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,0,1,1
SORATA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,11,0,11
URUBICHA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,2,2,4
YACUIBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-08-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,7,2,9
LA ASUNTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,2,3
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,6,0,6
MOCOMOCO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
PAILON,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,2,3,5
PUERTO QUIJARRO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,1,2
SACABA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,0,1,1
SAN RAMON SCZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,18,8,26
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-09-01,5,0,5
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
CARACOLLO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,2,1,3
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,8,0,8
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,4,0,4
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,2,1,3
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,4,0,4
PUERTO SUAREZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,0,1,1
SACACA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
SAN JULIAN,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,23,9,32
SUCRE,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
TIPUANI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
TITO YUPANQUI (PARQUIPUJIO),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,4,2,6
VIACHA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-10-01,1,1,2
ANDAMARCA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
ARBIETO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
CAMIRI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,2,2
CUATRO CAÑADAS,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,2,3
EL TORNO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,1,2
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,1,2
MONTERO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,5,1,6
ORURO,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,3,0,3
POTOSI,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,2,3,5
PUERTO VILLARROEL,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,1,2
PUNA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
SAN JAVIER(STC),tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,8,3,11
WARNES,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tb pulmonar clinicamente diagnosticados (nuevos y recaidas),2024-11-01,1,0,1
