,group,variable,month,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,N° DE TB EXTRAPULMONAR NUEVOS Y RECAIDAS CANTIDAD,TOTALES
CHIMORE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,7,3,10
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
CULPINA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,5,4,9
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,15,8,23
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,1,2
MECAPACA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,1,2
OKINAWA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,1,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,3,0,3
SAN JUAN DE YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,14,6,20
SHINAOTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,0,1,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,2,3,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,4,0,4
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
UNCIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,2,0,2
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
ZUDAÑEZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-02-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
BETANZOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,1,2
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,6,5,11
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,8,3,11
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
INCAHUASI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,1,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,5,18,23
LURIBAY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
MINEROS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,2,3
OCURI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,3,2,5
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
PATACAMAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
PORONGO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,10,0,10
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
QUIME,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,2,2
RURRENABAQUE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,1,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,13,5,18
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,4,1,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,2,3,5
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,2,0,2
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,0,2,2
YANACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
YOTALA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-03-01,1,0,1
ACHACACHI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
ALALAY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
ANCORAIMES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
ARBIETO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,9,6,15
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,0,2
COLOMI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
COROICO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,1,2
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,12,4,16
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,21,11,32
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
MOJOCOYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,1,2
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,1,2
PAILON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
PALCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,4,1,5
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,4,1,5
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,3,3
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,2,4
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
SAN JULIAN,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
SAN LUCAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,22,7,29
SIPE SIPE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,3,5
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,2,4
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,1,3
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
VILLAZON,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,0,1,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,1,3
WARNES,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,0,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,2,1,3
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-04-01,1,1,2
ACHOCALLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
AYATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
CAMARGO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
CHAQUI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
COBIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,2,0,2
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,2,5,7
COPACABANA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
CORIPATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,9,4,13
ENTRE RIOS CBBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,1,2
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,19,12,31
LAJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,4,0,4
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,4,2,6
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,3,0,3
POCOATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,4,0,4
PUERTO SUAREZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
QUIME,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
SACABA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,12,9,21
SORATA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,3,5,8
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,2,3
TARVITA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
UYUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,1,2
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,0,1,1
YACUIBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-05-01,1,0,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,2,2
BUENA VISTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,18,8,26
COTOCA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,6,8,14
FERNANDEZ ALONSO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
GUANAY,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,1,2
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,2,0,2
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,21,10,31
MAPIRI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,1,2
PALOS BLANCOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,2,2
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,3,0,3
PUERTO CARABUCO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
PUERTO SUAREZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,1,2
QUIABAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
QUILLACOLLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,2,2
RAVELO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
RIBERALTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
SAN BORJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
SAN PEDRO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,2,4,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,25,8,33
SENA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
SUCRE,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,2,2
TARIJA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,2,0,2
TIAHUANACU,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
TIQUIPAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,1,2
TRINIDAD,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
TUPIZA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,0,1,1
VIACHA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
VINTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,0,1
YAPACANI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-06-01,1,1,2
APOLO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
BERMEJO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,1,2
BUENA VISTA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
CAIROMA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
"CAIZA ""D""",tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
CARANAVI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,2,3
COCHABAMBA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,13,8,21
COLCAPIRHUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
COLOMI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
CUATRO CAÑADAS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
EL ALTO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,8,3,11
EL TORNO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,1,2
GUAYARAMERIN,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
HUANUNI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
ICLA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
LA GUARDIA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,3,2,5
LA PAZ,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,8,16,24
LLALLAGUA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
MINEROS,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
MONTEAGUDO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,0,1,1
MONTERO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,3,2,5
ORURO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,4,5
PATACAMAYA,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
POOPO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
PORONGO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
PORTACHUELO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
POTOSI,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,3,0,3
PUERTO QUIJARRO,tuberculosis y lepra,n de tb extrapulmonar nuevos y recaidas,2024-07-01,1,0,1
