,group,variable,month,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,Nº DE PACIENTES CON COINFECCIÓN TB/VIH CANTIDAD,TOTALES
COLCAPIRHUA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,0,1
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,0,1,1
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,0,1,1
LA ASUNTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,1,2
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,5,4,9
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,2,2,4
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,15,6,21
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,1,2
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-03-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,10,6,16
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,2,0,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,0,1,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,2,0,2
SAN BORJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
SAN IGNACIO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,1,2
SAN JUAN DE YAPACANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,11,1,12
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,1,2
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-04-01,1,0,1
ACHACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,1,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,4,1,5
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,2,0,2
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,3,1,4
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,5,0,5
MIZQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,1,2
OKINAWA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,2,1,3
PRESTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,9,5,14
SENA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-05-01,1,0,1
BOYUIBE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
COBIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,2,1,3
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,8,1,9
COLPA BELGICA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
CONCEPCION,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
COROICO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,4,2,6
EL PUENTE(STC),tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,2,0,2
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,1,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,3,1,4
RURRENABAQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
SAMAIPATA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,8,1,9
SENA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,0,1,1
SORACACHI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,0,1,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
TIAHUANACU,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-06-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,3,1,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,1,2
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,0,1,1
ICLA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
POTOSI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,0,1,1
RAVELO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,0,1,1
RURRENABAQUE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,8,2,10
TIQUIPAYA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-07-01,2,0,2
CARANAVI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,6,1,7
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,2,1,3
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,2,0,2
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,3,0,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,2,6,8
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,1,2
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,16,1,17
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,0,1,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
URUBICHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-08-01,1,0,1
CAMIRI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
CAPINOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
CHUQUIHUTA AYLLU JUCUMANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,2,2,4
COTOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,4,0,4
ENTRE RIOS CBBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
HUANUNI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,2,3,5
ICHOCA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,5,0,5
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,1,2
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,5,2,7
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
TARIJA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
VIACHA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,6,2,8
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,4,0,4
EL TORNO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,0,1,1
GUANAY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,3,0,3
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,5,0,5
MINEROS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
PUCARANI,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,0,1,1
PUERTO SUAREZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
SAN CARLOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,9,1,10
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-10-01,2,0,2
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,3,1,4
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,1,2
GUANAY,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,4,2,6
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,3,0,3
OKINAWA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,0,1,1
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,0,1,1
SAN BENITO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,12,2,14
SHINAOTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-11-01,1,0,1
COCHABAMBA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,8,3,11
EL ALTO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,2,0,2
FERNANDEZ ALONSO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,0,1,1
LA GUARDIA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
LA PAZ,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,2,1,3
MONTERO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
ORURO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,2,0,2
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,8,3,11
SACABA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,2,0,2
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,11,3,14
SIPE SIPE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
SUCRE,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
VILLA MONTES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes con coinfeccion tb/vih,2024-12-01,0,1,1
