,group,variable,month,TRATAMIENTOS INICIADOS CON ESQUEMA MODIFICADO PARA TB CANTIDAD,TRATAMIENTOS INICIADOS CON ESQUEMA MODIFICADO PARA TB CANTIDAD,TOTALES
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,2,3
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,5,0,5
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,2,1,3
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,6,0,6
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,4,1,5
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-04-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,0,1
COLOMI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,0,1
CORIPATA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,2,3
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,5,3,8
SORATA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,0,1,1
VILLA MONTES,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-05-01,0,1,1
COBIJA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,3,1,4
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,6,4,10
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,1,0,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,0,1,1
GUANAY,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,1,2,3
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,2,0,2
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-06-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,4,2,6
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,3,0,3
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,1,0,1
IXIAMAS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,1,0,1
SAMAIPATA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,6,1,7
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-07-01,1,1,2
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,5,3,8
CULPINA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,2,0,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,7,5,12
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
YACO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-08-01,1,0,1
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,3,4
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,6,1,7
MAPIRI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,0,1
MONTEAGUDO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,2,0,2
OCURI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
ORURO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
POTOSI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,2,2,4
PUNATA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,0,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,2,1,3
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
TARIJA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
TIQUIPAYA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-09-01,0,1,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,0,1,1
CHAYANTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,1,0,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,10,7,17
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,2,3,5
EL TORNO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,0,3,3
LA GUARDIA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,5,4,9
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,0,2,2
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,6,2,8
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,0,1,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,1,0,1
WARNES,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-10-01,1,0,1
ACHOCALLA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,3,1,4
BERMEJO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
CARANAVI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,6,3,9
COLCAPIRHUA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
ENTRE RIOS CBBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
LA PAZ,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,2,4,6
PATACAMAYA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
QUILLACOLLO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,2,2
REYES,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
SAN JULIAN,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,7,3,10
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
TRINIDAD,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,1,0,1
VIACHA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,2,1,3
VINTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-11-01,0,1,1
COCHABAMBA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,9,1,10
EL ALTO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,0,1,1
LLALLAGUA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,1,0,1
MONTERO,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,2,0,2
PUERTO VILLARROEL,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,1,0,1
RIBERALTA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,3,0,3
SACABA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,0,1,1
SAN ANDRES,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,1,1,2
SIPE SIPE,tuberculosis y lepra,tratamientos iniciados con esquema modificado para tb,2024-12-01,1,0,1
