,group,variable,month,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,Nº DE CASOS TB TSF (NUEVOS Y RECAIDAS) CON ÉXITO DE TRATAMIENTO CANTIDAD,TOTALES
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
GUAYARAMERIN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,5,0,5
HUACAYA (VILLA DE HUACAYA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
HUANUNI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
INCAHUASI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,2,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,1,3
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,6,4,10
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,7,8,15
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,12,8,20
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
MAIRANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,1,4
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,2,2
MONTEAGUDO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,18,1,19
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,8,6,14
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,1,3
PELECHUCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,5,0,5
PUCARANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
PUNATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,0,2
RAVELO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,3,5
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,0,2
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,2,5
SAMAIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
SAN IGNACIO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,2,3
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
SAN MATIAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,105,50,155
SAPAHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,0,3
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,3,3
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,3,4
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,5,2,7
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,3,1,4
TIQUIPAYA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
TOLATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
URIONDO (A. CONCEPCION),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,2,2
VILLA SERRANO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,1,2
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,1,3
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,10,5,15
YAMPARAEZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
YANACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,0,1,1
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,2,1,3
YOTALA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-01-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
AIQUILE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
ALTO BENI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,1,3
BERMEJO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
BOYUIBE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
BUENA VISTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
CARACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,14,7,21
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,4,1,5
CLIZA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,2,4
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,6,3,9
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
COLOMI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
CORIPATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,2,2
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,1,4
CULPINA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,16,6,22
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,2,2
HUANUNI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,0,3
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,4,0,4
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,9,3,12
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,11,13,24
LAS CARRERAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,1,3
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
MONTEAGUDO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,12,3,15
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,5,2,7
PALCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,0,3
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,1,2
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,1,4
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,4,4,8
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,6,4,10
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,2,2
SAN IGNACIO DE VELASCO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
SANTA ANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,82,36,118
SANTA ROSA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SAPAHAQUI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SHINAOTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,1,4
SIPE SIPE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SORATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
SUCRE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,4,2,6
TARIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,3,5
TARVITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
TEOPONTE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
TIPUANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,3,3
TIRAQUE (CBBA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,3,1,4
VIACHA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,5,1,6
VILLA RIVERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,0,1
VILLA TUNARI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,1,1,2
VINTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,1,3
YACUIBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,5,2,7
YAMPARAEZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
YAPACANI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,2,0,2
YOTALA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-02-01,0,1,1
ACHACACHI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
ACHOCALLA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
ALTO BENI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
ASCENCION DE GUARAYOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
AYOPAYA (V. DE INDEPENDENCIA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
BOYUIBE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
BUENA VISTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
CABEZAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,2,4
CAMARGO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
CAMIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
CARANAVI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,6,4,10
CHULUMANI (V. DE LA LIBERTAD),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,1,5
COBIJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
COCHABAMBA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,2,6
COLCAPIRHUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
COPACABANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,1,3
COROICO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
COTAGAITA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
COTOCA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,7,4,11
CUATRO CAÑADAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
EL ALTO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,6,5,11
EL PUENTE(STC),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
ENTRE RIOS TRJ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
GENERAL SAAVEDRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
GRAL. J.J. PEREZ (CHARAZANI),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
GUANAY,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
HUANUNI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
IRUPANA (VILLA DE LANZA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
LA ASUNTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,7,3,10
LA GUARDIA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,6,4,10
LA PAZ,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,30,21,51
LAJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
LAS CARRERAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
LLALLAGUA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,0,4
MAIRANA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
MAPIRI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
MINEROS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
MONTERO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,23,5,28
ORURO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,4,8
PALOS BLANCOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,4,1,5
POCOATA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
POTOSI,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
PUERTO GONZALO MORENO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
PUERTO QUIJARRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,1,2
PUERTO VILLARROEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,0,2
QUILLACOLLO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,2,1,3
RIBERALTA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,5,2,7
RURRENABAQUE,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,2,3
SACABA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,4,5
SAN BENITO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SAN BORJA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
SAN JOSE DE CHIQUITOS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SAN JULIAN,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,3,4
SAN LORENZO(TJA),tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SAN LUCAS,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SAN PEDRO,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,0,1,1
SAN RAFAEL,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,94,79,173
SANTA ROSA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
SANTA ROSA DEL SARA,tuberculosis y lepra,no de casos tb tsf (nuevos y recaidas) con exito de tratamiento,2024-03-01,1,0,1
