,group,variable,month,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,Nº DE PACIENTES MULTIDROGOS RESISTENTES MDRS CANTIDAD,TOTALES
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,0,1,1
MONTERO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,1,0,1
PUERTO QUIJARRO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,0,1,1
SAN ANDRES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,0,1,1
WARNES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-09-01,0,1,1
COCHABAMBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,0,1,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,2,0,2
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,2,1,3
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,1,0,1
TRINIDAD,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,1,0,1
WARNES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,1,1,2
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-10-01,1,0,1
EL ALTO,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-11-01,0,1,1
LA PAZ,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-11-01,1,0,1
SACABA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-11-01,0,1,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-11-01,1,1,2
VILLA MONTES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-11-01,0,1,1
SAN ANDRES,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-12-01,1,0,1
SANTA CRUZ DE LA SIERRA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-12-01,1,0,1
YACUIBA,tuberculosis y lepra,no de pacientes multidrogos resistentes mdrs,2024-12-01,1,0,1
