,group,variable,month,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA DENTRO,ANTIAMARILICA DOSIS UNICA FUERA,ANTIAMARILICA DOSIS UNICA FUERA,TOTALES
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,1,0,0,3
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,2,1,0,0,3
TUPIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
URIONDO (A. CONCEPCION),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,1,0,2
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,0,1,2,3
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,0,1,2
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,0,1,0,2
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,0,1
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,0,1,0,1,2
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-01-01,1,1,0,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
AIQUILE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
BUENA VISTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,2,0,0,3
CHALLAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,1,0,2
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,7,5,3,2,17
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,3,2,5,11
EL TORNO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,1,0,0,2
INCAHUASI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,2,0,0,3
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,2,2,0,1,5
LAS CARRERAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,1,2
LURIBAY,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
MAGDALENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
MAPIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,2,0,0,3,5
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,4,4,9,13,30
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
PAPEL PAMPA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,0,1,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,1,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,2,1,0,0,3
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,2,3,1,7
REYES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,1,2
SAN BENITO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,2,4,2,2,10
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,8,7,0,0,15
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,1,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,5,9,2,3,19
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,1,0,0,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
TAPACARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
TARATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,1,0,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,1,0,0,1
VINTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,0,0,1,0,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-02-01,2,0,0,1,3
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
ALTO BENI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
CAMIRI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
CHIMORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,2,0,0,2
COCAPATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,4,2,0,0,6
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
COMARAPA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,0,1,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,5,7,3,3,18
EUREKA (SANTOS MERCADO),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
GENERAL SAAVEDRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,0,1,1
LA ASUNTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,1,0,0,2
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,5,8,1,0,14
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,1,0,2
OCURI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,2,1,1,1,5
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,4,2,0,0,6
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,2,3,5
PALOS BLANCOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,2,1,1,0,4
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,2,1,0,4
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
SAN LORENZO(TJA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
SAN MATIAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,2,0,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,11,7,16,11,45
SENA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,2,0,0,2
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,2,0,0,2
TARATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,1,1,2
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,2,2,0,0,4
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
TURCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,0,0,1,1
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,0,1,2
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,0,1,0,0,1
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,1,0,2
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-03-01,1,0,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,1,0,0,2
ACHOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
CABEZAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,1,1,3
CARACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,1,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,4,3,3,0,10
COLCAPIRHUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
COLQUECHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,2,1,0,0,3
CONCEPCION,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,1,0,1
COROICO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,1,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,2,0,3,5,10
FERNANDEZ ALONSO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,1,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,1,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,11,19,2,1,33
LAJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,2,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,2,1,3
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,3,3,0,1,7
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,2,2,4
PALCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,1,1
POJO (CBBA),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,1,0,0,1
PORTACHUELO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,2,0,0,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,2,4,0,7
PUERTO SUAREZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,1,0,0,1
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,1,0,1
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,1,0,1,2
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,1,2
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,2,0,2
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,2,1,0,1,4
SALINAS DE GARCI MENDOZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,1,1,2
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,3,4
SAN CARLOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,1,2
SAN JAVIER(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,1,0,0,1
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,1,0,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,10,16,15,19,60
SANTA ROSA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
SORATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,2,0,0,2
SUCRE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,2,0,3
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,1,1
TIQUIPAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,0,0,1,1
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,1,0,0,1
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,0,3,0,0,3
VIACHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,1,0,1,3
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,0,0,0,1
VILLA TUNARI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,1,1,0,3
VILLAZON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,3,0,0,4
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,2,1,0,0,3
YACUIBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-04-01,1,2,0,0,3
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
CARANAVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,3,1,4
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,1,0,0,2
CHULUMANI (V. DE LA LIBERTAD),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
CHUQUIHUTA AYLLU JUCUMANI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
CKOCHAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
CLIZA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
COBIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,2,5,0,0,7
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,1,0,0,2
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,11,16,14,18,59
EL PUENTE(STC),vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,2,0,0,2
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,18,2,5,7,32
LLALLAGUA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,3,4,7
MECAPACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,1,2
MINEROS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,1,2
MONTERO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,2,3,0,2,7
PAILON,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,7,10,18
POCOATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,2,0,2
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,2,0,4,2,8
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,1,1,2
PUERTO VILLARROEL,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
PUNATA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,1,0,0,2
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,1,1,3
ROBORE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
SABAYA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,1,0,0,2
SACACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,3,1,4
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,4,0,1,5
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,1,1,2
SAN JOAQUIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,15,15,0,0,30
SANTA ANA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,1,0,2
SANTA CRUZ DE LA SIERRA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,9,6,12,10,37
SANTA ROSA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,1,0,1
SHINAOTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
SIPE SIPE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,3,1,0,4
TARIJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,1,2
TRINIDAD,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,2,0,0,0,2
URUBICHA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,1,0,0,0,1
UYUNI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,0,1,1
VILLA MONTES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,0,1,1,2
WARNES,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
YOCALLA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-05-01,0,1,0,0,1
ACHACACHI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,2,4,3,9
ASCENCION DE GUARAYOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,1,0,0,1
BETANZOS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,1,0,0,1
CHAYANTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,1,0,0,1
COCHABAMBA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,1,2,1,5
COLOMI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,0,0,1
COLQUECHACA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,0,1,0,1
COTOCA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,0,1,0,1
EL ALTO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,3,1,11,3,18
GUAYARAMERIN,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,1,0,2
INQUISIVI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,2,1,0,0,3
IXIAMAS,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,0,2,2,4
LA GUARDIA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,0,0,1
LA PAZ,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,4,5,0,4,13
ORURO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,4,0,0,5
POTOSI,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,3,1,2,0,6
PUERTO ACOSTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,0,1,0,1
PUERTO GONZALO MORENO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,0,0,1
PUERTO QUIJARRO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,1,0,0,2
QUILLACOLLO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,0,1,2
RIBERALTA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,1,0,0,1
RURRENABAQUE,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,8,11,0,0,19
SACABA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,1,0,0,1,2
SAN BORJA,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,0,0,1,1
SAN IGNACIO DE VELASCO,vacunacion en ninos de 4 anos,antiamarilica dosis unica,2021-06-01,0,1,0,1,2
