,group,variable,month,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTAL 3.6 CIRUGIA BUCAL MENOR CANTIDAD,TOTALES,TOTALES,TOTALES
CARMEN RIVERO TORREZ,atencion odontologica, cirugia bucal menor,2014-01-01,2,5,2,5,7
CATACORA,atencion odontologica, cirugia bucal menor,2014-01-01,3,2,3,2,5
CHALLAPATA,atencion odontologica, cirugia bucal menor,2014-01-01,94,150,94,150,244
CHAQUI,atencion odontologica, cirugia bucal menor,2014-01-01,6,13,6,13,19
CHARAGUA,atencion odontologica, cirugia bucal menor,2014-01-01,72,129,72,129,201
CHARAÑA,atencion odontologica, cirugia bucal menor,2014-01-01,6,10,6,10,16
CHAYANTA,atencion odontologica, cirugia bucal menor,2014-01-01,12,20,12,20,32
CHIMORE,atencion odontologica, cirugia bucal menor,2014-01-01,25,53,25,53,78
CHIPAYA,atencion odontologica, cirugia bucal menor,2014-01-01,5,9,5,9,14
CHOQUE COTA,atencion odontologica, cirugia bucal menor,2014-01-01,5,1,5,1,6
CHUA COCANI,atencion odontologica, cirugia bucal menor,2014-01-01,4,7,4,7,11
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, cirugia bucal menor,2014-01-01,7,9,7,9,16
CHUMA,atencion odontologica, cirugia bucal menor,2014-01-01,77,99,77,99,176
CKOCHAS,atencion odontologica, cirugia bucal menor,2014-01-01,4,4,4,4,8
CLIZA,atencion odontologica, cirugia bucal menor,2014-01-01,50,85,50,85,135
COBIJA,atencion odontologica, cirugia bucal menor,2014-01-01,48,79,48,79,127
COCAPATA,atencion odontologica, cirugia bucal menor,2014-01-01,8,31,8,31,39
COCHABAMBA,atencion odontologica, cirugia bucal menor,2014-01-01,526,629,526,629,1155
COIPASA,atencion odontologica, cirugia bucal menor,2014-01-01,6,3,6,3,9
COLCAPIRHUA,atencion odontologica, cirugia bucal menor,2014-01-01,22,63,22,63,85
"COLCHA ""K""",atencion odontologica, cirugia bucal menor,2014-01-01,26,19,26,19,45
COLLANA,atencion odontologica, cirugia bucal menor,2014-01-01,15,43,15,43,58
COLOMI,atencion odontologica, cirugia bucal menor,2014-01-01,11,16,11,16,27
COLPA BELGICA,atencion odontologica, cirugia bucal menor,2014-01-01,8,16,8,16,24
COLQUECHACA,atencion odontologica, cirugia bucal menor,2014-01-01,52,86,52,86,138
COLQUENCHA,atencion odontologica, cirugia bucal menor,2014-01-01,10,14,10,14,24
COLQUIRI,atencion odontologica, cirugia bucal menor,2014-01-01,21,36,21,36,57
COMANCHE,atencion odontologica, cirugia bucal menor,2014-01-01,11,19,11,19,30
COMARAPA,atencion odontologica, cirugia bucal menor,2014-01-01,21,31,21,31,52
CONCEPCION,atencion odontologica, cirugia bucal menor,2014-01-01,8,9,8,9,17
COPACABANA,atencion odontologica, cirugia bucal menor,2014-01-01,31,45,31,45,76
CORO CORO,atencion odontologica, cirugia bucal menor,2014-01-01,10,27,10,27,37
COROICO,atencion odontologica, cirugia bucal menor,2014-01-01,5,3,5,3,8
CORQUE,atencion odontologica, cirugia bucal menor,2014-01-01,6,11,6,11,17
COTAGAITA,atencion odontologica, cirugia bucal menor,2014-01-01,75,84,75,84,159
COTOCA,atencion odontologica, cirugia bucal menor,2014-01-01,35,56,35,56,91
CUATRO CAÑADAS,atencion odontologica, cirugia bucal menor,2014-01-01,22,42,22,42,64
CUEVO,atencion odontologica, cirugia bucal menor,2014-01-01,14,9,14,9,23
CULPINA,atencion odontologica, cirugia bucal menor,2014-01-01,14,28,14,28,42
CURAHUARA DE CARANGAS,atencion odontologica, cirugia bucal menor,2014-01-01,3,5,3,5,8
CURVA,atencion odontologica, cirugia bucal menor,2014-01-01,11,10,11,10,21
DESAGUADERO,atencion odontologica, cirugia bucal menor,2014-01-01,15,20,15,20,35
EL ALTO,atencion odontologica, cirugia bucal menor,2014-01-01,1511,1714,1511,1714,3225
EL PUENTE(STC),atencion odontologica, cirugia bucal menor,2014-01-01,11,22,11,22,33
EL PUENTE(TJA),atencion odontologica, cirugia bucal menor,2014-01-01,44,107,44,107,151
EL TORNO,atencion odontologica, cirugia bucal menor,2014-01-01,47,70,47,70,117
EL VILLAR,atencion odontologica, cirugia bucal menor,2014-01-01,5,6,5,6,11
ENTRE RIOS TRJ,atencion odontologica, cirugia bucal menor,2014-01-01,90,262,90,262,352
ENTRE RIOS CBBA,atencion odontologica, cirugia bucal menor,2014-01-01,7,20,7,20,27
ESCOMA,atencion odontologica, cirugia bucal menor,2014-01-01,22,38,22,38,60
EUCALIPTUS,atencion odontologica, cirugia bucal menor,2014-01-01,16,16,16,16,32
FERNANDEZ ALONSO,atencion odontologica, cirugia bucal menor,2014-01-01,12,22,12,22,34
FILADELFIA,atencion odontologica, cirugia bucal menor,2014-01-01,11,21,11,21,32
GENERAL SAAVEDRA,atencion odontologica, cirugia bucal menor,2014-01-01,31,25,31,25,56
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, cirugia bucal menor,2014-01-01,54,70,54,70,124
GUANAY,atencion odontologica, cirugia bucal menor,2014-01-01,20,19,20,19,39
GUAQUI,atencion odontologica, cirugia bucal menor,2014-01-01,25,67,25,67,92
GUAYARAMERIN,atencion odontologica, cirugia bucal menor,2014-01-01,82,94,82,94,176
GUTIERREZ,atencion odontologica, cirugia bucal menor,2014-01-01,35,89,35,89,124
HUACARETA,atencion odontologica, cirugia bucal menor,2014-01-01,4,37,4,37,41
HUACAYA (VILLA DE HUACAYA),atencion odontologica, cirugia bucal menor,2014-01-01,10,19,10,19,29
HUACHACALLA,atencion odontologica, cirugia bucal menor,2014-01-01,17,27,17,27,44
HUANUNI,atencion odontologica, cirugia bucal menor,2014-01-01,47,64,47,64,111
HUARACAJE,atencion odontologica, cirugia bucal menor,2014-01-01,4,3,4,3,7
HUARINA,atencion odontologica, cirugia bucal menor,2014-01-01,13,24,13,24,37
HUATAJATA,atencion odontologica, cirugia bucal menor,2014-01-01,9,23,9,23,32
HUAYLLAMARCA,atencion odontologica, cirugia bucal menor,2014-01-01,12,34,12,34,46
HUMANATA,atencion odontologica, cirugia bucal menor,2014-01-01,40,48,40,48,88
ICHOCA,atencion odontologica, cirugia bucal menor,2014-01-01,22,18,22,18,40
ICLA,atencion odontologica, cirugia bucal menor,2014-01-01,20,19,20,19,39
INCAHUASI,atencion odontologica, cirugia bucal menor,2014-01-01,5,32,5,32,37
INGAVI (HUMAITA),atencion odontologica, cirugia bucal menor,2014-01-01,10,8,10,8,18
INQUISIVI,atencion odontologica, cirugia bucal menor,2014-01-01,40,57,40,57,97
IRUPANA (VILLA DE LANZA),atencion odontologica, cirugia bucal menor,2014-01-01,26,35,26,35,61
JESUS DE MACHACA,atencion odontologica, cirugia bucal menor,2014-01-01,36,96,36,96,132
LA ASUNTA,atencion odontologica, cirugia bucal menor,2014-01-01,69,67,69,67,136
LA GUARDIA,atencion odontologica, cirugia bucal menor,2014-01-01,31,53,31,53,84
LA PAZ,atencion odontologica, cirugia bucal menor,2014-01-01,1008,1272,1008,1272,2280
LAGUNILLAS,atencion odontologica, cirugia bucal menor,2014-01-01,5,12,5,12,17
LAJA,atencion odontologica, cirugia bucal menor,2014-01-01,36,74,36,74,110
LAS CARRERAS,atencion odontologica, cirugia bucal menor,2014-01-01,7,15,7,15,22
LLALLAGUA,atencion odontologica, cirugia bucal menor,2014-01-01,50,107,50,107,157
LORETO,atencion odontologica, cirugia bucal menor,2014-01-01,2,0,2,0,2
LURIBAY,atencion odontologica, cirugia bucal menor,2014-01-01,18,22,18,22,40
MACHACAMARCA,atencion odontologica, cirugia bucal menor,2014-01-01,10,13,10,13,23
MACHARETI,atencion odontologica, cirugia bucal menor,2014-01-01,1,0,1,0,1
MAGDALENA,atencion odontologica, cirugia bucal menor,2014-01-01,48,43,48,43,91
MALLA,atencion odontologica, cirugia bucal menor,2014-01-01,15,0,15,0,15
MAPIRI,atencion odontologica, cirugia bucal menor,2014-01-01,30,34,30,34,64
MECAPACA,atencion odontologica, cirugia bucal menor,2014-01-01,25,31,25,31,56
MINEROS,atencion odontologica, cirugia bucal menor,2014-01-01,6,12,6,12,18
MIZQUE,atencion odontologica, cirugia bucal menor,2014-01-01,19,31,19,31,50
MOCOMOCO,atencion odontologica, cirugia bucal menor,2014-01-01,39,38,39,38,77
MOJOCOYA,atencion odontologica, cirugia bucal menor,2014-01-01,9,41,9,41,50
MONTEAGUDO,atencion odontologica, cirugia bucal menor,2014-01-01,19,36,19,36,55
MONTERO,atencion odontologica, cirugia bucal menor,2014-01-01,51,51,51,51,102
MORO MORO,atencion odontologica, cirugia bucal menor,2014-01-01,5,7,5,7,12
MOROCHATA,atencion odontologica, cirugia bucal menor,2014-01-01,16,34,16,34,50
NACEBE (SANTA ROSA DEL ABUNA),atencion odontologica, cirugia bucal menor,2014-01-01,4,7,4,7,11
OCURI,atencion odontologica, cirugia bucal menor,2014-01-01,32,70,32,70,102
OKINAWA,atencion odontologica, cirugia bucal menor,2014-01-01,12,14,12,14,26
OMEREQUE,atencion odontologica, cirugia bucal menor,2014-01-01,3,4,3,4,7
ORURO,atencion odontologica, cirugia bucal menor,2014-01-01,323,456,323,456,779
PADCAYA,atencion odontologica, cirugia bucal menor,2014-01-01,40,57,40,57,97
PADILLA,atencion odontologica, cirugia bucal menor,2014-01-01,31,27,31,27,58
PAILON,atencion odontologica, cirugia bucal menor,2014-01-01,20,41,20,41,61
PALCA,atencion odontologica, cirugia bucal menor,2014-01-01,52,74,52,74,126
PALOS BLANCOS,atencion odontologica, cirugia bucal menor,2014-01-01,19,56,19,56,75
PAMPA AULLAGAS,atencion odontologica, cirugia bucal menor,2014-01-01,14,14,14,14,28
PAMPA GRANDE,atencion odontologica, cirugia bucal menor,2014-01-01,2,13,2,13,15
PAPEL PAMPA,atencion odontologica, cirugia bucal menor,2014-01-01,20,27,20,27,47
PASORAPA,atencion odontologica, cirugia bucal menor,2014-01-01,12,18,12,18,30
PATACAMAYA,atencion odontologica, cirugia bucal menor,2014-01-01,31,42,31,42,73
PAZÑA,atencion odontologica, cirugia bucal menor,2014-01-01,13,12,13,12,25
PELECHUCO,atencion odontologica, cirugia bucal menor,2014-01-01,26,41,26,41,67
POCOATA,atencion odontologica, cirugia bucal menor,2014-01-01,13,21,13,21,34
POCONA,atencion odontologica, cirugia bucal menor,2014-01-01,7,36,7,36,43
POJO (CBBA),atencion odontologica, cirugia bucal menor,2014-01-01,14,22,14,22,36
POOPO,atencion odontologica, cirugia bucal menor,2014-01-01,15,16,15,16,31
PORCO,atencion odontologica, cirugia bucal menor,2014-01-01,19,26,19,26,45
POROMA,atencion odontologica, cirugia bucal menor,2014-01-01,3,6,3,6,9
PORONGO,atencion odontologica, cirugia bucal menor,2014-01-01,4,12,4,12,16
PORTACHUELO,atencion odontologica, cirugia bucal menor,2014-01-01,35,60,35,60,95
PORVENIR,atencion odontologica, cirugia bucal menor,2014-01-01,15,15,15,15,30
POSTRER VALLE,atencion odontologica, cirugia bucal menor,2014-01-01,12,7,12,7,19
POTOSI,atencion odontologica, cirugia bucal menor,2014-01-01,359,533,359,533,892
PRESTO,atencion odontologica, cirugia bucal menor,2014-01-01,5,11,5,11,16
PUCARA,atencion odontologica, cirugia bucal menor,2014-01-01,2,3,2,3,5
PUCARANI,atencion odontologica, cirugia bucal menor,2014-01-01,61,79,61,79,140
PUERTO ACOSTA,atencion odontologica, cirugia bucal menor,2014-01-01,30,41,30,41,71
PUERTO CARABUCO,atencion odontologica, cirugia bucal menor,2014-01-01,51,53,51,53,104
PUERTO GONZALO MORENO,atencion odontologica, cirugia bucal menor,2014-01-01,2,6,2,6,8
PUERTO PEREZ,atencion odontologica, cirugia bucal menor,2014-01-01,7,2,7,2,9
PUERTO QUIJARRO,atencion odontologica, cirugia bucal menor,2014-01-01,39,9,39,9,48
PUERTO RICO,atencion odontologica, cirugia bucal menor,2014-01-01,19,24,19,24,43
PUERTO SUAREZ,atencion odontologica, cirugia bucal menor,2014-01-01,4,4,4,4,8
PUERTO VILLARROEL,atencion odontologica, cirugia bucal menor,2014-01-01,29,41,29,41,70
PUNA,atencion odontologica, cirugia bucal menor,2014-01-01,11,8,11,8,19
PUNATA,atencion odontologica, cirugia bucal menor,2014-01-01,26,27,26,27,53
QUIABAYA,atencion odontologica, cirugia bucal menor,2014-01-01,14,19,14,19,33
QUILLACOLLO,atencion odontologica, cirugia bucal menor,2014-01-01,110,168,110,168,278
QUIME,atencion odontologica, cirugia bucal menor,2014-01-01,91,100,91,100,191
QUIRUSILLAS,atencion odontologica, cirugia bucal menor,2014-01-01,1,0,1,0,1
RAVELO,atencion odontologica, cirugia bucal menor,2014-01-01,22,33,22,33,55
REYES,atencion odontologica, cirugia bucal menor,2014-01-01,22,26,22,26,48
RIBERALTA,atencion odontologica, cirugia bucal menor,2014-01-01,125,259,125,259,384
ROBORE,atencion odontologica, cirugia bucal menor,2014-01-01,2,1,2,1,3
RURRENABAQUE,atencion odontologica, cirugia bucal menor,2014-01-01,23,30,23,30,53
SABAYA,atencion odontologica, cirugia bucal menor,2014-01-01,17,22,17,22,39
SACABA,atencion odontologica, cirugia bucal menor,2014-01-01,138,159,138,159,297
SACABAMBA,atencion odontologica, cirugia bucal menor,2014-01-01,4,6,4,6,10
SACACA,atencion odontologica, cirugia bucal menor,2014-01-01,38,45,38,45,83
SAIPINA,atencion odontologica, cirugia bucal menor,2014-01-01,9,20,9,20,29
SALINAS DE GARCI MENDOZA,atencion odontologica, cirugia bucal menor,2014-01-01,25,30,25,30,55
SAMAIPATA,atencion odontologica, cirugia bucal menor,2014-01-01,16,18,16,18,34
SAN AGUSTIN,atencion odontologica, cirugia bucal menor,2014-01-01,9,9,9,9,18
SAN ANDRES,atencion odontologica, cirugia bucal menor,2014-01-01,32,39,32,39,71
SAN ANDRES DE MACHACA,atencion odontologica, cirugia bucal menor,2014-01-01,16,29,16,29,45
SAN ANTONIO DE ESMORUCO,atencion odontologica, cirugia bucal menor,2014-01-01,0,6,0,6,6
SAN ANTONIO DE LOMERIO,atencion odontologica, cirugia bucal menor,2014-01-01,11,20,11,20,31
SAN BENITO,atencion odontologica, cirugia bucal menor,2014-01-01,0,9,0,9,9
SAN BORJA,atencion odontologica, cirugia bucal menor,2014-01-01,22,32,22,32,54
SAN BUENA VENTURA,atencion odontologica, cirugia bucal menor,2014-01-01,11,18,11,18,29
SAN CARLOS,atencion odontologica, cirugia bucal menor,2014-01-01,6,11,6,11,17
SAN IGNACIO,atencion odontologica, cirugia bucal menor,2014-01-01,37,38,37,38,75
SAN IGNACIO DE VELASCO,atencion odontologica, cirugia bucal menor,2014-01-01,32,26,32,26,58
SAN JAVIER(BNI),atencion odontologica, cirugia bucal menor,2014-01-01,4,5,4,5,9
SAN JAVIER(STC),atencion odontologica, cirugia bucal menor,2014-01-01,16,21,16,21,37
SAN JOAQUIN,atencion odontologica, cirugia bucal menor,2014-01-01,11,7,11,7,18
SAN JOSE DE CHIQUITOS,atencion odontologica, cirugia bucal menor,2014-01-01,26,56,26,56,82
SAN JUAN DE YAPACANI,atencion odontologica, cirugia bucal menor,2014-01-01,10,21,10,21,31
SAN JULIAN,atencion odontologica, cirugia bucal menor,2014-01-01,15,32,15,32,47
SAN LORENZO(PND),atencion odontologica, cirugia bucal menor,2014-01-01,0,8,0,8,8
SAN LORENZO(TJA),atencion odontologica, cirugia bucal menor,2014-01-01,107,201,107,201,308
SAN LUCAS,atencion odontologica, cirugia bucal menor,2014-01-01,30,71,30,71,101
SAN MATIAS,atencion odontologica, cirugia bucal menor,2014-01-01,20,29,20,29,49
SAN MIGUEL DE VELASCO,atencion odontologica, cirugia bucal menor,2014-01-01,23,26,23,26,49
SAN PABLO DE LIPEZ,atencion odontologica, cirugia bucal menor,2014-01-01,2,4,2,4,6
SAN PEDRO,atencion odontologica, cirugia bucal menor,2014-01-01,31,54,31,54,85
SAN PEDRO DE BUENA VISTA,atencion odontologica, cirugia bucal menor,2014-01-01,28,30,28,30,58
SAN PEDRO DE TIQUINA,atencion odontologica, cirugia bucal menor,2014-01-01,11,32,11,32,43
SAN RAFAEL,atencion odontologica, cirugia bucal menor,2014-01-01,8,9,8,9,17
SAN RAMON BENI,atencion odontologica, cirugia bucal menor,2014-01-01,15,16,15,16,31
SAN RAMON SCZ,atencion odontologica, cirugia bucal menor,2014-01-01,6,9,6,9,15
SANTA ANA,atencion odontologica, cirugia bucal menor,2014-01-01,84,89,84,89,173
SANTA CRUZ DE LA SIERRA,atencion odontologica, cirugia bucal menor,2014-01-01,766,1039,766,1039,1805
SANTA ROSA,atencion odontologica, cirugia bucal menor,2014-01-01,4,9,4,9,13
SANTA ROSA DEL SARA,atencion odontologica, cirugia bucal menor,2014-01-01,36,45,36,45,81
SANTIAGO DE CALLAPA,atencion odontologica, cirugia bucal menor,2014-01-01,2,5,2,5,7
SANTIAGO DE HUARI,atencion odontologica, cirugia bucal menor,2014-01-01,37,110,37,110,147
SANTIAGO DE HUATA,atencion odontologica, cirugia bucal menor,2014-01-01,4,4,4,4,8
SANTIAGO DE MACHACA,atencion odontologica, cirugia bucal menor,2014-01-01,21,46,21,46,67
SANTIVAÑES,atencion odontologica, cirugia bucal menor,2014-01-01,4,6,4,6,10
SANTUARIO DE QUILLACAS,atencion odontologica, cirugia bucal menor,2014-01-01,1,0,1,0,1
SAPAHAQUI,atencion odontologica, cirugia bucal menor,2014-01-01,32,28,32,28,60
SENA,atencion odontologica, cirugia bucal menor,2014-01-01,12,11,12,11,23
SHINAOTA,atencion odontologica, cirugia bucal menor,2014-01-01,4,20,4,20,24
SICA SICA (VILLA AROMA),atencion odontologica, cirugia bucal menor,2014-01-01,62,69,62,69,131
SICAYA,atencion odontologica, cirugia bucal menor,2014-01-01,3,12,3,12,15
SIPE SIPE,atencion odontologica, cirugia bucal menor,2014-01-01,29,53,29,53,82
SOPACHUY,atencion odontologica, cirugia bucal menor,2014-01-01,14,26,14,26,40
SORACACHI,atencion odontologica, cirugia bucal menor,2014-01-01,18,38,18,38,56
SORATA,atencion odontologica, cirugia bucal menor,2014-01-01,16,23,16,23,39
SUCRE,atencion odontologica, cirugia bucal menor,2014-01-01,222,348,222,348,570
TACACHI,atencion odontologica, cirugia bucal menor,2014-01-01,1,1,1,1,2
TACACOMA,atencion odontologica, cirugia bucal menor,2014-01-01,26,15,26,15,41
TACOBAMBA,atencion odontologica, cirugia bucal menor,2014-01-01,4,18,4,18,22
TACOPAYA,atencion odontologica, cirugia bucal menor,2014-01-01,10,32,10,32,42
TAHUA,atencion odontologica, cirugia bucal menor,2014-01-01,3,4,3,4,7
TAPACARI,atencion odontologica, cirugia bucal menor,2014-01-01,33,39,33,39,72
TARABUCO,atencion odontologica, cirugia bucal menor,2014-01-01,29,44,29,44,73
TARACO,atencion odontologica, cirugia bucal menor,2014-01-01,26,25,26,25,51
TARATA,atencion odontologica, cirugia bucal menor,2014-01-01,9,22,9,22,31
TARIJA,atencion odontologica, cirugia bucal menor,2014-01-01,565,806,565,806,1371
TARVITA,atencion odontologica, cirugia bucal menor,2014-01-01,32,66,32,66,98
TEOPONTE,atencion odontologica, cirugia bucal menor,2014-01-01,33,40,33,40,73
TIAWANACU,atencion odontologica, cirugia bucal menor,2014-01-01,26,49,26,49,75
TINGUIPAYA,atencion odontologica, cirugia bucal menor,2014-01-01,16,34,16,34,50
TIPUANI,atencion odontologica, cirugia bucal menor,2014-01-01,33,26,33,26,59
TIQUIPAYA,atencion odontologica, cirugia bucal menor,2014-01-01,62,80,62,80,142
TIRAQUE (CBBA),atencion odontologica, cirugia bucal menor,2014-01-01,19,35,19,35,54
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, cirugia bucal menor,2014-01-01,11,10,11,10,21
TOCO,atencion odontologica, cirugia bucal menor,2014-01-01,6,18,6,18,24
TOLATA,atencion odontologica, cirugia bucal menor,2014-01-01,10,17,10,17,27
TOLEDO,atencion odontologica, cirugia bucal menor,2014-01-01,4,10,4,10,14
TOMAVE,atencion odontologica, cirugia bucal menor,2014-01-01,31,50,31,50,81
TOMINA,atencion odontologica, cirugia bucal menor,2014-01-01,17,25,17,25,42
TORO TORO,atencion odontologica, cirugia bucal menor,2014-01-01,10,14,10,14,24
TOTORA(CBBA),atencion odontologica, cirugia bucal menor,2014-01-01,23,40,23,40,63
TOTORA(ORR),atencion odontologica, cirugia bucal menor,2014-01-01,1,6,1,6,7
TRIGAL,atencion odontologica, cirugia bucal menor,2014-01-01,5,5,5,5,10
TRINIDAD,atencion odontologica, cirugia bucal menor,2014-01-01,196,239,196,239,435
TUPIZA,atencion odontologica, cirugia bucal menor,2014-01-01,23,52,23,52,75
TURCO,atencion odontologica, cirugia bucal menor,2014-01-01,10,12,10,12,22
UNCIA,atencion odontologica, cirugia bucal menor,2014-01-01,26,60,26,60,86
URIONDO (A. CONCEPCION),atencion odontologica, cirugia bucal menor,2014-01-01,68,103,68,103,171
URUBICHA,atencion odontologica, cirugia bucal menor,2014-01-01,12,12,12,12,24
UYUNI,atencion odontologica, cirugia bucal menor,2014-01-01,30,60,30,60,90
VACAS,atencion odontologica, cirugia bucal menor,2014-01-01,16,31,16,31,47
VALLEGRANDE,atencion odontologica, cirugia bucal menor,2014-01-01,29,51,29,51,80
VIACHA,atencion odontologica, cirugia bucal menor,2014-01-01,66,119,66,119,185
VILA VILA,atencion odontologica, cirugia bucal menor,2014-01-01,1,1,1,1,2
VILLA CHARCAS,atencion odontologica, cirugia bucal menor,2014-01-01,5,20,5,20,25
VILLA MONTES,atencion odontologica, cirugia bucal menor,2014-01-01,272,388,272,388,660
VILLA NUEVA (LOMA ALTA),atencion odontologica, cirugia bucal menor,2014-01-01,10,9,10,9,19
VILLA RIVERO,atencion odontologica, cirugia bucal menor,2014-01-01,8,19,8,19,27
VILLA SERRANO,atencion odontologica, cirugia bucal menor,2014-01-01,6,28,6,28,34
VILLA TUNARI,atencion odontologica, cirugia bucal menor,2014-01-01,86,102,86,102,188
VILLA VACA GUZMAN (MUYUPAMPA),atencion odontologica, cirugia bucal menor,2014-01-01,9,13,9,13,22
VILLAZON,atencion odontologica, cirugia bucal menor,2014-01-01,71,142,71,142,213
VINTO,atencion odontologica, cirugia bucal menor,2014-01-01,42,38,42,38,80
VITICHI,atencion odontologica, cirugia bucal menor,2014-01-01,9,31,9,31,40
WALDO BALLIVIAN,atencion odontologica, cirugia bucal menor,2014-01-01,5,20,5,20,25
WARNES,atencion odontologica, cirugia bucal menor,2014-01-01,37,56,37,56,93
YACO,atencion odontologica, cirugia bucal menor,2014-01-01,12,13,12,13,25
YACUIBA,atencion odontologica, cirugia bucal menor,2014-01-01,144,283,144,283,427
YAMPARAEZ,atencion odontologica, cirugia bucal menor,2014-01-01,18,44,18,44,62
YAPACANI,atencion odontologica, cirugia bucal menor,2014-01-01,47,81,47,81,128
YOCALLA,atencion odontologica, cirugia bucal menor,2014-01-01,15,26,15,26,41
YOTALA,atencion odontologica, cirugia bucal menor,2014-01-01,16,29,16,29,45
YUNCHARA,atencion odontologica, cirugia bucal menor,2014-01-01,45,106,45,106,151
ZUDAÑEZ,atencion odontologica, cirugia bucal menor,2014-01-01,6,18,6,18,24
ACACIO,atencion odontologica, cirugia bucal menor,2014-02-01,3,8,3,8,11
ACHACACHI,atencion odontologica, cirugia bucal menor,2014-02-01,54,85,54,85,139
ACHOCALLA,atencion odontologica, cirugia bucal menor,2014-02-01,22,40,22,40,62
AIQUILE,atencion odontologica, cirugia bucal menor,2014-02-01,7,9,7,9,16
