,group,variable,month,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTAL 3.4 CONSULTAS NUEVAS DE 60 AÑOS Y MÁS CANTIDAD,TOTALES,TOTALES,TOTALES
CAQUIAVIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,6,13,6,19
CARACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,22,7,22,29
CARANAVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,7,8,7,15
CARAPARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,7,8,7,15
CARMEN RIVERO TORREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
CHALLAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,22,26,22,26,48
CHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,6,4,6,10
CHARAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,5,7,5,12
CHARAÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
CHAYANTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
CHIMORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
CHIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
CHOQUE COTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
CHUA COCANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,2,1,2,3
CHULUMANI (V. DE LA LIBERTAD),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,1,6,1,7
CHUMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,33,43,33,43,76
CKOCHAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
CLIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,34,9,34,43
COBIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,9,12,9,21
COCAPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,4,5,4,9
COCHABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,305,294,305,294,599
COIPASA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,6,6,6,12
COLCAPIRHUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,2,3,2,5
"COLCHA ""K""",atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
COLLANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
COLOMI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,3,2,3,5
COLPA BELGICA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,1,3,1,4
COLQUECHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,9,8,9,17
COLQUIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,2,3,2,5
COMANCHE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,12,12,12,24
COMARAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,11,11,11,22
CONCEPCION,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
COPACABANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,4,7,4,11
CORO CORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,4,4,4,8
COROICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,10,3,10,3,13
CORQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,4,7,4,11
COTAGAITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,44,16,44,16,60
COTOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,2,6,2,8
CUATRO CAÑADAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,42,11,42,11,53
CUEVO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,4,6,4,10
CULPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,10,13,10,23
CURAHUARA DE CARANGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,3,0,3,3
CURVA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,3,4,3,7
DESAGUADERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,19,15,19,15,34
EL ALTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,150,106,150,106,256
EL PUENTE(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,1,2,1,3
EL PUENTE(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,4,4,4,8
EL TORNO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,24,24,24,24,48
EL VILLAR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
ENTRE RIOS TRJ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,18,37,18,37,55
ENTRE RIOS CBBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,4,3,4,7
ESCOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,9,4,9,13
EUCALIPTUS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,5,11,5,16
FERNANDEZ ALONSO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,2,4,2,6
FILADELFIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
GENERAL SAAVEDRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,16,17,16,17,33
GRAL. J.J. PEREZ (CHARAZANI),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,23,21,23,21,44
GUANAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,6,4,6,10
GUAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,22,13,22,35
GUAYARAMERIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,18,3,18,3,21
GUTIERREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,6,7,6,13
HUACARETA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,6,1,6,7
HUACAYA (VILLA DE HUACAYA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
HUACHACALLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,7,3,7,10
HUANUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,4,6,4,10
HUARACAJE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
HUARINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,12,6,12,18
HUATAJATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,10,4,10,14
HUAYLLAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,11,2,11,13
HUMANATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,28,13,28,13,41
ICHOCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,16,8,16,8,24
ICLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,0,4,0,4
INCAHUASI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,13,2,13,15
INGAVI (HUMAITA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,0,9,0,9
INQUISIVI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,3,2,3,5
IRUPANA (VILLA DE LANZA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,12,4,12,16
JESUS DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,19,11,19,30
LA ASUNTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,4,5,4,9
LA GUARDIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,45,26,45,26,71
LA PAZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,575,580,575,580,1155
LAGUNILLAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
LAJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,8,5,8,13
LAS CARRERAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,8,0,8,8
LLALLAGUA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,8,15,8,23
LURIBAY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
MACHACAMARCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,4,2,4,6
MAGDALENA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,7,6,7,13
MAPIRI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,2,5,2,7
MECAPACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
MINEROS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,4,4,4,8
MIZQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,2,6,2,8
MOCOMOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,3,9,3,12
MOJOCOYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,14,3,14,17
MONTEAGUDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,10,5,10,5,15
MONTERO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,37,28,37,28,65
MORO MORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
MOROCHATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,8,11,8,19
OCURI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,1,2,1,3
OKINAWA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,10,5,10,15
ORURO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,168,149,168,149,317
PADCAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
PADILLA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,3,11,3,14
PAILON,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,11,6,11,17
PALCA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,3,4,3,7
PALOS BLANCOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,11,4,11,15
PAMPA AULLAGAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,12,3,12,15
PAMPA GRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,9,9,9,18
PAPEL PAMPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,24,12,24,36
PASORAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,5,1,5,6
PATACAMAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
PAZÑA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,9,11,9,20
PELECHUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
POCOATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,2,4,2,6
POCONA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
POJO (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,3,1,3,4
POOPO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,2,0,2,2
POROMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
PORTACHUELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,6,8,6,14
PORVENIR,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,8,12,8,20
POSTRER VALLE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,3,4,3,7
POTOSI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,69,68,69,68,137
PRESTO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
PUCARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
PUCARANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,19,10,19,10,29
PUERTO ACOSTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,12,12,12,24
PUERTO CARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,6,15,6,21
PUERTO GONZALO MORENO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
PUERTO PEREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,1,2,1,3
PUERTO QUIJARRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,4,1,4,5
PUERTO RICO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
PUERTO SUAREZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,2,4,2,6
PUERTO VILLARROEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,3,6,3,9
PUNATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,9,8,9,17
QUIABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,6,3,6,9
QUILLACOLLO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,76,67,76,67,143
QUIME,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,8,13,8,21
RAVELO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,4,2,4,6
REYES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,28,34,28,34,62
RIBERALTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,18,17,18,17,35
ROBORE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
RURRENABAQUE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
SABAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,9,7,9,16
SACABA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,12,12,12,24
SACABAMBA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,16,8,16,24
SACACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
SAIPINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,2,2,2,4
SALINAS DE GARCI MENDOZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,6,6,6,12
SAMAIPATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,10,2,10,2,12
SAN AGUSTIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
SAN ANDRES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,1,1,1,2
SAN ANDRES DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,10,12,10,22
SAN ANTONIO DE ESMORUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
SAN ANTONIO DE LOMERIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,4,4,4,8
SAN BENITO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,10,0,10,10
SAN BORJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
SAN BUENA VENTURA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,3,3,3,6
SAN CARLOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,14,6,14,6,20
SAN IGNACIO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
SAN IGNACIO DE VELASCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,25,16,25,16,41
SAN JAVIER(STC),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,9,5,9,14
SAN JOAQUIN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
SAN JOSE DE CHIQUITOS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,1,4,1,5
SAN JUAN DE YAPACANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,1,3,1,4
SAN JULIAN,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,18,13,18,31
SAN LORENZO(TJA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,26,21,26,21,47
SAN LUCAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,39,5,39,44
SAN MATIAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,5,4,5,9
SAN MIGUEL DE VELASCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,4,6,4,10
SAN PABLO DE LIPEZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,2,0,2,2
SAN PEDRO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,9,4,9,13
SAN PEDRO DE BUENA VISTA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,11,2,11,2,13
SAN PEDRO DE QUEMES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
SAN PEDRO DE TIQUINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,7,6,7,13
SAN RAFAEL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,2,1,2,3
SAN RAMON SCZ,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,1,4,1,5
SANTA ANA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,3,1,3,4
SANTA CRUZ DE LA SIERRA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,353,315,353,315,668
SANTA ROSA DEL SARA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,4,7,4,11
SANTIAGO DE CALLAPA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
SANTIAGO DE HUARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,30,15,30,45
SANTIAGO DE HUATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,3,4,3,7
SANTIAGO DE MACHACA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,4,2,4,6
SANTIVAÑES,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,0,1,0,1
SANTUARIO DE QUILLACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,0,3,0,3
SAPAHAQUI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,2,9,2,11
SICA SICA (VILLA AROMA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,12,13,12,25
SICAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,2,0,2,2
SIPE SIPE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,8,6,8,14
SOPACHUY,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,2,1,2,3
SORACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,1,2,1,3
SORATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,9,6,9,15
SUCRE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,144,158,144,158,302
TACACHI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
TACACOMA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,9,3,9,3,12
TACOPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,0,2,0,2
TAPACARI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,32,11,32,11,43
TARABUCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,7,10,7,10,17
TARACO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,53,36,53,36,89
TARATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,3,2,3,5
TARIJA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,133,94,133,94,227
TARVITA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,6,3,6,9
TEOPONTE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,4,5,4,9
TIAWANACU,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,1,11,1,11,12
TINGUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,5,0,5,0,5
TIPUANI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,12,5,12,5,17
TIQUIPAYA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,61,13,61,13,74
TIRAQUE (CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,15,2,15,2,17
TITO YUPANQUI (PARQUIPUJIO),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,0,4,0,4
TOCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,11,2,11,13
TOLATA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,8,6,8,14
TOLEDO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,3,0,3,3
TOMAVE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,14,13,14,13,27
TOMINA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,140,8,140,148
TORO TORO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,8,4,8,12
TOTORA(CBBA),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,4,1,4,1,5
TOTORA(ORR),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
TRIGAL,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,6,3,6,3,9
TRINIDAD,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,56,46,56,46,102
TUPIZA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,8,13,8,13,21
TURCO,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,1,3,1,4
UMALA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,0,1,0,1,1
UNCIA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,14,15,14,15,29
URIONDO (A. CONCEPCION),atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,19,8,19,8,27
URUBICHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,3,1,3,1,4
UYUNI,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,18,15,18,15,33
VACAS,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,2,5,2,5,7
VALLEGRANDE,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,13,13,13,13,26
VIACHA,atencion odontologica, consultas nuevas de 60 anos y mas,2014-01-01,30,12,30,12,42
